step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
53,TRANSFER,1631640.02,C443233087,1631640.02,0.0,C1597258791,0.0,0.0
53,CASH_OUT,1631640.02,C1732115289,1631640.02,0.0,C262978946,705298.87,2336938.89
53,TRANSFER,99139.27,C831891422,99139.27,0.0,C1984865103,0.0,0.0
53,CASH_OUT,99139.27,C457849577,99139.27,0.0,C253226648,28766.55,127905.82
53,TRANSFER,6215.44,C1484456052,6215.44,0.0,C1913346868,0.0,0.0
53,CASH_OUT,6215.44,C1351929617,6215.44,0.0,C842672981,191197.42,197412.85
53,TRANSFER,3640271.29,C1285761418,3640271.29,0.0,C2028641482,0.0,0.0
53,CASH_OUT,3640271.29,C108318597,3640271.29,0.0,C1038092429,6525.95,3646797.25
53,TRANSFER,931684.75,C101455775,931684.75,0.0,C1834538811,0.0,0.0
53,CASH_OUT,931684.75,C1888926728,931684.75,0.0,C1918631578,3608144.66,4539829.41
