step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
209,CASH_IN,313684.77,C1144457518,40037.0,353721.77,C15036857,296107.72,0.0
209,CASH_OUT,197478.16,C394837350,129052.0,0.0,C1560332473,632678.32,830156.48
209,CASH_IN,288510.26,C1947304235,29917.0,318427.26,C1482426208,0.0,0.0
209,PAYMENT,2661.99,C876654913,80527.0,77865.01,M1212326046,0.0,0.0
209,CASH_OUT,320556.15,C452155261,77865.01,0.0,C860340899,1599595.36,1920151.51
209,CASH_OUT,73953.24,C1653839313,153604.0,79650.76,C970240325,183706.15,257659.39
209,PAYMENT,5620.11,C1407773307,10092.0,4471.89,M242476744,0.0,0.0
209,PAYMENT,3962.92,C247140548,22615.0,18652.08,M1886921183,0.0,0.0
209,CASH_OUT,237363.72,C1683465881,30665.0,0.0,C1189337852,0.0,237363.72
209,CASH_IN,204378.6,C1971542397,31031.0,235409.6,C1968047792,0.0,0.0
209,CASH_OUT,10951.63,C602430009,10586.0,0.0,C1365243096,1694951.97,1705903.6
209,TRANSFER,711890.46,C305131842,3690.0,0.0,C1223100396,109459.17,821349.63
209,CASH_OUT,213835.57,C1259728624,14581.0,0.0,C1051710033,4423435.12,4637270.68
209,PAYMENT,13879.07,C607260254,0.0,0.0,M1164620147,0.0,0.0
209,CASH_IN,108680.12,C673377661,74317.0,182997.12,C1839750287,285194.27,176514.15
209,CASH_OUT,229179.01,C1277486311,71152.0,0.0,C1765444846,16974.51,246153.52
209,CASH_OUT,134340.97,C2018530243,14341.0,0.0,C1813843506,439422.52,573763.49
209,PAYMENT,15684.6,C1747031187,266.0,0.0,M1465370095,0.0,0.0
209,CASH_IN,295501.26,C1010761790,71108.0,366609.26,C1297993620,47550.57,0.0
209,PAYMENT,4712.79,C1175163441,366609.26,361896.47,M577377135,0.0,0.0
209,PAYMENT,4524.13,C1266401904,361896.47,357372.34,M251729361,0.0,0.0
209,PAYMENT,1609.68,C360809498,22890.0,21280.32,M1736576174,0.0,0.0
209,CASH_IN,226527.36,C1929325164,107973.0,334500.36,C1260434752,32924.11,0.0
209,PAYMENT,2958.25,C1977030271,334500.36,331542.11,M1827667339,0.0,0.0
209,CASH_OUT,62850.37,C461335492,101525.0,38674.63,C1945010377,0.0,62850.37
209,CASH_OUT,17556.09,C274239117,28619.0,11062.91,C672905105,10500.0,17135.32
209,PAYMENT,12612.71,C1567692311,105789.0,93176.29,M1315023767,0.0,0.0
209,CASH_OUT,225764.41,C782293204,164884.0,0.0,C445103711,0.0,225764.41
209,CASH_IN,492894.92,C2060982123,11055.0,503949.92,C2137325013,36942.69,0.0
209,CASH_OUT,196162.82,C793540489,20870.0,0.0,C853862412,87022.86,283185.67
209,PAYMENT,11818.73,C1823628516,33.0,0.0,M1157390302,0.0,0.0
209,PAYMENT,925.6,C2116381541,0.0,0.0,M848931607,0.0,0.0
209,PAYMENT,12405.02,C1286767836,0.0,0.0,M1788223547,0.0,0.0
209,CASH_IN,26888.35,C1069355087,107473.0,134361.35,C1329745711,87283.33,60394.98
209,CASH_OUT,445927.76,C1082377660,156804.0,0.0,C464479448,15411.22,461338.98
209,PAYMENT,2178.31,C416230676,0.0,0.0,M1132675534,0.0,0.0
209,PAYMENT,9438.88,C342560409,0.0,0.0,M1243318157,0.0,0.0
209,TRANSFER,613490.0,C735949911,510.0,0.0,C1969480307,0.0,613490.0
209,CASH_OUT,280747.53,C1921588691,60530.0,0.0,C782376454,35782.81,316530.34
209,PAYMENT,4965.36,C1054526173,291.0,0.0,M686490980,0.0,0.0
209,CASH_IN,216446.96,C1859285794,179001.0,395447.96,C1243613840,602996.58,386549.62
209,CASH_OUT,16879.84,C1418697902,103906.0,87026.16,C1271574025,0.0,16879.84
209,CASH_IN,4788.38,C1022048448,89690.0,94478.38,C1198663384,0.0,0.0
209,PAYMENT,12405.37,C1281083932,15722.0,3316.63,M837680086,0.0,0.0
209,CASH_OUT,55361.77,C430930857,350601.0,295239.23,C1014362254,1118846.94,1174208.71
209,PAYMENT,7627.69,C2087152996,105196.0,97568.31,M1853772766,0.0,0.0
209,PAYMENT,8203.7,C806565516,97568.31,89364.61,M1375953172,0.0,0.0
209,CASH_OUT,166890.65,C365443709,10325.0,0.0,C177751998,0.0,166890.65
209,CASH_OUT,122044.5,C154434489,10536.0,0.0,C1540467668,327457.36,449501.86
209,PAYMENT,13015.59,C549096261,1156.0,0.0,M1769489799,0.0,0.0
209,CASH_OUT,55688.38,C1027051783,0.0,0.0,C2007985594,58030.92,113719.3
209,CASH_OUT,324512.22,C393534635,40266.0,0.0,C1313123109,25205.12,349717.35
209,TRANSFER,266305.99,C1667276195,185966.0,0.0,C70911706,0.0,266305.99
209,CASH_IN,167333.17,C1210034229,219020.0,386353.17,C1997569511,107455.0,0.0
209,CASH_OUT,41807.02,C1235330968,139.0,0.0,C555497893,4748925.83,5235674.76
209,PAYMENT,12662.77,C2021763971,193578.0,180915.23,M535538869,0.0,0.0
209,PAYMENT,7642.08,C713089405,6934.0,0.0,M1859718866,0.0,0.0
209,PAYMENT,4916.25,C460418361,0.0,0.0,M1497228518,0.0,0.0
209,PAYMENT,7490.14,C1947958709,8453.0,962.86,M1376928378,0.0,0.0
209,PAYMENT,7878.8,C1117447588,962.86,0.0,M1958093765,0.0,0.0
209,CASH_IN,436132.31,C1542393395,10564.0,446696.31,C1893971348,0.0,0.0
209,PAYMENT,3846.89,C464422566,14880.0,11033.11,M244115378,0.0,0.0
209,CASH_OUT,216427.53,C1273054637,5645.0,0.0,C1345301000,4614193.12,4830620.65
209,PAYMENT,1015.79,C1759270004,358873.0,357857.21,M128480383,0.0,0.0
209,PAYMENT,9500.95,C1852875343,60165.0,50664.05,M796745217,0.0,0.0
209,CASH_OUT,2330.14,C629723246,31644.0,29313.86,C1226009593,1917375.12,1919705.27
209,CASH_OUT,206259.12,C1632060204,246.0,0.0,C1406946725,335193.0,541452.12
209,TRANSFER,95821.23,C172947345,6119.0,0.0,C2056358622,0.0,184949.78
209,PAYMENT,12354.15,C1325804943,51044.0,38689.85,M753835937,0.0,0.0
209,CASH_IN,88913.23,C2011948851,23384.0,112297.23,C75553784,589729.08,500815.84
209,PAYMENT,3457.15,C174351392,115.0,0.0,M1961908918,0.0,0.0
209,CASH_OUT,198858.73,C750501918,2584.0,0.0,C960696990,225391.54,424250.26
209,CASH_OUT,393637.94,C71399621,42022.0,0.0,C1716074103,375858.82,769496.75
209,CASH_OUT,146671.62,C757942537,553533.0,406861.38,C871099472,1143083.63,1289755.25
209,PAYMENT,5171.55,C1535022064,10866.0,5694.45,M699859889,0.0,0.0
209,CASH_OUT,65007.37,C650101010,40383.0,0.0,C1405317635,0.0,65007.37
209,CASH_OUT,126271.68,C1629331917,0.0,0.0,C893951168,818819.39,945091.06
209,CASH_OUT,162924.46,C1322471181,0.0,0.0,C1021863543,4138569.47,4301493.92
209,PAYMENT,258.68,C1600681965,21509.0,21250.32,M117934659,0.0,0.0
209,CASH_OUT,29625.75,C186142887,80425.0,50799.25,C495805231,0.0,29625.75
209,PAYMENT,634.25,C1609031150,20029.0,19394.75,M1135353568,0.0,0.0
209,CASH_OUT,42263.07,C2026029380,1122.0,0.0,C1302891052,594861.82,637124.89
209,CASH_OUT,10968.82,C831925139,0.0,0.0,C628432767,401715.72,481654.39
209,CASH_OUT,279868.86,C1358924002,0.0,0.0,C1796192576,297271.09,577139.95
209,CASH_OUT,96640.0,C1929889539,0.0,0.0,C420929279,580551.67,677191.67
209,CASH_OUT,96889.11,C488763590,0.0,0.0,C709659599,1179352.72,1276241.83
209,CASH_OUT,11299.89,C493587010,0.0,0.0,C1460041334,535295.4,546595.29
209,PAYMENT,13150.86,C830454165,174599.0,161448.14,M2089639782,0.0,0.0
209,CASH_OUT,294293.64,C1849174001,50776.0,0.0,C1318853192,0.0,294293.64
209,CASH_OUT,364452.01,C801151470,44243.0,0.0,C65910374,2092838.69,2457290.7
209,CASH_OUT,212713.07,C1673477778,51854.0,0.0,C1038868978,65148.05,592952.4
209,CASH_OUT,1841.77,C1969175532,16694.0,14852.23,C1545688642,4732009.39,4733851.16
209,CASH_OUT,97930.49,C1517788441,10058.0,0.0,C1821689600,0.0,97930.49
209,CASH_OUT,123370.98,C1901293648,64854.0,0.0,C1732874489,0.0,123370.98
209,PAYMENT,1077.38,C1795332934,0.0,0.0,M1728990609,0.0,0.0
209,PAYMENT,2477.59,C24615740,0.0,0.0,M1800190642,0.0,0.0
209,CASH_OUT,209368.34,C350999606,50471.0,0.0,C1045380473,173819.06,383187.39
209,CASH_IN,1081.19,C18637311,50987.0,52068.19,C1158221097,231014.62,229933.44
209,PAYMENT,4201.64,C1007662235,52068.19,47866.54,M840437890,0.0,0.0
209,PAYMENT,11090.28,C2023241875,47866.54,36776.26,M443133414,0.0,0.0
209,PAYMENT,7738.47,C1526950236,36776.26,29037.79,M695070398,0.0,0.0
209,PAYMENT,2709.81,C268965792,29037.79,26327.98,M1197051610,0.0,0.0
209,PAYMENT,532.74,C131090148,26327.98,25795.24,M1099845822,0.0,0.0
209,PAYMENT,6786.79,C292284984,25795.24,19008.45,M449808785,0.0,0.0
209,PAYMENT,51137.94,C523045706,19008.45,0.0,M748004273,0.0,0.0
209,PAYMENT,34961.38,C1650566705,0.0,0.0,M75770093,0.0,0.0
209,PAYMENT,12641.73,C1938031724,0.0,0.0,M1913497990,0.0,0.0
209,PAYMENT,22194.17,C489871832,0.0,0.0,M953440723,0.0,0.0
209,CASH_IN,60876.84,C1797299649,8969.0,69845.84,C172063096,1250551.51,1189674.67
209,CASH_IN,165095.28,C1954433210,20557.0,185652.28,C1712647002,472711.99,307616.71
209,PAYMENT,4476.55,C2131338228,185652.28,181175.73,M1703503623,0.0,0.0
209,CASH_IN,131390.09,C170406114,106464.0,237854.09,C1778507411,9911.85,0.0
209,CASH_IN,213468.01,C211128965,59814.0,273282.01,C385687643,9113.41,0.0
209,PAYMENT,5898.91,C1043437280,12068.0,6169.09,M279871358,0.0,0.0
209,CASH_IN,26439.25,C1531638441,123926.0,150365.25,C175041411,5704186.08,5677746.82
209,PAYMENT,15625.29,C2070627071,150365.25,134739.96,M1230986724,0.0,0.0
209,PAYMENT,1032.92,C711564862,134739.96,133707.04,M649784928,0.0,0.0
209,PAYMENT,7917.7,C132594930,133707.04,125789.34,M879026583,0.0,0.0
209,PAYMENT,11392.5,C1377435979,125789.34,114396.85,M597830790,0.0,0.0
209,PAYMENT,5421.42,C488408236,114396.85,108975.43,M250062529,0.0,0.0
209,CASH_IN,254850.09,C209055247,138470.0,393320.09,C1727543368,28945.23,0.0
209,PAYMENT,9725.27,C1048651035,393320.09,383594.82,M1203892099,0.0,0.0
