step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
251,CASH_IN,214956.31,C1191141394,25208.0,240164.31,C2062436390,0.0,0.0
251,PAYMENT,49239.28,C161308908,30135.0,0.0,M2044533708,0.0,0.0
251,CASH_OUT,14850.27,C1665923183,0.0,0.0,C1763770368,53971.46,68821.73
251,CASH_IN,55214.85,C1586097124,71.0,55285.85,C1660144344,328186.51,272971.67
251,CASH_OUT,65051.95,C1014065881,1120.0,0.0,C615362135,110770.67,175822.62
251,CASH_OUT,198590.35,C761464288,86579.0,0.0,C1459067746,792607.0,991197.34
251,CASH_OUT,141874.2,C290920611,42739.0,0.0,C755537803,1.255810768E7,1.269998188E7
251,CASH_IN,204434.01,C1050534,30551.0,234985.01,C1691205073,106640.0,0.0
251,CASH_OUT,151915.95,C922784479,234985.01,83069.06,C890985270,308705.83,460621.78
251,CASH_IN,289894.93,C49925594,70405.0,360299.93,C1314713326,0.0,0.0
251,PAYMENT,36516.64,C734158630,12339.0,0.0,M737104079,0.0,0.0
251,TRANSFER,656648.78,C415938823,400377.0,0.0,C407325956,1.615511562E7,1.68117644E7
251,CASH_OUT,14354.28,C1418801369,1457.0,0.0,C1940867466,56896.07,71250.35
251,PAYMENT,8855.78,C1829993986,0.0,0.0,M1017852487,0.0,0.0
251,PAYMENT,13849.89,C1910810196,0.0,0.0,M749623113,0.0,0.0
251,CASH_IN,514666.1,C1522257840,51717.0,566383.1,C1436665935,81547.66,0.0
251,CASH_OUT,183598.25,C1063778218,2047.0,0.0,C1442381324,60245.1,243843.36
251,PAYMENT,51468.31,C1801793556,30587.0,0.0,M900675118,0.0,0.0
251,CASH_OUT,40522.27,C837658980,189.0,0.0,C1268739448,0.0,40522.27
251,CASH_OUT,64756.89,C834130516,17495.0,0.0,C1354950342,0.0,64756.89
251,CASH_OUT,91704.82,C1930473958,50233.0,0.0,C494924176,1369585.84,1461290.66
251,CASH_OUT,321884.66,C1069742060,396.0,0.0,C1338824280,224307.2,546191.86
251,CASH_IN,146138.81,C1664671737,217143.0,363281.81,C1237462171,78594.87,0.0
251,CASH_OUT,163792.36,C1813152952,884.0,0.0,C746328516,419938.99,583731.35
251,CASH_IN,90978.53,C452695901,1049.0,92027.53,C1694166379,0.0,0.0
251,CASH_OUT,341583.68,C850296441,31549.0,0.0,C809192306,1349056.99,1690640.68
251,PAYMENT,7547.65,C399288514,139.0,0.0,M1862519239,0.0,0.0
251,TRANSFER,935657.07,C696580613,0.0,0.0,C1416913080,1093122.39,2028779.46
251,TRANSFER,318125.06,C1754793210,0.0,0.0,C1239072332,1935061.37,2253186.43
251,TRANSFER,1394581.34,C450898835,0.0,0.0,C52955332,1970708.47,3365289.82
251,TRANSFER,1092030.01,C1809618169,0.0,0.0,C1469858260,7716156.3,8808186.31
251,TRANSFER,573864.59,C1694900053,0.0,0.0,C2127642184,3738893.48,4312758.06
251,TRANSFER,974922.67,C1301375195,0.0,0.0,C1369355835,1072264.24,2047186.91
251,TRANSFER,608679.93,C1446411849,0.0,0.0,C1998750048,1.186763775E7,1.247631768E7
251,TRANSFER,222980.66,C1505903402,0.0,0.0,C1091723902,4568953.44,4791934.1
251,TRANSFER,378613.19,C216728560,0.0,0.0,C303534332,1693481.65,2072094.84
251,TRANSFER,360170.84,C1249539334,0.0,0.0,C42475905,2289047.29,2649218.13
251,TRANSFER,1039308.34,C802922038,0.0,0.0,C1766467840,3692413.29,4731721.63
251,TRANSFER,59126.44,C1682654196,0.0,0.0,C2032326962,2376160.18,2435286.62
251,PAYMENT,6465.56,C812328974,88482.0,82016.44,M698399040,0.0,0.0
251,PAYMENT,33060.59,C1526315116,10955.0,0.0,M1678967844,0.0,0.0
251,PAYMENT,19474.15,C223439856,26954.0,7479.85,M555198883,0.0,0.0
251,CASH_OUT,68478.15,C918183733,1896.0,0.0,C1112642717,17164.28,85642.44
251,PAYMENT,13934.43,C1257525218,0.0,0.0,M1291625383,0.0,0.0
