step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
723,TRANSFER,1232697.94,C981935704,1232697.94,0.0,C786585564,0.0,0.0
723,CASH_OUT,1232697.94,C230197841,1232697.94,0.0,C449117351,2532328.06,3765025.99
723,TRANSFER,6199009.0,C838658203,6199009.0,0.0,C539837230,0.0,0.0
723,CASH_OUT,6199009.0,C935658927,6199009.0,0.0,C1938522935,938804.47,7137813.47
723,TRANSFER,128893.5,C690631136,128893.5,0.0,C888357097,0.0,0.0
723,CASH_OUT,128893.5,C1064690652,128893.5,0.0,C810812783,209908.87,338802.36
723,TRANSFER,2232257.71,C546364616,2232257.71,0.0,C877246848,0.0,0.0
723,CASH_OUT,2232257.71,C684925403,2232257.71,0.0,C855824878,819923.42,3052181.14
723,TRANSFER,138373.64,C1343135760,138373.64,0.0,C946275837,0.0,0.0
723,CASH_OUT,138373.64,C1089852110,138373.64,0.0,C1848640378,125028.17,263401.81
723,TRANSFER,72955.08,C1722101892,72955.08,0.0,C1880386653,0.0,0.0
723,CASH_OUT,72955.08,C1464408178,72955.08,0.0,C262328593,0.0,72955.08
723,TRANSFER,457359.64,C1927429291,457359.64,0.0,C269394270,0.0,0.0
723,CASH_OUT,457359.64,C477094811,457359.64,0.0,C88386120,160042.8,617402.44
