step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
707,PAYMENT,32146.92,C1204912627,1160.0,0.0,M1056477431,0.0,0.0
707,CASH_IN,17911.33,C1283102427,0.0,17911.33,C1047321887,2690957.84,2673046.52
707,CASH_IN,79882.56,C226076974,17911.33,97793.89,C645219908,349506.3,269623.74
707,CASH_IN,243319.86,C1181515627,97793.89,341113.76,C932569407,308821.41,65501.54
707,CASH_IN,33192.35,C1021911161,341113.76,374306.11,C104229110,356524.24,323331.89
707,CASH_IN,210579.51,C616412529,374306.11,584885.62,C2066068388,1633577.76,1422998.25
707,CASH_IN,205976.52,C1691179025,584885.62,790862.14,C229423844,268460.65,62484.13
707,CASH_IN,343887.16,C1098900676,790862.14,1134749.3,C1158112060,354740.44,10853.27
707,CASH_IN,187629.31,C878767738,1134749.3,1322378.6,C612918591,3160452.8,2972823.5
707,CASH_IN,267940.26,C2109723578,1322378.6,1590318.86,C1267706171,1664266.28,1396326.02
707,CASH_IN,112576.91,C1941701068,1590318.86,1702895.77,C8514010,259681.59,147104.68
707,CASH_IN,29067.01,C1297846971,1702895.77,1731962.78,C822382148,174143.9,145076.89
707,CASH_IN,87550.26,C2130421332,1731962.78,1819513.04,C673261446,959419.62,871869.36
707,CASH_IN,55835.04,C2103085106,1819513.04,1875348.08,C1628487764,959436.68,903601.64
707,CASH_IN,175567.25,C1853572148,1875348.08,2050915.33,C1223932526,565476.81,389909.56
707,CASH_IN,197112.76,C2141506826,2050915.33,2248028.08,C23663274,429583.35,232470.59
707,CASH_IN,66665.18,C1557007788,2248028.08,2314693.27,C196596394,160312.55,93647.36
707,CASH_IN,90181.27,C1979454751,2314693.27,2404874.53,C1149518105,598628.42,508447.15
707,CASH_IN,135100.21,C1091745136,2404874.53,2539974.74,C1662060294,346060.83,210960.62
707,CASH_IN,462785.62,C411561157,2539974.74,3002760.36,C322517787,2613163.92,2150378.3
707,CASH_IN,49967.98,C881336596,3002760.36,3052728.34,C602577930,507327.62,457359.64
707,CASH_IN,207339.93,C566857335,3052728.34,3260068.27,C1030220565,1520020.76,1312680.83
707,CASH_IN,46445.9,C1973687819,3260068.27,3306514.17,C1503773303,219248.7,172802.8
707,CASH_IN,107249.97,C1382170046,3306514.17,3413764.14,C140637427,1273739.13,1166489.16
707,CASH_IN,69335.26,C655832679,3413764.14,3483099.4,C2121674863,374339.52,305004.25
707,CASH_IN,306073.31,C1245753028,3483099.4,3789172.71,C81959866,5045651.21,4739577.9
707,CASH_IN,148655.98,C520224201,3789172.71,3937828.7,C558282867,259912.07,111256.08
707,CASH_IN,69062.42,C1556986970,3937828.7,4006891.12,C1495436211,166400.61,97338.19
707,CASH_IN,358404.93,C1115102634,4006891.12,4365296.04,C1012425371,2815088.82,2456683.89
707,CASH_IN,3239.36,C219065774,4365296.04,4368535.4,C1172016385,383251.44,380012.08
707,CASH_IN,84767.41,C502396531,32864.0,117631.41,C53923076,0.0,0.0
707,PAYMENT,3725.66,C753907451,90392.0,86666.34,M1452237953,0.0,0.0
707,PAYMENT,4122.94,C781500451,86666.34,82543.4,M1011153388,0.0,0.0
707,CASH_OUT,57920.47,C1833814257,374.0,0.0,C407804946,402395.09,460315.56
707,CASH_OUT,465746.46,C1078657717,111.0,0.0,C1680452219,1122706.77,1588453.24
707,CASH_OUT,267735.73,C1222006599,1131.0,0.0,C1773597653,0.0,267735.73
707,CASH_OUT,35438.9,C1397120040,20434.0,0.0,C1236449285,0.0,35438.9
707,PAYMENT,15542.04,C1347357937,0.0,0.0,M1216996071,0.0,0.0
707,CASH_IN,12479.09,C849340638,37669.0,50148.09,C1810001178,896906.17,884427.08
707,CASH_OUT,219769.88,C1406752185,124.0,0.0,C2006031132,383980.1,603749.98
707,TRANSFER,234667.36,C2069488567,5154.0,0.0,C1786746696,0.0,234667.36
707,CASH_OUT,8474.71,C2093000929,0.0,0.0,C378487911,1487739.75,1496214.46
707,CASH_OUT,253520.21,C836003519,1083.0,0.0,C232829388,330313.48,583833.7
707,PAYMENT,20720.75,C683252129,23003.0,2282.25,M474583898,0.0,0.0
707,PAYMENT,27035.13,C1706538898,2282.25,0.0,M2000995333,0.0,0.0
707,PAYMENT,14109.6,C324284381,0.0,0.0,M1138212270,0.0,0.0
707,PAYMENT,24108.34,C453286241,51358.0,27249.66,M1244725992,0.0,0.0
707,CASH_IN,141569.76,C2024404660,544.0,142113.76,C1710854683,2346172.44,2204602.68
707,CASH_OUT,56195.46,C107810498,309545.0,253349.54,C1742752678,692220.68,748416.14
707,CASH_IN,172209.1,C958218495,2847.0,175056.1,C26037713,44607.36,0.0
707,CASH_OUT,47060.07,C2071536502,92254.0,45193.93,C1176575371,163653.81,210713.88
707,CASH_IN,160305.57,C1280468731,22038.0,182343.57,C404162693,0.0,0.0
707,TRANSFER,59809.73,C581397165,161444.0,101634.27,C885059670,36910.79,96720.53
