step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
737,TRANSFER,190100.29,C369775274,190100.29,0.0,C1048847167,0.0,0.0
737,CASH_OUT,190100.29,C2010561147,190100.29,0.0,C493481866,848487.62,1038587.91
737,TRANSFER,946705.53,C1524194171,946705.53,0.0,C357888969,0.0,0.0
737,CASH_OUT,946705.53,C2000156493,946705.53,0.0,C466527004,277951.15,1224656.68
737,TRANSFER,2194533.79,C871130115,2194533.79,0.0,C1027984317,0.0,0.0
737,CASH_OUT,2194533.79,C1907033447,2194533.79,0.0,C1163998762,272242.91,2466776.7
737,TRANSFER,167606.49,C1631161002,167606.49,0.0,C2099952089,0.0,0.0
737,CASH_OUT,167606.49,C696026207,167606.49,0.0,C1386785907,2315864.75,2483471.24
737,TRANSFER,1281113.84,C2044735759,1281113.84,0.0,C2118381511,0.0,0.0
737,CASH_OUT,1281113.84,C1346995049,1281113.84,0.0,C1049862186,0.0,1281113.84
