step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
350,CASH_OUT,91376.52,C1432238979,84646.0,0.0,C1765254864,114100.85,205477.37
350,CASH_OUT,10607.1,C630554310,9570.0,0.0,C1481496002,1913534.99,1924142.09
350,CASH_OUT,268589.97,C1408891755,221.0,0.0,C887406330,0.0,268589.97
350,CASH_IN,29185.8,C1394784915,6213.0,35398.8,C1957848066,2197.66,0.0
350,PAYMENT,43347.82,C2005143895,96052.0,52704.18,M2036937263,0.0,0.0
350,CASH_OUT,97699.59,C1700244682,7825.0,0.0,C1616249712,4100807.46,4198507.05
350,CASH_OUT,303092.11,C602367185,1279.0,0.0,C1169201639,0.0,303092.11
350,CASH_IN,214629.72,C1958664019,25439.0,240068.72,C1597487214,0.0,0.0
350,CASH_OUT,541113.93,C1157004193,317707.0,0.0,C1578839381,0.0,541113.93
350,PAYMENT,20745.71,C480230921,35.0,0.0,M80122023,0.0,0.0
350,CASH_IN,292952.25,C113298211,229.0,293181.25,C1542466818,0.0,0.0
350,PAYMENT,2802.91,C1897693993,14963.0,12160.09,M278009077,0.0,0.0
350,CASH_OUT,297603.86,C543288808,19829.0,0.0,C988843711,470715.86,768319.72
350,TRANSFER,2591941.66,C544776980,0.0,0.0,C584722328,1.111078274E7,1.37027244E7
350,PAYMENT,69073.83,C904428025,436.0,0.0,M903738893,0.0,0.0
350,CASH_OUT,74283.93,C452744179,6924.0,0.0,C1048218214,489824.99,564108.92
350,PAYMENT,6880.23,C2147038139,69456.0,62575.77,M162048524,0.0,0.0
350,CASH_IN,439874.62,C1394563242,10638.0,450512.62,C1818343203,4761336.52,4321461.89
350,PAYMENT,4286.93,C730131185,450512.62,446225.69,M492200145,0.0,0.0
350,CASH_IN,274587.17,C1373782461,10876.0,285463.17,C49696899,107807.72,0.0
350,CASH_OUT,143119.49,C2014415139,285463.17,142343.68,C1688583885,961757.22,1104876.71
350,CASH_OUT,272387.36,C1959667634,142343.68,0.0,C1775754701,804330.28,1076717.63
350,CASH_OUT,37330.61,C1521516818,0.0,0.0,C248866711,230896.87,268227.49
350,CASH_OUT,61944.21,C429710416,0.0,0.0,C1283887381,1524617.69,1586561.9
350,CASH_OUT,196746.83,C1840256721,0.0,0.0,C576744195,1.621666677E7,1.641341361E7
350,CASH_OUT,265164.49,C1757831010,0.0,0.0,C1333016061,1.081531967E7,1.108048416E7
350,CASH_OUT,82884.9,C908127097,0.0,0.0,C666998037,180394.4,263279.3
350,CASH_OUT,94292.77,C1235345329,0.0,0.0,C97245900,436528.56,530821.33
