step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
27,PAYMENT,1904.38,C144126040,51093.0,49188.62,M2071323381,0.0,0.0
27,PAYMENT,2134.51,C1079101829,103254.0,101119.49,M489965282,0.0,0.0
27,PAYMENT,479.67,C739287276,29844.0,29364.33,M2024181201,0.0,0.0
27,PAYMENT,9889.16,C922054305,3078.0,0.0,M155790795,0.0,0.0
27,PAYMENT,12483.49,C553122766,0.0,0.0,M1827873284,0.0,0.0
27,CASH_OUT,45205.06,C1903085917,82290.0,37084.94,C708322987,390380.39,435585.45
27,PAYMENT,1180.67,C822711758,37084.94,35904.26,M775893418,0.0,0.0
27,TRANSFER,494244.61,C1529468267,494244.61,0.0,C1924171481,0.0,0.0
27,CASH_OUT,494244.61,C1544211314,494244.61,0.0,C1751768780,653451.43,1147696.03
27,PAYMENT,2060.43,C567317208,301.0,0.0,M1991595305,0.0,0.0
27,CASH_OUT,231573.61,C1671582745,0.0,0.0,C282375327,749643.57,981217.18
27,CASH_OUT,293697.05,C1769554500,0.0,0.0,C721772128,436686.09,730383.13
27,CASH_OUT,17517.15,C1276795873,0.0,0.0,C1771889313,867084.46,884601.61
27,CASH_OUT,97017.91,C282743638,0.0,0.0,C392686199,491321.5,588339.41
27,CASH_OUT,344711.73,C1630134216,0.0,0.0,C583527744,763653.82,1108365.56
27,CASH_OUT,294096.88,C1122097867,0.0,0.0,C399700682,2267896.21,2561993.09
27,CASH_OUT,329676.21,C1555715109,0.0,0.0,C1252776838,909486.95,1239163.16
27,CASH_OUT,241096.43,C515439623,0.0,0.0,C183036479,9302440.14,9543536.58
27,PAYMENT,3049.45,C826324871,28249.0,25199.55,M2109408486,0.0,0.0
27,TRANSFER,210413.69,C1932426248,25199.55,0.0,C1854453853,1609798.8,1820212.5
27,TRANSFER,1065625.05,C716172974,0.0,0.0,C1266435158,4891094.04,5956719.08
27,TRANSFER,422722.56,C510101747,0.0,0.0,C492997256,6082337.72,6505060.28
27,TRANSFER,858009.24,C1004418029,0.0,0.0,C1967233048,1298760.67,2156769.92
27,TRANSFER,556284.46,C990959266,0.0,0.0,C1426739057,1062627.42,1618911.88
27,PAYMENT,4722.33,C1847559664,111615.0,106892.67,M1285404880,0.0,0.0
27,PAYMENT,5874.56,C110541813,9029.0,3154.44,M990824515,0.0,0.0
27,TRANSFER,329937.88,C699198167,329937.88,0.0,C2064246111,0.0,0.0
27,CASH_OUT,329937.88,C148278282,329937.88,0.0,C1783581377,349407.23,679345.1
27,PAYMENT,3658.58,C1001183222,9934.0,6275.42,M1982680080,0.0,0.0
27,PAYMENT,12230.48,C949615184,6275.42,0.0,M76777365,0.0,0.0
27,PAYMENT,1284.12,C1507718038,14579.0,13294.88,M1158445425,0.0,0.0
27,TRANSFER,496128.26,C842027258,496128.26,0.0,C136618845,0.0,0.0
27,CASH_OUT,496128.26,C705152518,496128.26,0.0,C741210093,465770.07,961898.33
27,PAYMENT,4558.9,C485540243,33968.0,29409.1,M982639757,0.0,0.0
27,CASH_OUT,373980.8,C169268389,29409.1,0.0,C453004446,1228843.88,1602824.68
27,PAYMENT,3760.62,C506795031,14593.0,10832.38,M80982555,0.0,0.0
27,PAYMENT,5845.76,C835947392,546.0,0.0,M232575715,0.0,0.0
27,PAYMENT,9384.71,C1006627555,54095.0,44710.29,M572904685,0.0,0.0
27,PAYMENT,5979.92,C260560034,16360.0,10380.08,M1680299131,0.0,0.0
27,TRANSFER,1218165.88,C361429301,1218165.88,0.0,C550179566,0.0,0.0
27,CASH_OUT,1218165.88,C807604201,1218165.88,0.0,C849028719,742564.27,1960730.15
