step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
683,PAYMENT,3027.66,C1883969561,22331.0,19303.34,M641076362,0.0,0.0
683,CASH_OUT,41431.44,C1515362545,12434.0,0.0,C2118733105,368816.85,410248.29
683,TRANSFER,455972.07,C1014197859,44120.0,0.0,C1061927004,908551.08,1364523.15
683,CASH_OUT,233733.6,C340800036,0.0,0.0,C1668437563,577978.94,811712.55
683,CASH_OUT,45502.01,C34877048,0.0,0.0,C448567182,2409879.9,2455381.91
683,CASH_OUT,74415.98,C1288682459,0.0,0.0,C788796522,133001.45,207417.42
683,CASH_OUT,83622.82,C1802032215,0.0,0.0,C49139626,1457973.12,1541595.94
683,CASH_OUT,354177.91,C2126252556,0.0,0.0,C1465371047,416680.44,770858.35
683,CASH_OUT,146908.36,C1576569933,0.0,0.0,C2024774568,392165.16,539073.52
683,CASH_OUT,117266.76,C1817769290,0.0,0.0,C1151424466,1164318.57,1281585.32
683,CASH_OUT,96926.32,C1103056634,0.0,0.0,C1777551226,592683.11,689609.43
683,CASH_OUT,98851.37,C1607323819,0.0,0.0,C447147765,1251347.11,1350198.48
683,CASH_OUT,80907.5,C1187948027,0.0,0.0,C367424778,2976334.27,3057241.76
683,CASH_OUT,318473.79,C1830283981,0.0,0.0,C1538427293,339705.24,658179.03
683,CASH_OUT,87519.77,C1457824011,0.0,0.0,C243909507,1796757.68,1884277.44
683,CASH_OUT,173936.59,C1738374132,0.0,0.0,C2095065404,585946.9,759883.49
683,CASH_OUT,89817.84,C1422916481,0.0,0.0,C1981723789,1.015310323E7,1.024292107E7
683,CASH_OUT,54267.2,C115094103,0.0,0.0,C640075466,1646758.05,1701025.25
683,CASH_OUT,560826.16,C1975723902,0.0,0.0,C810334748,2137156.62,2697982.78
683,CASH_OUT,161274.29,C2039324905,0.0,0.0,C1946131214,283924.15,445198.43
683,CASH_OUT,173037.37,C1387618218,0.0,0.0,C439818797,1762467.13,1935504.5
683,CASH_OUT,190226.17,C891060513,0.0,0.0,C6865926,573024.71,763250.87
683,CASH_OUT,140598.83,C1493739563,0.0,0.0,C2023524695,1395301.89,1535900.72
683,CASH_OUT,67151.26,C1293340939,0.0,0.0,C1387604620,514305.98,581457.24
683,CASH_OUT,75717.77,C891723532,0.0,0.0,C27608916,1771794.93,1847512.7
683,CASH_OUT,75225.97,C1692534016,0.0,0.0,C151477466,1475939.96,1551165.93
683,CASH_OUT,106887.39,C2016911431,0.0,0.0,C593073948,181708.92,288596.31
683,CASH_OUT,440425.14,C55752899,21131.0,0.0,C652343189,0.0,440425.14
683,TRANSFER,7531605.57,C42830170,0.0,0.0,C792650255,2.844619665E7,3.597780221E7
683,TRANSFER,1004101.61,C1991464462,0.0,0.0,C1669123660,1142141.86,2146243.47
683,TRANSFER,212180.06,C860091655,0.0,0.0,C773202706,1374865.39,1587045.45
683,TRANSFER,256270.14,C633460492,0.0,0.0,C2041098594,5005419.1,5261689.24
683,TRANSFER,302540.13,C1273519543,0.0,0.0,C1937159507,467893.61,770433.74
683,TRANSFER,18841.72,C654799330,0.0,0.0,C1000469224,122109.38,140951.1
683,TRANSFER,827538.77,C188761032,0.0,0.0,C1193046101,1777823.51,2605362.28
683,TRANSFER,113413.48,C546475035,0.0,0.0,C791162093,3986048.43,4099461.9
683,TRANSFER,430401.04,C698251355,0.0,0.0,C1423246212,6.421334109E7,6.464374214E7
683,TRANSFER,246237.27,C898270443,0.0,0.0,C1226186627,363498.4,609735.67
683,TRANSFER,437747.61,C1021173649,0.0,0.0,C897184208,4601304.2,5039051.81
683,TRANSFER,941673.29,C136019525,0.0,0.0,C652989110,3730698.65,4672371.94
683,TRANSFER,719690.2,C1377665981,0.0,0.0,C358267938,2496361.27,3216051.47
683,TRANSFER,475280.74,C869398729,0.0,0.0,C1655841366,777572.99,1252853.73
683,TRANSFER,94473.41,C1629653109,0.0,0.0,C1776303120,106401.72,200875.13
683,TRANSFER,312318.49,C840444738,0.0,0.0,C1386686439,1933969.05,2246287.54
683,TRANSFER,204195.68,C212223703,0.0,0.0,C1440590065,410307.93,614503.61
683,TRANSFER,780856.1,C806219834,0.0,0.0,C1804967802,1689286.92,2470143.03
683,CASH_IN,194195.1,C1167701870,1097.0,195292.1,C786699334,0.0,0.0
683,CASH_IN,463471.72,C908646052,495934.0,959405.72,C1305013561,0.0,0.0
683,CASH_IN,525150.53,C134659656,144.0,525294.53,C1532051318,0.0,0.0
683,PAYMENT,5693.6,C1473577810,525294.53,519600.92,M1610611713,0.0,0.0
683,PAYMENT,7992.39,C789744812,62751.0,54758.61,M307991544,0.0,0.0
683,PAYMENT,7438.22,C1844170098,3849.0,0.0,M1305750330,0.0,0.0
683,CASH_IN,177477.96,C1989720512,8510.0,185987.96,C1138566109,70591.01,0.0
683,PAYMENT,13422.83,C949100728,185987.96,172565.13,M186772101,0.0,0.0
683,PAYMENT,6023.64,C1732283680,94241.0,88217.36,M1420127921,0.0,0.0
683,PAYMENT,17646.08,C2098922365,5314.0,0.0,M2045422489,0.0,0.0
683,CASH_OUT,401154.57,C446693385,152.0,0.0,C244504880,0.0,401154.57
683,PAYMENT,14552.63,C1703884042,0.0,0.0,M1084932653,0.0,0.0
683,CASH_IN,205185.53,C1815089090,50273.0,255458.53,C288830092,1570825.88,1365640.34
683,CASH_OUT,182335.82,C1988819461,255458.53,73122.71,C2076772363,244136.54,426472.36
683,PAYMENT,2799.78,C1781638843,16887.0,14087.22,M2082257530,0.0,0.0
683,PAYMENT,7636.56,C272561188,14087.22,6450.66,M835022580,0.0,0.0
683,PAYMENT,7212.99,C1445335561,31435.0,24222.01,M1341173213,0.0,0.0
683,PAYMENT,758.57,C671678419,24222.01,23463.44,M849385192,0.0,0.0
683,CASH_IN,158188.21,C1425042671,127621.0,285809.21,C1488735011,192606.5,34418.29
683,PAYMENT,3185.48,C505724393,52859.0,49673.52,M1899835289,0.0,0.0
683,CASH_OUT,205109.48,C1201467520,16477.0,0.0,C1104810713,414167.26,619276.74
683,CASH_IN,124834.68,C282885000,9674.0,134508.68,C112954829,901748.05,776913.37
683,PAYMENT,27511.51,C724326287,134508.68,106997.17,M863364244,0.0,0.0
683,CASH_OUT,120952.43,C332208778,31718.0,0.0,C1085905024,0.0,120952.43
683,CASH_OUT,431722.31,C1623073600,7132.0,0.0,C417192183,51826.81,483549.12
683,PAYMENT,3098.57,C703041783,0.0,0.0,M900370459,0.0,0.0
683,CASH_OUT,633292.99,C1321784686,10263.0,0.0,C1624212103,501353.83,1134646.82
683,TRANSFER,452736.87,C1610435540,200720.0,0.0,C911165143,273364.78,726101.65
683,CASH_OUT,223182.73,C1242040564,0.0,0.0,C1261065672,1185097.46,1408280.19
683,PAYMENT,10427.05,C734229478,204071.0,193643.95,M589869141,0.0,0.0
683,PAYMENT,26661.77,C373222415,193643.95,166982.18,M486214036,0.0,0.0
683,PAYMENT,14211.93,C748094894,30448.0,16236.07,M1255907953,0.0,0.0
683,CASH_IN,45111.25,C727998897,651.0,45762.25,C185153783,340064.92,294953.67
683,CASH_OUT,418975.03,C1872194272,10974.0,0.0,C1248033573,718095.48,1137070.51
683,TRANSFER,516297.93,C2067380425,11349.0,0.0,C1866174666,2152202.56,2668500.49
683,CASH_IN,130164.66,C1818641909,0.0,130164.66,C1337262340,270266.5,140101.84
683,CASH_IN,97136.65,C1686620193,130164.66,227301.31,C1655296151,155067.13,57930.49
683,CASH_IN,342791.32,C806583867,227301.31,570092.62,C74621005,5683496.76,5340705.44
683,CASH_IN,73334.99,C114976512,570092.62,643427.62,C1107608656,253891.84,180556.85
683,CASH_IN,193773.66,C1489884099,643427.62,837201.28,C1503482040,261098.63,67324.97
683,CASH_IN,237312.32,C47304251,837201.28,1074513.59,C1586091197,4126337.16,3889024.85
683,CASH_IN,28050.45,C689474300,1074513.59,1102564.04,C1653808799,1512673.39,1484622.94
683,CASH_IN,298144.64,C2091846328,1102564.04,1400708.68,C1806924054,1023645.24,725500.6
683,CASH_IN,89175.58,C1246403877,1400708.68,1489884.26,C1414976781,2976710.33,2887534.75
683,CASH_IN,120047.12,C1181102657,1489884.26,1609931.38,C2029700103,7704280.59,7584233.46
683,CASH_IN,251574.76,C734273307,1609931.38,1861506.14,C704849431,303507.77,51933.01
683,CASH_IN,13249.14,C792345105,1861506.14,1874755.28,C1478014677,357639.32,344390.19
683,CASH_IN,27535.88,C822557030,1874755.28,1902291.16,C505876203,1870072.71,1842536.83
683,CASH_IN,103007.23,C1183117629,1902291.16,2005298.38,C163843738,4981962.04,4878954.82
683,CASH_IN,196632.4,C1295188529,2005298.38,2201930.78,C768255040,3735213.11,3538580.71
683,CASH_IN,51168.99,C866599732,2201930.78,2253099.77,C1255390031,67395.13,16226.14
683,CASH_IN,233363.52,C996380719,2253099.77,2486463.29,C459812338,681593.97,448230.45
683,CASH_IN,578164.55,C1510970215,2486463.29,3064627.84,C69112306,5440196.84,4862032.29
683,CASH_IN,80221.93,C259530909,3064627.84,3144849.77,C936283020,495771.64,415549.71
683,CASH_IN,228025.07,C105868453,3144849.77,3372874.83,C79869541,306124.01,78098.94
683,CASH_IN,215754.47,C554329771,3372874.83,3588629.31,C391948559,1026473.4,810718.93
683,CASH_IN,7818.99,C121130310,3588629.31,3596448.3,C1228750466,107307.65,99488.66
683,CASH_IN,107653.87,C1225456116,3596448.3,3704102.16,C1396529888,340725.53,233071.66
683,CASH_IN,24260.34,C878550580,3704102.16,3728362.51,C1116347835,346657.37,322397.02
683,CASH_IN,93254.09,C1183881514,3728362.51,3821616.6,C1904556969,558103.15,464849.06
683,CASH_IN,197669.75,C50835139,3821616.6,4019286.34,C635281078,8205340.37,8007670.62
683,CASH_IN,121331.9,C500969998,4019286.34,4140618.24,C1666926780,365763.61,244431.71
