step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
601,PAYMENT,115.0,C396363347,50.0,0.0,M1137898995,0.0,0.0
601,PAYMENT,23302.85,C1505891415,0.0,0.0,M1672214987,0.0,0.0
601,PAYMENT,2180.34,C1957624179,39492.0,37311.66,M545781624,0.0,0.0
601,PAYMENT,1504.97,C1764634515,49660.0,48155.03,M1433921244,0.0,0.0
601,PAYMENT,4445.6,C1452402784,1612.0,0.0,M1228077565,0.0,0.0
601,PAYMENT,3453.28,C1366824447,0.0,0.0,M1003706378,0.0,0.0
601,PAYMENT,4164.55,C1649964536,11626.0,7461.45,M1014728031,0.0,0.0
601,CASH_OUT,264164.14,C759019714,7461.45,0.0,C1934185092,4813833.71,5077997.86
601,CASH_OUT,255500.77,C202356327,0.0,0.0,C1016527144,5457831.23,5713332.01
601,CASH_OUT,136515.17,C769254827,0.0,0.0,C272385443,8085379.24,8221894.41
601,CASH_OUT,457148.54,C1298717746,0.0,0.0,C2119953305,2872496.87,3329645.41
601,CASH_OUT,328584.28,C231966453,0.0,0.0,C576006251,2606712.19,2935296.46
601,CASH_OUT,64582.66,C2090775974,0.0,0.0,C32508071,4309150.07,4373732.72
601,CASH_OUT,340175.06,C503898915,0.0,0.0,C1138454120,455084.67,795259.73
601,CASH_OUT,230687.0,C361379228,0.0,0.0,C1100350160,269240.59,499927.59
601,CASH_OUT,79839.4,C83881462,0.0,0.0,C550113816,103282.14,183121.55
601,DEBIT,5007.02,C231037770,23701.0,18693.98,C79890680,1415375.04,1420382.06
601,PAYMENT,422.25,C1410183210,55006.0,54583.75,M284121570,0.0,0.0
601,PAYMENT,1079.95,C1803851348,26409.0,25329.05,M1287429989,0.0,0.0
601,PAYMENT,954.96,C1971972664,10682.0,9727.04,M532909346,0.0,0.0
601,PAYMENT,6600.44,C1346014904,21520.0,14919.56,M2018862189,0.0,0.0
601,PAYMENT,11184.46,C1119324533,14919.56,3735.1,M1092527772,0.0,0.0
601,PAYMENT,4435.23,C1163247433,150273.0,145837.77,M376495490,0.0,0.0
601,PAYMENT,751.7,C1760694808,52524.0,51772.3,M1558995932,0.0,0.0
601,PAYMENT,4087.87,C875241727,29564.0,25476.13,M614950709,0.0,0.0
601,CASH_OUT,57530.0,C1555940203,25476.13,0.0,C1819706577,7398075.43,7455605.43
601,DEBIT,183.65,C1676716451,10227.0,10043.35,C2124100086,205716.18,205899.83
601,PAYMENT,13480.12,C238113274,10043.35,0.0,M288362950,0.0,0.0
601,PAYMENT,2522.21,C597962256,1874.0,0.0,M1174349430,0.0,0.0
601,PAYMENT,18923.42,C1095041458,0.0,0.0,M1349158525,0.0,0.0
601,DEBIT,2426.25,C1388115662,18321.0,15894.75,C13713382,2464915.21,2467341.46
601,PAYMENT,2885.44,C1850517113,116325.0,113439.56,M133001875,0.0,0.0
601,PAYMENT,8179.47,C61887869,113439.56,105260.1,M907004227,0.0,0.0
601,PAYMENT,1542.65,C1031528085,1354.0,0.0,M1374571075,0.0,0.0
601,CASH_IN,660908.82,C1358231230,18903.0,679811.82,C249980800,0.0,0.0
601,CASH_OUT,174150.87,C419002418,679811.82,505660.95,C508145650,368975.24,543126.11
601,PAYMENT,3053.23,C2073400014,64627.0,61573.77,M1485468589,0.0,0.0
601,PAYMENT,7703.07,C800861956,39810.0,32106.93,M2094524969,0.0,0.0
601,DEBIT,2937.26,C721622175,55823.0,52885.74,C857753866,3063785.6,3066722.86
601,PAYMENT,9058.98,C547298633,12508.0,3449.02,M1846919761,0.0,0.0
601,PAYMENT,11733.0,C768670488,31863.0,20130.0,M507815377,0.0,0.0
601,PAYMENT,231.97,C1181324805,20130.0,19898.03,M103728083,0.0,0.0
601,PAYMENT,7405.86,C739041333,19898.03,12492.17,M400405064,0.0,0.0
601,PAYMENT,15011.61,C495900424,12492.17,0.0,M1833873201,0.0,0.0
601,PAYMENT,17705.38,C646506469,0.0,0.0,M1547521678,0.0,0.0
601,PAYMENT,20265.0,C937485462,0.0,0.0,M802153084,0.0,0.0
601,PAYMENT,5353.16,C1318686639,0.0,0.0,M2020012492,0.0,0.0
601,PAYMENT,8338.75,C1209171458,0.0,0.0,M404662654,0.0,0.0
601,PAYMENT,11186.13,C444115237,0.0,0.0,M1432343351,0.0,0.0
601,PAYMENT,12628.41,C241583600,0.0,0.0,M1667123227,0.0,0.0
601,PAYMENT,1125.3,C1018229972,0.0,0.0,M391990814,0.0,0.0
601,PAYMENT,7114.76,C724095168,0.0,0.0,M984042286,0.0,0.0
601,PAYMENT,8733.09,C25825018,0.0,0.0,M2094701931,0.0,0.0
601,PAYMENT,23493.91,C295300320,0.0,0.0,M291978182,0.0,0.0
601,PAYMENT,9114.65,C1087048398,0.0,0.0,M1750263417,0.0,0.0
601,PAYMENT,13559.45,C921893247,0.0,0.0,M518212972,0.0,0.0
601,PAYMENT,2260.83,C115783940,0.0,0.0,M2037970575,0.0,0.0
601,PAYMENT,11228.58,C1491128798,0.0,0.0,M1559003011,0.0,0.0
601,PAYMENT,2540.27,C1878119299,0.0,0.0,M1359187068,0.0,0.0
601,PAYMENT,10008.92,C255056291,0.0,0.0,M815579041,0.0,0.0
601,PAYMENT,22559.07,C1368399866,0.0,0.0,M473766360,0.0,0.0
601,PAYMENT,3204.93,C231879997,290.0,0.0,M1483141777,0.0,0.0
601,TRANSFER,180506.8,C165173672,99781.0,0.0,C1814988458,190462.44,370969.24
601,CASH_OUT,112.57,C2103403154,0.0,0.0,C485890355,29394.55,29507.12
601,PAYMENT,2768.45,C1631116249,115788.0,113019.55,M245714709,0.0,0.0
601,DEBIT,4859.29,C1174098544,74889.0,70029.71,C611819959,158699.75,163559.04
601,PAYMENT,237.63,C1136063407,51581.0,51343.37,M1685528083,0.0,0.0
601,PAYMENT,4766.9,C1074673775,51343.37,46576.47,M1601800908,0.0,0.0
601,TRANSFER,169932.87,C723919111,15656.0,0.0,C1574938947,0.0,169932.87
601,PAYMENT,30362.03,C2013079030,0.0,0.0,M1174513190,0.0,0.0
601,PAYMENT,1517.17,C1438477248,6263.0,4745.83,M1334396521,0.0,0.0
601,PAYMENT,6120.63,C1371871483,40978.0,34857.37,M448705651,0.0,0.0
601,DEBIT,781.37,C610484111,12389.0,11607.63,C1242466568,2.839567269E7,2.839645406E7
601,PAYMENT,6219.97,C559714148,5557.0,0.0,M1478973812,0.0,0.0
601,DEBIT,187.28,C936735535,409564.0,409376.72,C1161875715,361067.27,361254.55
601,PAYMENT,1556.26,C175615261,240515.0,238958.74,M1326785688,0.0,0.0
601,TRANSFER,48023.72,C756758775,52818.0,4794.28,C270630300,189653.24,237676.96
601,PAYMENT,12016.14,C835414640,4794.28,0.0,M107165201,0.0,0.0
601,PAYMENT,1708.23,C1622471585,0.0,0.0,M337421248,0.0,0.0
601,PAYMENT,5891.94,C2129581017,0.0,0.0,M1638052267,0.0,0.0
601,PAYMENT,4227.47,C642547653,0.0,0.0,M1472191087,0.0,0.0
