step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
31,TRANSFER,335219.49,C1775717184,335219.49,0.0,C1987320319,0.0,0.0
31,CASH_OUT,335219.49,C89283631,335219.49,0.0,C1228650470,111675.56,446895.05
31,TRANSFER,120406.39,C237098657,120406.39,0.0,C1177827371,0.0,0.0
31,CASH_OUT,120406.39,C1938001564,120406.39,0.0,C878440089,0.0,120406.39
31,TRANSFER,21516.38,C551376615,21516.38,0.0,C2121782042,0.0,0.0
31,CASH_OUT,21516.38,C939116023,21516.38,0.0,C1335084969,900122.84,921639.22
31,TRANSFER,378204.02,C620879020,378204.02,0.0,C929929591,0.0,0.0
31,CASH_OUT,378204.02,C1309442409,378204.02,0.0,C1009459055,0.0,378204.02
31,TRANSFER,5021186.54,C1848562108,5021186.54,0.0,C1803198527,0.0,0.0
31,CASH_OUT,5021186.54,C1520365660,5021186.54,0.0,C1308026520,880859.14,5902045.68
31,TRANSFER,587031.2,C1909564191,587031.2,0.0,C2047987632,0.0,0.0
31,CASH_OUT,587031.2,C1534882693,587031.2,0.0,C534658891,338247.75,925278.94
