step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
642,PAYMENT,8228.6,C1901247371,5070.0,0.0,M1878944884,0.0,0.0
642,CASH_OUT,91847.12,C938428630,4700.0,0.0,C1048561953,198790.54,290637.66
642,CASH_IN,27103.29,C350380397,149157.0,176260.29,C863229368,2267049.86,2239946.57
642,PAYMENT,13482.28,C1879576217,11016.0,0.0,M1812549920,0.0,0.0
642,CASH_OUT,397880.22,C560799119,0.0,0.0,C590348657,3756753.8,4154634.02
642,CASH_IN,133833.19,C646183366,161.0,133994.19,C1736502699,0.0,180345.36
642,PAYMENT,9166.04,C382682953,21844.0,12677.96,M820614369,0.0,0.0
642,PAYMENT,5045.88,C2032231958,146.0,0.0,M1079377213,0.0,0.0
642,CASH_IN,39542.22,C751574897,195.0,39737.22,C1667786080,0.0,0.0
642,PAYMENT,621.28,C1350490261,82726.0,82104.72,M580719962,0.0,0.0
642,CASH_OUT,180345.36,C1297000481,31277.0,0.0,C1736502699,0.0,180345.36
642,PAYMENT,5768.29,C28643694,0.0,0.0,M665443261,0.0,0.0
642,CASH_OUT,12453.39,C1842626007,16384.0,3930.61,C2057373594,3961112.49,3973565.88
642,PAYMENT,5547.07,C1432588268,54981.0,49433.93,M2096421455,0.0,0.0
642,CASH_IN,100352.05,C359236191,118263.0,218615.05,C664744742,1338881.08,1238529.03
642,TRANSFER,133079.43,C1495220128,75136.0,0.0,C1076891370,38117.41,171196.84
642,PAYMENT,3600.11,C273336192,0.0,0.0,M1245069668,0.0,0.0
642,CASH_OUT,195678.69,C320096519,109391.0,0.0,C185291845,41759.08,237437.77
642,PAYMENT,181.38,C861312762,587.0,405.62,M1969631703,0.0,0.0
642,CASH_IN,54185.3,C228815742,52114.0,106299.3,C1409594744,6067372.89,6013187.6
642,CASH_OUT,3432.02,C1011769276,151.0,0.0,C1160182615,3952695.38,3956127.4
642,PAYMENT,3210.78,C1000927113,32402.0,29191.22,M2139396514,0.0,0.0
642,CASH_OUT,156950.65,C1772760495,645.0,0.0,C1920925552,142914.76,299865.41
642,PAYMENT,4146.03,C668413081,0.0,0.0,M1543457613,0.0,0.0
642,CASH_OUT,98960.5,C15564825,20795.0,0.0,C487380999,412913.66,511874.16
642,PAYMENT,12107.82,C940708606,0.0,0.0,M650068609,0.0,0.0
642,CASH_OUT,52029.75,C129744952,3504.0,0.0,C518125332,1035025.16,1087054.91
642,PAYMENT,799.04,C1798993310,5298.0,4498.96,M1125584869,0.0,0.0
642,CASH_OUT,191039.38,C526444108,3687.0,0.0,C409599731,395251.64,586291.02
642,CASH_OUT,444994.03,C1183010712,113.0,0.0,C670279607,408711.41,853705.45
642,CASH_OUT,134570.72,C2116895827,150006.0,15435.28,C767812191,8594569.06,8729139.78
642,TRANSFER,465613.57,C96343124,15435.28,0.0,C2049891493,8970576.9,9436190.47
642,CASH_IN,262165.66,C494190633,113210.0,375375.66,C1799266374,767261.34,505095.68
642,PAYMENT,23771.2,C1096262544,375375.66,351604.46,M1439463477,0.0,0.0
642,PAYMENT,1000.23,C539347564,51709.0,50708.77,M460010441,0.0,0.0
642,CASH_OUT,35575.5,C1742493719,5560.0,0.0,C1396708929,131252.73,166828.22
642,PAYMENT,3672.21,C1365743881,1079.0,0.0,M1595887587,0.0,0.0
642,PAYMENT,26587.26,C497601202,0.0,0.0,M414266864,0.0,0.0
642,PAYMENT,12817.63,C1970489406,5046.0,0.0,M1354133796,0.0,0.0
642,PAYMENT,425.86,C185650394,204.0,0.0,M446658301,0.0,0.0
642,CASH_OUT,143817.89,C1967324968,24683.0,0.0,C909985465,0.0,143817.89
642,CASH_OUT,57337.4,C371101685,156.0,0.0,C471095156,164566.6,221904.0
642,CASH_IN,140094.6,C459667440,118080.0,258174.6,C1177748294,0.0,0.0
642,CASH_IN,192311.52,C2058113791,312993.0,505304.52,C619233819,0.0,0.0
642,CASH_IN,52392.32,C418732349,100687.0,153079.32,C2114413275,0.0,0.0
642,PAYMENT,3107.18,C2062945521,12034.0,8926.82,M1318633000,0.0,0.0
642,PAYMENT,10893.69,C1455105710,170410.0,159516.31,M1689625077,0.0,0.0
642,TRANSFER,545357.44,C779008022,159516.31,0.0,C1635111621,1349947.04,1895304.48
642,TRANSFER,286953.26,C629942797,0.0,0.0,C803884667,397618.53,684571.79
642,CASH_OUT,237081.25,C713942596,193.0,0.0,C629620379,516234.94,753316.2
642,PAYMENT,18090.67,C1677611241,0.0,0.0,M940305032,0.0,0.0
642,CASH_OUT,192368.57,C2081645510,18370.0,0.0,C1527554864,427150.13,619518.69
642,PAYMENT,6428.56,C971576774,22433.0,16004.44,M679572234,0.0,0.0
642,PAYMENT,17773.7,C1329169208,16004.44,0.0,M684966986,0.0,0.0
642,PAYMENT,8314.88,C1508221875,11606.0,3291.12,M2061472422,0.0,0.0
642,CASH_OUT,355441.17,C2046623366,107265.0,0.0,C1069298639,0.0,355441.17
642,PAYMENT,4269.36,C1337693287,128.0,0.0,M993480216,0.0,0.0
642,TRANSFER,473267.13,C1039905146,72820.0,0.0,C152544720,2454905.25,2928172.38
642,PAYMENT,15410.64,C594374797,0.0,0.0,M812044331,0.0,0.0
642,PAYMENT,1118.36,C824184753,58412.0,57293.64,M1370491022,0.0,0.0
642,PAYMENT,17429.72,C428995373,57293.64,39863.92,M535859132,0.0,0.0
642,PAYMENT,3688.77,C773609076,39863.92,36175.15,M2134495041,0.0,0.0
642,PAYMENT,5592.89,C1764184848,36175.15,30582.25,M1915862247,0.0,0.0
642,PAYMENT,6268.76,C1054014243,30582.25,24313.49,M253782143,0.0,0.0
642,PAYMENT,3550.11,C1556874584,24313.49,20763.39,M593845410,0.0,0.0
642,PAYMENT,19422.58,C172470286,20763.39,1340.81,M103301801,0.0,0.0
