step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
463,TRANSFER,4152435.91,C1158527799,4152435.91,0.0,C1983304819,0.0,0.0
463,CASH_OUT,4152435.91,C869608189,4152435.91,0.0,C1391783413,0.0,4152435.91
463,TRANSFER,1168274.14,C1604466708,1168274.14,0.0,C1732055737,0.0,0.0
463,CASH_OUT,1168274.14,C383746092,1168274.14,0.0,C794646915,0.0,1168274.14
463,TRANSFER,279826.54,C1042499011,279826.54,0.0,C1660783549,0.0,0.0
463,CASH_OUT,279826.54,C616239672,279826.54,0.0,C583085719,492054.19,771880.72
463,TRANSFER,1968008.53,C1548769886,1968008.53,0.0,C1779956771,0.0,0.0
463,CASH_OUT,1968008.53,C1471437030,1968008.53,0.0,C765536045,615855.0,2583863.54
463,TRANSFER,219300.76,C60906417,219300.76,0.0,C1482453836,0.0,0.0
463,CASH_OUT,219300.76,C1410654808,219300.76,0.0,C1763889280,1.905837095E7,1.927767171E7
