step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
451,PAYMENT,8276.89,C1510341339,10891.0,2614.11,M1519448186,0.0,0.0
451,CASH_IN,190885.51,C340616062,100231.0,291116.51,C118179503,0.0,0.0
451,CASH_OUT,89829.37,C1854562922,10433.0,0.0,C1717181093,1102583.51,1192412.88
451,CASH_IN,88058.96,C455904834,6520.0,94578.96,C1862634094,4385056.84,4296997.88
451,CASH_OUT,79915.49,C1180872317,82956.0,3040.51,C1975448285,0.0,79915.49
451,CASH_OUT,252606.47,C969634652,3040.51,0.0,C2058027220,592774.54,845381.02
451,CASH_OUT,220496.41,C82829117,11649.0,0.0,C636412284,356078.37,576574.78
451,PAYMENT,15564.65,C2068713340,0.0,0.0,M680285998,0.0,0.0
451,PAYMENT,13662.66,C1254064368,93393.0,79730.34,M810793133,0.0,0.0
451,CASH_OUT,24586.34,C997024820,10933.0,0.0,C919936050,3719067.86,3743654.2
451,PAYMENT,176.6,C1905422672,904.0,727.4,M1193072530,0.0,0.0
451,PAYMENT,8509.77,C1780975884,103014.0,94504.23,M976948408,0.0,0.0
451,PAYMENT,4595.03,C1480712798,6072.0,1476.97,M2042629763,0.0,0.0
451,CASH_IN,147442.73,C804882270,1034.0,148476.73,C520452003,1398659.51,1251216.77
451,PAYMENT,22696.53,C1296371925,148476.73,125780.2,M440485937,0.0,0.0
451,CASH_OUT,26295.04,C1670183404,6122.0,0.0,C1615896021,1866462.4,1892757.45
451,CASH_IN,41076.9,C11293108,10977.0,52053.9,C702028474,4200353.72,4159276.82
451,CASH_OUT,94789.41,C1703553740,26809.0,0.0,C33259082,0.0,94789.41
451,CASH_IN,303459.07,C1964701324,511541.0,815000.07,C2027896993,569516.24,266057.17
451,CASH_OUT,155392.54,C1910317658,240.0,0.0,C1338334335,162042.46,317435.01
451,CASH_OUT,82146.82,C329182244,1841.0,0.0,C220657114,40936.67,123083.49
451,CASH_OUT,89729.52,C670460113,56936.0,0.0,C47071990,384347.2,474076.72
451,CASH_OUT,30476.91,C100291637,26855.0,0.0,C1735015936,303546.14,334023.05
451,TRANSFER,43525.69,C489519394,199190.0,155664.31,C1157550136,0.0,43525.69
451,CASH_IN,91614.68,C2041993583,99789.0,191403.68,C640860363,4559.21,0.0
451,CASH_OUT,4711.51,C1838290536,25989.0,21277.49,C807603333,18155.28,22866.79
451,PAYMENT,6076.95,C983481363,21277.49,15200.54,M1284257291,0.0,0.0
451,PAYMENT,12380.84,C129659860,41251.0,28870.16,M2053510173,0.0,0.0
451,TRANSFER,2232251.77,C903299430,28870.16,0.0,C1092577223,7049445.43,9281697.2
451,PAYMENT,5848.62,C407242169,52147.0,46298.38,M1278669238,0.0,0.0
451,CASH_OUT,276015.15,C112902865,46298.38,0.0,C714857229,419968.85,695984.0
451,CASH_OUT,234673.14,C157904657,14599.0,0.0,C649747567,107297.74,341970.88
451,CASH_OUT,95839.93,C556451912,74958.0,0.0,C1189730119,747226.56,843066.49
451,TRANSFER,668318.48,C1516910234,0.0,0.0,C1287204803,1203608.1,1871926.58
451,CASH_OUT,139375.37,C169265996,163821.0,24445.63,C400200038,31362.06,170737.43
451,PAYMENT,9233.46,C1212497144,35338.0,26104.54,M1062917424,0.0,0.0
451,CASH_OUT,19120.8,C873458343,11544.0,0.0,C20850784,0.0,19120.8
451,CASH_OUT,67748.16,C150936513,67866.0,117.84,C238973606,0.0,67748.16
451,PAYMENT,29784.42,C1765557466,117.84,0.0,M2551704,0.0,0.0
451,PAYMENT,7622.72,C1270314985,10371.0,2748.28,M996559949,0.0,0.0
