step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
516,TRANSFER,423660.73,C877406862,423660.73,0.0,C311261676,0.0,0.0
516,CASH_OUT,423660.73,C324127688,423660.73,0.0,C1220479555,0.0,423660.73
516,TRANSFER,848134.57,C387226180,848134.57,0.0,C1242120613,0.0,0.0
516,CASH_OUT,848134.57,C2033187907,848134.57,0.0,C1230670919,211206.33,1059340.9
516,TRANSFER,346293.24,C744665522,346293.24,0.0,C299290002,0.0,0.0
516,CASH_OUT,346293.24,C829436029,346293.24,0.0,C1738520779,750235.55,1096528.8
516,TRANSFER,414794.23,C266064444,414794.23,0.0,C33901229,0.0,0.0
516,CASH_OUT,414794.23,C1278483248,414794.23,0.0,C1516833359,8045553.73,8460347.96
516,TRANSFER,1.0E7,C315155195,2.262513251E7,1.262513251E7,C224104774,0.0,0.0
516,CASH_OUT,1.0E7,C179123496,1.0E7,0.0,C150091086,6070888.2,1.60708882E7
516,TRANSFER,1.0E7,C1530285171,1.262513251E7,2625132.51,C705319954,0.0,0.0
516,CASH_OUT,1.0E7,C934748606,1.0E7,0.0,C1976182150,195275.73,1.019527573E7
516,TRANSFER,2625132.51,C1656607369,2625132.51,0.0,C391839907,0.0,0.0
516,CASH_OUT,2625132.51,C31108995,2625132.51,0.0,C1373418055,35492.23,2660624.74
