step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
688,TRANSFER,184733.74,C637311421,20158.0,0.0,C378566013,6314005.3,6498739.05
688,CASH_OUT,447699.33,C378024705,30488.0,0.0,C1149032888,1666411.32,2114110.65
688,TRANSFER,1049872.08,C949493765,520241.0,0.0,C1897172546,6708597.35,7758469.43
688,PAYMENT,7606.81,C2117301293,0.0,0.0,M1069759271,0.0,0.0
688,PAYMENT,18636.77,C1753483237,0.0,0.0,M300255992,0.0,0.0
688,TRANSFER,1113055.86,C1955727093,25.0,0.0,C1459107108,98200.46,1211256.32
688,PAYMENT,6207.18,C1378746691,0.0,0.0,M442343372,0.0,0.0
688,PAYMENT,24325.58,C668103733,0.0,0.0,M1125346196,0.0,0.0
688,PAYMENT,21708.52,C1628786348,0.0,0.0,M398462653,0.0,0.0
688,PAYMENT,10582.72,C596095916,0.0,0.0,M2073043843,0.0,0.0
688,PAYMENT,23342.47,C817590899,0.0,0.0,M664352575,0.0,0.0
688,PAYMENT,5936.51,C958266035,0.0,0.0,M1139497512,0.0,0.0
688,PAYMENT,28901.83,C682131660,30887.0,1985.17,M1181121065,0.0,0.0
688,CASH_OUT,291564.28,C284743732,1985.17,0.0,C1754788151,539408.69,830972.98
688,CASH_OUT,88097.85,C157022745,2647.0,0.0,C224074753,0.0,88097.85
688,CASH_IN,27446.75,C1696179486,7508.0,34954.75,C1793794927,240966.71,213519.96
688,CASH_IN,156326.46,C282799270,830284.0,986610.46,C2128900237,173435.35,17108.88
688,TRANSFER,474782.38,C1177841649,986610.46,511828.08,C197722263,829520.79,1304303.17
688,CASH_OUT,161684.09,C283758108,80545.0,0.0,C1398321218,156254.24,317938.33
688,CASH_OUT,164502.85,C946911306,40110.0,0.0,C745373048,1454889.75,1619392.6
688,CASH_IN,252114.01,C1896291838,36649.0,288763.01,C894421462,263015.59,10901.58
688,CASH_OUT,193577.78,C338276296,114038.0,0.0,C1277755519,56025.63,249603.41
688,PAYMENT,7726.9,C1248725631,0.0,0.0,M2002868624,0.0,0.0
688,PAYMENT,24415.5,C1044398703,22207.0,0.0,M1741618560,0.0,0.0
688,CASH_OUT,398858.44,C1573465844,1400.0,0.0,C1387294038,1479488.5,1878346.95
688,TRANSFER,239740.5,C546914564,33932.0,0.0,C808932290,86320.95,326061.45
688,CASH_OUT,76206.57,C485895234,41215.0,0.0,C286385486,536713.78,612920.35
688,CASH_OUT,91991.35,C205844641,111519.0,19527.65,C1421764857,276302.15,368293.51
688,PAYMENT,25280.21,C409915731,107613.0,82332.79,M1913987643,0.0,0.0
688,CASH_OUT,329616.4,C1596756999,105470.0,0.0,C2067646348,2190412.45,2520028.85
688,CASH_OUT,48393.25,C1950787259,31179.0,0.0,C1538112069,1.367611511E7,1.372450836E7
688,CASH_OUT,154200.46,C449582377,927.0,0.0,C1896796628,0.0,154200.46
688,PAYMENT,23530.23,C1100216497,132.0,0.0,M2049228840,0.0,0.0
688,CASH_OUT,8367.07,C999740073,39735.0,31367.93,C825681236,0.0,8367.07
688,CASH_IN,30325.77,C1091169711,176142.0,206467.77,C1395779263,0.0,0.0
688,PAYMENT,23189.36,C520213327,55371.0,32181.64,M1140352263,0.0,0.0
688,CASH_OUT,3219.23,C1316418635,32181.64,28962.41,C1241959506,31458.79,34678.02
688,CASH_OUT,318867.71,C1083972799,24610.0,0.0,C485961754,0.0,318867.71
688,PAYMENT,24501.68,C1368794184,203517.0,179015.32,M1371976480,0.0,0.0
688,CASH_OUT,346657.79,C678150655,179015.32,0.0,C598430996,1966517.34,2313175.12
688,CASH_OUT,222225.76,C145906089,22730.0,0.0,C2065106597,33212.1,255437.86
688,CASH_OUT,184485.15,C1751554195,3980.0,0.0,C1880003891,0.0,184485.15
688,PAYMENT,7329.31,C207448332,0.0,0.0,M2052007233,0.0,0.0
688,PAYMENT,31765.27,C1613386928,32296.0,530.73,M1012197926,0.0,0.0
688,PAYMENT,3843.14,C1529278889,90326.0,86482.86,M1489023649,0.0,0.0
688,PAYMENT,12419.51,C1795027677,86482.86,74063.35,M1902321790,0.0,0.0
688,PAYMENT,6086.15,C497298498,74063.35,67977.2,M1076678893,0.0,0.0
688,CASH_IN,269077.25,C1170385199,317542.0,586619.25,C698871264,0.0,0.0
688,PAYMENT,15744.13,C759824697,586619.25,570875.12,M288423662,0.0,0.0
688,CASH_OUT,21948.84,C935198621,82363.0,60414.16,C452936904,0.0,21948.84
688,CASH_OUT,38677.53,C1743172500,212.0,0.0,C1071427074,0.0,38677.53
688,TRANSFER,107076.67,C450377112,39956.0,0.0,C1296613456,44035.25,151111.93
688,CASH_IN,229694.71,C201949091,102955.0,332649.71,C694702525,0.0,0.0
688,PAYMENT,10879.07,C1410345128,332649.71,321770.64,M104352685,0.0,0.0
688,CASH_IN,18738.35,C1570228743,1097.0,19835.35,C2077247198,224845.72,206107.37
688,CASH_IN,65406.28,C438583921,11384.0,76790.28,C344147908,0.0,0.0
688,CASH_IN,151012.02,C1336175861,20195.0,171207.02,C1838760161,0.0,0.0
688,PAYMENT,42139.58,C184886159,21504.0,0.0,M1755383578,0.0,0.0
688,PAYMENT,680.66,C1345251253,0.0,0.0,M1015147137,0.0,0.0
688,CASH_OUT,302589.63,C507162565,21883.0,0.0,C285219639,29741.39,332331.02
688,PAYMENT,2607.54,C2118382287,5050.0,2442.46,M1501012477,0.0,0.0
688,PAYMENT,6292.84,C1787927984,2442.46,0.0,M564024224,0.0,0.0
688,PAYMENT,27789.97,C1076496598,0.0,0.0,M615919975,0.0,0.0
688,CASH_OUT,164765.13,C1110197340,39049.0,0.0,C1026632118,0.0,164765.13
688,CASH_IN,164147.4,C301735146,6654.0,170801.4,C1152412120,0.0,0.0
688,CASH_OUT,237342.75,C25221819,85847.0,0.0,C981090806,169135.04,406477.79
688,CASH_OUT,452472.78,C346619621,20242.0,0.0,C560382680,0.0,452472.78
688,CASH_OUT,375899.04,C881215112,668.0,0.0,C287382861,0.0,375899.04
688,CASH_OUT,38757.47,C1173096382,278.0,0.0,C763781046,0.0,38757.47
688,PAYMENT,9045.22,C1111378106,0.0,0.0,M296929742,0.0,0.0
688,PAYMENT,26874.26,C394686326,0.0,0.0,M854739919,0.0,0.0
688,PAYMENT,7209.96,C37338803,61448.0,54238.04,M96664451,0.0,0.0
688,CASH_OUT,377108.85,C555473298,99498.0,0.0,C1591086235,0.0,377108.85
688,CASH_OUT,80696.92,C26690125,0.0,0.0,C1379712887,220472.87,301169.79
688,CASH_OUT,16715.75,C1318365418,113.0,0.0,C1778801776,0.0,16715.75
688,CASH_OUT,289730.79,C1553484888,805506.0,515775.21,C2076284895,369465.12,659195.91
688,PAYMENT,14763.07,C598788368,1161.0,0.0,M411984385,0.0,0.0
688,PAYMENT,3951.73,C1932941826,0.0,0.0,M1842492080,0.0,0.0
688,CASH_IN,274580.38,C1217371731,20925.0,295505.38,C684283862,398263.95,123683.57
688,TRANSFER,655849.25,C603611945,32045.0,0.0,C28801658,4979108.02,5634957.27
688,PAYMENT,8505.66,C1650318110,0.0,0.0,M510014039,0.0,0.0
688,CASH_OUT,28879.46,C707746510,461277.0,432397.54,C497830090,0.0,28879.46
688,CASH_IN,43409.44,C1522304905,13546.0,56955.44,C1312079462,508005.46,464596.02
688,CASH_OUT,142224.24,C1446327019,80382.0,0.0,C1488797357,82579.22,224803.46
688,PAYMENT,16897.31,C2037274352,0.0,0.0,M692554297,0.0,0.0
688,PAYMENT,20579.12,C402247767,0.0,0.0,M1747192361,0.0,0.0
688,CASH_OUT,429311.69,C1677072395,16968.0,0.0,C907498197,115249.3,544560.99
688,CASH_OUT,14141.89,C1987399694,0.0,0.0,C1793217550,86886.29,101028.18
688,CASH_OUT,85755.04,C794250751,0.0,0.0,C197661262,1338792.45,1424547.49
688,CASH_OUT,20932.14,C1743421310,21025.0,92.86,C1042618857,5377.13,26309.27
688,CASH_OUT,424712.39,C881792456,246094.0,0.0,C2081788848,107767.72,532480.11
688,PAYMENT,20247.63,C1755764343,0.0,0.0,M2097894953,0.0,0.0
688,PAYMENT,6177.06,C1236195193,0.0,0.0,M88320721,0.0,0.0
688,PAYMENT,41580.27,C1527300448,0.0,0.0,M2081783350,0.0,0.0
688,PAYMENT,3752.79,C1128233938,0.0,0.0,M1538409542,0.0,0.0
688,PAYMENT,19965.64,C1177329041,0.0,0.0,M287293356,0.0,0.0
