step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
588,CASH_OUT,81285.76,C1215208759,71157.0,0.0,C1029340632,219304.28,300590.05
588,PAYMENT,5906.22,C558125845,5676.0,0.0,M839656711,0.0,0.0
588,TRANSFER,168312.78,C1637823172,24688.0,0.0,C809524510,117421.89,285734.67
588,CASH_OUT,16674.63,C1562676453,11958.0,0.0,C1671198958,9158.7,25833.33
588,PAYMENT,8709.31,C1585164463,10680.0,1970.69,M218923642,0.0,0.0
588,CASH_OUT,167224.75,C354261005,1970.69,0.0,C906760507,852719.55,1019944.3
588,PAYMENT,7313.18,C1822916079,14146.0,6832.82,M1876579868,0.0,0.0
588,PAYMENT,3682.71,C111941327,6832.82,3150.11,M2139634663,0.0,0.0
588,CASH_IN,266306.55,C672623100,205259.0,471565.55,C1069805612,15888.98,0.0
588,PAYMENT,45892.46,C364949588,471565.55,425673.09,M1941755469,0.0,0.0
588,CASH_IN,238881.91,C1297456350,107516.0,346397.91,C210264430,0.0,0.0
588,PAYMENT,7757.06,C1587430401,5195.0,0.0,M1313607062,0.0,0.0
588,PAYMENT,6392.94,C1532474540,9911.0,3518.06,M973430900,0.0,0.0
588,CASH_OUT,9239.11,C379028857,3518.06,0.0,C909401579,8576711.83,8585950.94
588,CASH_OUT,194688.98,C949553792,22727.0,0.0,C421414190,1692048.61,1886737.59
588,CASH_IN,74219.56,C1586314219,463929.0,538148.56,C238224601,176132.19,101912.63
588,TRANSFER,339072.8,C1327167118,538148.56,199075.76,C2078776271,1307127.09,1646199.89
588,TRANSFER,3096667.72,C1703681625,199075.76,0.0,C2101459290,1.399020678E7,1.70868745E7
588,TRANSFER,137648.85,C355583330,0.0,0.0,C2143730333,2168294.98,2305943.83
588,TRANSFER,243162.75,C575989324,0.0,0.0,C570447837,627884.84,871047.59
588,TRANSFER,272122.88,C987945486,0.0,0.0,C170439867,4032043.89,4304166.77
588,TRANSFER,1469398.81,C1058629085,0.0,0.0,C148267310,2901975.25,4371374.06
588,TRANSFER,1165558.58,C605597065,0.0,0.0,C1850549806,1887321.96,3052880.54
588,TRANSFER,208599.15,C561727936,0.0,0.0,C873130440,374125.97,582725.12
588,TRANSFER,24515.77,C233166155,0.0,0.0,C1458163249,263504.45,288020.22
588,TRANSFER,61962.92,C2032565927,0.0,0.0,C1583309595,6785165.56,6847128.47
588,TRANSFER,272386.25,C414441711,0.0,0.0,C1751674118,289445.13,561831.38
588,TRANSFER,643234.51,C1669173104,0.0,0.0,C1873881128,813944.45,1457178.96
588,PAYMENT,10282.9,C1083261401,29071.0,18788.1,M168348714,0.0,0.0
588,CASH_OUT,241733.06,C230420764,31419.0,0.0,C1203606855,0.0,241733.06
588,CASH_IN,26410.34,C36891092,40423.0,66833.34,C248416067,1346340.61,1319930.27
588,CASH_IN,97154.16,C1223163842,1092.0,98246.16,C2090528592,0.0,0.0
588,PAYMENT,31588.92,C71435112,98246.16,66657.24,M1445147117,0.0,0.0
588,PAYMENT,11285.9,C1137319604,20631.0,9345.1,M883220704,0.0,0.0
588,PAYMENT,3253.41,C543816799,9345.1,6091.69,M1862933990,0.0,0.0
588,CASH_IN,87494.3,C2082902285,23346.0,110840.3,C2098526519,1.683560507E7,1.674811077E7
