step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
300,CASH_OUT,369020.44,C898735097,50197.0,0.0,C986818465,822299.02,1191319.46
300,CASH_IN,89378.64,C1031831837,118976.0,208354.64,C1950592524,216785.6,127406.96
300,PAYMENT,5174.59,C110378263,31855.0,26680.41,M19079870,0.0,0.0
300,TRANSFER,865460.27,C953433904,26680.41,0.0,C395893536,4750621.91,5616082.19
300,TRANSFER,861779.34,C31836510,0.0,0.0,C1534140064,2181237.93,3043017.26
300,PAYMENT,10988.03,C641609968,15992.0,5003.97,M1041285211,0.0,0.0
300,CASH_IN,122297.58,C656688406,27256.0,149553.58,C53576496,369777.43,247479.85
300,CASH_OUT,315446.95,C145016725,16152.0,0.0,C510901211,0.0,315446.95
300,PAYMENT,19973.64,C1598742465,99948.0,79974.36,M1734397547,0.0,0.0
300,CASH_OUT,139053.91,C1659448164,79974.36,0.0,C645676853,422552.87,561606.78
300,CASH_IN,213531.0,C1289736387,106549.0,320080.0,C1364804270,3257419.54,3043888.53
300,PAYMENT,16419.5,C1172482638,22495.0,6075.5,M605038351,0.0,0.0
300,CASH_OUT,239321.11,C260672226,310975.0,71653.89,C856096860,0.0,239321.11
300,TRANSFER,449167.82,C1038223896,941.0,0.0,C886114594,0.0,449167.82
300,CASH_OUT,234693.93,C1828878128,0.0,0.0,C1149788645,2.412736232E7,2.436205625E7
300,CASH_OUT,37178.14,C1208950208,0.0,0.0,C407719382,2893959.55,2931137.69
300,CASH_OUT,315388.78,C185745593,105.0,0.0,C1318760879,192885.98,508274.76
300,PAYMENT,54757.22,C638400777,42237.0,0.0,M1481138447,0.0,0.0
300,PAYMENT,4498.13,C1746507483,6087.0,1588.87,M1905726697,0.0,0.0
300,CASH_OUT,96523.94,C1050521251,123929.0,27405.06,C1636809566,784502.52,881026.46
300,PAYMENT,45031.27,C633790566,27405.06,0.0,M21828939,0.0,0.0
300,PAYMENT,2207.1,C1219783127,182206.0,179998.9,M453983956,0.0,0.0
300,CASH_OUT,39068.22,C156772355,22157.0,0.0,C1910427370,1465832.46,1504900.69
300,PAYMENT,10516.15,C1616286510,0.0,0.0,M189248546,0.0,0.0
300,CASH_IN,243977.71,C1776075264,30413.0,274390.71,C6891951,78162.84,0.0
300,PAYMENT,24036.76,C562886408,50334.0,26297.24,M1972883444,0.0,0.0
300,DEBIT,12140.45,C1137148864,111.0,0.0,C1848715493,68129.57,80270.02
300,PAYMENT,340.13,C1275368826,0.0,0.0,M183897925,0.0,0.0
300,PAYMENT,58363.09,C1104513408,11256.0,0.0,M1056164857,0.0,0.0
300,CASH_IN,354552.31,C1454646808,20812.0,375364.31,C957337276,2744584.06,2390031.76
300,CASH_OUT,724337.98,C1820497836,375364.31,0.0,C1336791375,1497117.9,2221455.88
