step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
133,PAYMENT,5743.81,C1095893180,1095.0,0.0,M1989667619,0.0,0.0
133,CASH_OUT,72137.38,C244507539,10158.0,0.0,C1101967436,4476353.77,4548491.16
133,CASH_OUT,402183.86,C533972840,27068.0,0.0,C776329793,27824.0,430007.86
133,PAYMENT,10291.7,C1314223054,0.0,0.0,M131225556,0.0,0.0
133,PAYMENT,30477.32,C507884230,0.0,0.0,M523030241,0.0,0.0
133,CASH_OUT,82136.37,C2055341513,517822.0,435685.63,C835438390,1826691.58,1908827.96
133,TRANSFER,1259968.92,C1878757818,11886.0,0.0,C2057967750,271993.01,1724535.1
133,CASH_IN,411890.2,C1553714433,37117.0,449007.2,C622840535,235003.08,0.0
133,PAYMENT,17371.58,C632900533,449007.2,431635.63,M1333771910,0.0,0.0
133,CASH_OUT,82089.63,C2092601490,0.0,0.0,C514633592,0.0,82089.63
133,PAYMENT,7776.91,C2118887873,0.0,0.0,M297836894,0.0,0.0
133,TRANSFER,880076.07,C595175022,35083.0,0.0,C1274219061,0.0,880076.07
133,CASH_IN,98115.77,C200252563,0.0,98115.77,C1323492764,778514.39,464592.31
133,CASH_IN,12518.3,C684272014,98115.77,110634.07,C1007568570,8110979.44,8098461.14
133,CASH_IN,177933.46,C1008183192,110634.07,288567.53,C1594704959,189583.27,11649.81
133,CASH_IN,147108.32,C1387474082,288567.53,435675.85,C1877976610,3173844.25,3026735.93
133,CASH_IN,473696.11,C625944931,435675.85,909371.96,C889535656,1.298090696E7,1.250721085E7
133,CASH_IN,397067.93,C1143726365,909371.96,1306439.89,C528593406,5490309.64,5363055.57
133,CASH_IN,87154.6,C1157735783,1306439.89,1393594.49,C1541179421,1015907.5,928752.9
133,CASH_IN,27774.15,C236734297,1393594.49,1421368.65,C813438075,713033.25,685259.09
133,CASH_IN,89008.59,C1388602312,1421368.65,1510377.24,C1678279141,293661.78,204653.19
133,CASH_IN,176577.59,C1241269124,1510377.24,1686954.83,C1279101919,559804.2,383226.61
133,CASH_IN,302078.68,C27196737,1686954.83,1989033.5,C865348287,446071.26,143992.58
133,CASH_IN,261034.46,C1842631844,1989033.5,2250067.97,C785247470,1396603.78,1135569.32
133,CASH_IN,475607.24,C478126325,2250067.97,2725675.21,C2115397483,530483.09,54875.85
133,CASH_IN,19635.05,C926163101,2725675.21,2745310.26,C1459251642,797956.51,778321.47
133,CASH_IN,188410.16,C1102493647,2745310.26,2933720.42,C677044159,537774.89,349364.73
133,CASH_IN,23907.4,C235452969,2933720.42,2957627.81,C840787772,306302.48,282395.08
133,CASH_IN,219444.81,C1871829781,2957627.81,3177072.63,C916909945,280207.25,60762.44
133,CASH_IN,19892.07,C2042048178,3177072.63,3196964.69,C475121529,1418530.49,1398638.42
133,CASH_IN,183161.34,C223078020,3196964.69,3380126.03,C1426442542,3900296.12,3717134.78
133,CASH_IN,242658.76,C1180294390,3380126.03,3622784.79,C1621697580,5415911.03,5173252.26
133,CASH_IN,65586.59,C670166619,3622784.79,3688371.38,C210671765,359887.55,294300.96
133,CASH_IN,26548.49,C1744012969,3688371.38,3714919.87,C139471297,1091965.09,1065416.6
133,CASH_IN,153196.91,C895365909,3714919.87,3868116.78,C232777314,675729.43,522532.52
133,CASH_IN,49824.07,C1030289188,3868116.78,3917940.85,C459332896,1593385.23,1823066.49
133,CASH_IN,285215.86,C365118948,3917940.85,4203156.71,C292267926,1.833094519E7,1.804572932E7
133,CASH_IN,41873.23,C1862160187,4203156.71,4245029.94,C1796838696,796759.34,754886.11
133,CASH_IN,98236.74,C712773482,4245029.94,4343266.68,C1582347679,257312.39,159075.65
133,CASH_IN,132678.87,C1356274902,4343266.68,4475945.56,C624817782,422386.19,289707.32
133,CASH_IN,281724.32,C1597280077,4475945.56,4757669.88,C1111891376,304021.7,22297.38
133,CASH_IN,258476.88,C1135576071,4757669.88,5016146.76,C1510621181,267097.66,8620.78
133,CASH_IN,505742.09,C165856327,5016146.76,5521888.85,C1850166081,1627869.88,1122127.79
133,CASH_IN,110787.76,C1639663617,5521888.85,5632676.61,C1690811346,408017.34,297229.58
133,CASH_IN,325894.67,C445578652,5632676.61,5958571.27,C2039261941,2485759.47,2159864.81
133,CASH_IN,14219.87,C633265526,5958571.27,5972791.15,C874389331,233285.15,219065.27
133,CASH_IN,34478.97,C987882874,5972791.15,6007270.12,C1404789740,901381.86,1556253.24
133,CASH_IN,227043.78,C18958695,6007270.12,6234313.9,C1981724978,718281.59,887407.33
133,CASH_IN,167675.85,C1823352514,6234313.9,6401989.75,C1564367222,490238.07,322562.22
133,CASH_IN,148779.53,C1059590988,6401989.75,6550769.28,C1059557740,316988.27,168208.73
133,CASH_IN,3970.54,C173538278,6550769.28,6554739.83,C1512674165,441954.28,437983.73
133,CASH_IN,443312.95,C28762554,6554739.83,6998052.77,C688046074,508059.1,64746.16
133,CASH_IN,264646.72,C473128824,6998052.77,7262699.49,C634661958,310443.3,45796.58
133,CASH_IN,75425.76,C1669238209,7262699.49,7338125.25,C795766682,2687943.92,2612518.16
133,CASH_IN,77071.18,C1447281283,7338125.25,7415196.44,C420824498,856318.94,779247.75
133,CASH_IN,221125.14,C1624134336,7415196.44,7636321.58,C1210131765,872798.35,627798.11
133,CASH_IN,97581.7,C1711282494,7636321.58,7733903.28,C468456902,188419.09,179599.75
133,CASH_IN,15386.29,C1904709818,7733903.28,7749289.57,C58101561,276297.35,260911.06
133,CASH_IN,5377.22,C957879251,7749289.57,7754666.79,C1771844928,5151327.4,5145950.18
133,CASH_IN,165505.89,C735186530,7754666.79,7920172.67,C34790922,2479702.12,2314196.24
133,CASH_IN,128651.97,C1308437455,7920172.67,8048824.65,C171917061,319247.85,190595.87
133,CASH_IN,132699.55,C11694218,8048824.65,8181524.19,C117083701,4586241.66,4453542.12
133,CASH_IN,281523.0,C2035117508,8181524.19,8463047.2,C663161327,1539609.72,1258086.72
133,CASH_IN,296465.1,C1113050513,8463047.2,8759512.3,C63475121,5244245.37,5152702.86
133,CASH_IN,203782.66,C1724921159,8759512.3,8963294.96,C2044762345,420615.17,85274.05
133,CASH_IN,373303.85,C1979002679,8963294.96,9336598.81,C1939243344,639344.8,266040.95
133,CASH_IN,113311.83,C1732529920,9336598.81,9449910.64,C1207617759,2226906.21,2113594.38
133,CASH_IN,255155.81,C461581628,9449910.64,9705066.45,C2115443840,1053890.73,798734.92
133,CASH_IN,346242.06,C2082363654,9705066.45,1.005130852E7,C110202882,1327850.61,981608.55
133,CASH_IN,166730.79,C542006565,1.005130852E7,1.02180393E7,C1253325041,2559737.12,2302220.04
133,CASH_IN,47261.96,C1706502755,1.02180393E7,1.026530126E7,C1455488010,513429.91,466167.95
133,CASH_IN,129277.82,C1734283556,1.026530126E7,1.039457908E7,C634338570,1346702.93,1217425.1
133,CASH_IN,68693.83,C1770500768,1.039457908E7,1.046327291E7,C1746120122,752564.83,683871.0
133,CASH_IN,124077.12,C997359040,1.046327291E7,1.058735003E7,C719763275,283534.07,159456.95
133,CASH_IN,54453.77,C1741339903,1.058735003E7,1.06418038E7,C917412745,217157.38,162703.61
133,CASH_IN,22376.24,C2013480723,1.06418038E7,1.066418004E7,C1511016488,1514029.69,1491653.45
133,CASH_IN,121098.5,C751171585,1.066418004E7,1.078527854E7,C820116949,3054076.57,2932978.07
133,CASH_IN,92583.34,C74521636,1.078527854E7,1.087786188E7,C938918573,1091290.82,998707.48
133,CASH_IN,343864.96,C921597201,1.087786188E7,1.122172683E7,C1641343721,666070.43,322205.47
133,CASH_IN,23755.19,C1412925184,1.122172683E7,1.124548202E7,C1902732876,2247884.11,2224128.92
133,CASH_IN,45904.44,C1462859895,1.124548202E7,1.129138647E7,C597094434,133646.17,87741.72
133,CASH_IN,3281.44,C1529732745,1.129138647E7,1.12946679E7,C1772055258,3642460.3,3769160.78
133,CASH_IN,201307.97,C514752000,1.12946679E7,1.149597587E7,C1679855583,1795148.88,1593840.91
133,CASH_IN,284183.73,C1984558418,1.149597587E7,1.178015961E7,C2101451944,441739.45,157555.71
133,CASH_IN,115892.14,C711448876,1.178015961E7,1.189605175E7,C1269605689,4071503.49,3955611.35
133,CASH_IN,316444.74,C520852351,1.189605175E7,1.221249648E7,C1149213918,2515063.68,2198618.94
133,TRANSFER,141448.31,C1916313824,48462.0,0.0,C992577398,0.0,141448.31
133,CASH_IN,355046.38,C1264728208,727.0,355773.38,C1180920256,61666.0,0.0
133,CASH_OUT,82743.68,C1608001129,355773.38,273029.7,C1830094114,115969.0,54691.26
133,PAYMENT,13936.3,C478926470,447.0,0.0,M730028631,0.0,0.0
133,DEBIT,4032.44,C1904169231,374.0,0.0,C1006732709,3086286.86,3090319.3
133,PAYMENT,17664.32,C1862978087,0.0,0.0,M771169958,0.0,0.0
133,TRANSFER,73340.41,C471316653,136963.0,63622.59,C1284139103,177095.49,250435.9
133,PAYMENT,12505.34,C401302793,144596.0,132090.66,M780783137,0.0,0.0
133,PAYMENT,31397.51,C1000269688,132090.66,100693.15,M451797622,0.0,0.0
133,CASH_OUT,276403.77,C1449271055,15504.0,0.0,C532913912,506032.95,782436.72
133,CASH_OUT,63430.2,C922368804,0.0,0.0,C2138899140,116601.82,180032.02
133,CASH_OUT,275619.54,C2056499108,52144.0,0.0,C727054804,0.0,275619.54
133,CASH_IN,27554.97,C261622994,29833.0,57387.97,C961858005,409478.57,381923.6
133,PAYMENT,22168.47,C1237639241,57387.97,35219.5,M780194126,0.0,0.0
133,CASH_IN,67542.99,C1233761717,326.0,67868.99,C468142887,202338.0,134795.01
133,CASH_IN,239834.84,C104386250,40360.0,280194.84,C1299278076,1194011.73,954176.89
133,CASH_IN,431590.92,C1754312940,13694.0,445284.92,C196139883,0.0,0.0
133,PAYMENT,51945.84,C1085408785,445284.92,393339.07,M1142040495,0.0,0.0
133,CASH_OUT,174838.11,C69009273,20082.0,0.0,C1532918822,92023.76,0.0
133,CASH_OUT,324704.72,C1768306886,3767.88,0.0,C685396644,0.0,324704.72
133,TRANSFER,244640.41,C968112501,0.0,0.0,C1408588829,2738994.93,2936939.41
133,TRANSFER,1489345.64,C1817071283,0.0,0.0,C241233381,2958787.1,4448132.74
133,TRANSFER,2799750.57,C256541556,0.0,0.0,C1737677071,3493480.97,6293231.54
133,TRANSFER,357510.92,C1471294035,0.0,0.0,C111632443,508696.82,866207.75
133,TRANSFER,261095.07,C1331023425,0.0,0.0,C1146201807,646893.25,907988.32
133,TRANSFER,755412.3,C1374698190,0.0,0.0,C1256150570,2844823.36,3600235.67
133,TRANSFER,615802.85,C184173223,0.0,0.0,C1348627888,1546562.35,2162365.2
133,TRANSFER,484544.94,C1289490713,0.0,0.0,C1540448538,962762.96,1447307.9
133,TRANSFER,236288.56,C765126917,0.0,0.0,C2099364472,2444763.09,2835609.72
133,TRANSFER,633579.52,C2104266802,0.0,0.0,C524804429,4010378.19,4643957.71
133,TRANSFER,532710.38,C626723394,0.0,0.0,C620481726,2360334.82,2893045.2
133,TRANSFER,738138.3,C153326377,0.0,0.0,C1755660204,1578188.12,2316326.42
133,TRANSFER,2389919.89,C1938526665,0.0,0.0,C1153890976,3006166.66,5396086.55
133,TRANSFER,123918.82,C1786733194,0.0,0.0,C1297597988,1139041.59,1262960.42
133,TRANSFER,1011411.26,C386624669,0.0,0.0,C908490566,2888884.97,3900296.24
133,TRANSFER,156650.39,C35921806,0.0,0.0,C193892579,509202.61,665853.01
133,TRANSFER,605173.53,C764330970,0.0,0.0,C836856632,1900471.55,2505645.08
133,TRANSFER,686950.44,C1022660563,0.0,0.0,C149245121,1348185.79,2035136.23
133,PAYMENT,18532.52,C1884779348,358115.0,339582.48,M1387121343,0.0,0.0
133,PAYMENT,44045.45,C166085411,2746.0,0.0,M292868059,0.0,0.0
133,CASH_OUT,266374.8,C1517470578,148475.0,0.0,C356238984,1750425.4,2016800.2
133,CASH_IN,53550.79,C1723204273,27111.0,80661.79,C1121333494,21131.17,0.0
133,PAYMENT,20843.63,C1576184351,80661.79,59818.16,M1791994989,0.0,0.0
133,TRANSFER,440630.94,C644516629,22131.0,0.0,C2054750809,249723.45,690354.38
133,PAYMENT,15245.2,C1881122531,141272.0,126026.8,M955599021,0.0,0.0
133,CASH_OUT,36318.99,C802043674,268866.0,232547.01,C1926979223,0.0,36318.99
133,CASH_IN,80590.6,C1569596373,83502.0,164092.6,C1018373177,0.0,0.0
133,CASH_OUT,439795.89,C1353432633,21310.0,0.0,C1114710388,0.0,439795.89
133,CASH_OUT,469082.55,C1107895457,35458.0,0.0,C1671575015,329144.54,798227.09
133,PAYMENT,329.81,C471973149,22287.0,21957.19,M815637959,0.0,0.0
133,CASH_OUT,241732.76,C1036685211,91.0,0.0,C611138199,163335.01,405067.77
133,PAYMENT,67280.99,C921536687,0.0,0.0,M657789498,0.0,0.0
133,CASH_OUT,62382.64,C2052798598,13131.0,0.0,C24224844,0.0,62382.64
133,PAYMENT,20315.71,C327468545,0.0,0.0,M1232505902,0.0,0.0
133,CASH_OUT,159851.73,C1180562424,13363.0,0.0,C68063083,5015.0,164866.73
133,PAYMENT,4231.97,C1709272253,0.0,0.0,M1356864206,0.0,0.0
133,CASH_OUT,597957.98,C764078848,20931.0,0.0,C423195758,250083.34,848041.33
133,CASH_IN,123308.69,C81858426,50311.0,173619.69,C1966002811,2739426.12,2616117.43
133,CASH_OUT,352571.2,C1779109855,70984.0,0.0,C1333163805,1132635.37,1317512.71
133,CASH_OUT,15204.42,C988634682,24814.0,9609.58,C671622119,605419.37,620623.79
133,CASH_IN,189462.77,C1086681228,60111.0,249573.77,C888801483,1375835.44,1186372.67
133,CASH_OUT,303832.98,C1280523569,31434.0,0.0,C1713348836,596002.67,899835.64
133,PAYMENT,6414.61,C2115286675,11167.0,4752.39,M785918949,0.0,0.0
133,CASH_IN,238272.9,C1173516194,20900.0,259172.9,C1701934319,0.0,0.0
133,PAYMENT,9872.18,C278755480,259172.9,249300.73,M1273426998,0.0,0.0
133,PAYMENT,29741.64,C604924332,249300.73,219559.08,M1926729200,0.0,0.0
133,CASH_OUT,135118.77,C158691978,8603.0,0.0,C795184692,0.0,135118.77
133,PAYMENT,15490.41,C1976463574,0.0,0.0,M576333002,0.0,0.0
133,CASH_OUT,25792.14,C1823249788,87330.0,61537.86,C253018111,0.0,25792.14
133,DEBIT,1367.73,C1324309313,32170.0,30802.27,C237658572,221789.09,223156.82
133,PAYMENT,10764.27,C1210174090,12249.0,1484.73,M1001311024,0.0,0.0
133,PAYMENT,47802.75,C866233932,39823.0,0.0,M119594538,0.0,0.0
133,PAYMENT,12585.51,C1091776990,551.0,0.0,M204047751,0.0,0.0
133,CASH_OUT,175281.98,C843352448,2682.0,0.0,C2016083045,0.0,175281.98
133,PAYMENT,5189.86,C865390700,598577.0,593387.14,M1808894465,0.0,0.0
133,CASH_OUT,174189.35,C722743105,22938.0,0.0,C1545163370,745372.0,526684.23
133,PAYMENT,75277.25,C1024109354,0.0,0.0,M680004439,0.0,0.0
133,CASH_OUT,481183.76,C1332616645,5070.0,0.0,C1685866963,0.0,481183.76
133,CASH_OUT,54308.2,C1166691662,0.0,0.0,C967209838,1073609.39,1127917.59
