step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
183,CASH_OUT,23614.56,C1695609017,385.0,0.0,C317668613,456606.28,480220.84
183,CASH_OUT,245565.18,C1944059876,36.0,0.0,C1128657470,254818.17,500383.35
183,CASH_IN,157368.66,C889098568,17967.0,175335.66,C813593423,0.0,0.0
183,CASH_IN,130448.05,C359471662,5283.0,135731.05,C1624913765,48118.91,0.0
183,DEBIT,639.49,C1998234882,11605.0,10965.51,C446692624,7919274.51,7919913.99
183,CASH_OUT,232484.67,C2075546842,67583.0,0.0,C2033456580,342060.41,574545.08
183,TRANSFER,314648.09,C990047797,19857.0,0.0,C1647015718,1517712.3,1918523.74
183,CASH_OUT,238705.51,C1178812177,4940.0,0.0,C140006073,141748.93,305785.43
183,PAYMENT,9247.74,C1691590766,0.0,0.0,M764033194,0.0,0.0
183,PAYMENT,26325.46,C30738536,0.0,0.0,M1588659444,0.0,0.0
183,PAYMENT,7985.05,C664280988,0.0,0.0,M1537948845,0.0,0.0
183,PAYMENT,11551.9,C1922361848,0.0,0.0,M609535482,0.0,0.0
183,CASH_OUT,200268.81,C1138182675,54404.0,0.0,C426663767,440246.19,640514.99
183,PAYMENT,529.39,C1100699792,0.0,0.0,M336962162,0.0,0.0
183,PAYMENT,13099.2,C376229407,57838.0,44738.8,M1863489811,0.0,0.0
183,CASH_OUT,173464.77,C1960182713,262096.0,88631.23,C1043819802,2220422.66,2393887.43
183,CASH_OUT,286039.88,C1298741603,534.0,0.0,C66179370,21047.0,295040.43
183,CASH_OUT,138110.13,C1023740647,0.0,0.0,C1158300047,1585552.9,1723663.02
183,PAYMENT,31628.39,C1185203797,49060.0,17431.61,M44818163,0.0,0.0
183,CASH_IN,245781.08,C109927908,5552.0,251333.08,C2004711883,1732030.02,1486248.94
183,PAYMENT,48421.11,C323628512,210.0,0.0,M1933367218,0.0,0.0
183,CASH_OUT,321072.66,C792515424,0.0,0.0,C1916952565,444278.46,765351.12
183,CASH_IN,160435.65,C1135794462,19838.0,180273.65,C1422321715,910652.89,750217.24
183,TRANSFER,373716.97,C30792101,107456.0,0.0,C1099164000,97343.44,471060.41
183,PAYMENT,21018.29,C339812202,21161.0,142.71,M1571776849,0.0,0.0
183,PAYMENT,8993.3,C134230483,142.71,0.0,M666356103,0.0,0.0
183,PAYMENT,16470.63,C990984276,0.0,0.0,M500317062,0.0,0.0
183,PAYMENT,10735.88,C349511494,10039.0,0.0,M230098858,0.0,0.0
183,TRANSFER,748130.11,C1071009232,21370.0,0.0,C1941810962,1766050.85,2514180.97
183,CASH_IN,417889.43,C861167527,73643.0,491532.43,C1997372494,636747.03,218857.6
183,PAYMENT,41887.27,C256334244,20390.0,0.0,M980977073,0.0,0.0
183,PAYMENT,5084.01,C936241123,15932.0,10847.99,M653606874,0.0,0.0
183,CASH_OUT,3795.76,C323668185,21802.0,18006.24,C1469832566,0.0,3795.76
183,PAYMENT,9886.08,C1835110924,18006.24,8120.15,M894145212,0.0,0.0
183,CASH_OUT,80141.89,C986669088,227082.0,146940.11,C2060068770,61676.89,141818.78
183,PAYMENT,100.91,C2139515808,21451.0,21350.09,M504784814,0.0,0.0
183,CASH_OUT,259256.48,C1998702754,21350.09,0.0,C178524326,4301331.49,4560587.98
183,CASH_IN,93801.68,C917403654,189.0,93990.68,C311974166,315101.14,221299.46
183,PAYMENT,40511.31,C2050612760,93990.68,53479.38,M1472200166,0.0,0.0
183,CASH_OUT,98133.87,C773999467,12404.0,0.0,C1262579437,562563.56,660697.43
183,PAYMENT,1781.15,C1804171489,0.0,0.0,M1601479318,0.0,0.0
183,CASH_OUT,137268.57,C2005677139,40566.0,0.0,C770894902,2297264.41,2434532.99
183,PAYMENT,691.51,C1263091930,0.0,0.0,M1797748514,0.0,0.0
183,CASH_OUT,357422.09,C297601218,108.0,0.0,C553278561,0.0,357422.09
183,CASH_OUT,205170.49,C117807114,284976.0,79805.51,C1598876271,33797.22,238967.7
183,PAYMENT,2399.92,C105596832,79805.51,77405.6,M1451605548,0.0,0.0
183,CASH_IN,138499.35,C789010214,930.0,139429.35,C547811117,183153.7,44654.35
183,CASH_OUT,13398.76,C82403076,37115.0,23716.24,C374628488,0.0,13398.76
183,PAYMENT,4891.33,C1489202814,23716.24,18824.9,M600625044,0.0,0.0
183,PAYMENT,6243.21,C912724652,18824.9,12581.69,M2016967195,0.0,0.0
183,PAYMENT,5118.07,C1003183100,12581.69,7463.63,M2118026110,0.0,0.0
183,PAYMENT,5727.59,C1891765351,7463.63,1736.04,M1267812550,0.0,0.0
183,CASH_OUT,62913.02,C719650547,21383.0,0.0,C1567046675,1523991.12,1586904.15
183,CASH_OUT,317172.29,C541834658,37117.0,0.0,C1844008529,225104.42,542276.72
183,PAYMENT,18577.97,C1082797304,21310.0,2732.03,M18647895,0.0,0.0
183,CASH_OUT,165312.34,C209911521,31492.0,0.0,C1554108222,0.0,165312.34
183,CASH_IN,710818.86,C1901716606,100921.0,811739.86,C1718072927,20894.93,0.0
183,TRANSFER,669079.53,C1621490497,30765.0,0.0,C312707989,0.0,669079.53
183,TRANSFER,863219.07,C84316721,0.0,0.0,C2147040118,916836.58,1780055.65
183,CASH_OUT,139100.9,C518525318,168506.0,29405.1,C1153877229,534295.63,673396.53
183,PAYMENT,11950.79,C548170801,29405.1,17454.31,M1864168598,0.0,0.0
183,PAYMENT,27050.1,C1589277790,45205.0,18154.9,M14894,0.0,0.0
183,CASH_OUT,223066.16,C1124991995,18154.9,0.0,C1805711304,1068829.28,1291895.43
