step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
255,CASH_IN,271800.61,C1937899245,61244.0,333044.61,C1500465916,3082564.69,2810764.08
255,CASH_OUT,30013.22,C1686692629,333044.61,303031.38,C969256165,68960.04,98973.27
255,CASH_OUT,14155.75,C325271459,8451.0,0.0,C1770424610,3374719.31,3388875.06
255,CASH_IN,264850.64,C1375422089,131.0,264981.64,C1226162508,293989.08,29138.44
255,PAYMENT,17215.6,C762428621,5075.0,0.0,M247620157,0.0,0.0
255,PAYMENT,25876.94,C72800865,0.0,0.0,M261233516,0.0,0.0
255,PAYMENT,6961.35,C799365511,0.0,0.0,M845878724,0.0,0.0
255,CASH_OUT,484367.41,C6050874,80228.0,0.0,C2084608013,0.0,484367.41
255,PAYMENT,6284.92,C529163814,0.0,0.0,M442924337,0.0,0.0
255,CASH_OUT,204616.86,C1883868812,31673.0,0.0,C279414743,2.86487552E7,2.885337207E7
255,CASH_OUT,394764.1,C307685691,3087.0,0.0,C571235047,537086.77,931850.87
255,PAYMENT,6497.35,C1579222529,79350.0,72852.65,M2005362433,0.0,0.0
255,CASH_OUT,205170.22,C1258728083,11644.0,0.0,C573880798,0.0,205170.22
255,TRANSFER,96181.67,C1857850873,0.0,0.0,C1113241498,243258.25,339439.91
255,PAYMENT,11053.67,C947621665,280.0,0.0,M1946703936,0.0,0.0
255,CASH_OUT,57686.73,C170141280,15306.0,0.0,C1377478806,39288.49,96975.21
255,CASH_OUT,126604.01,C16621976,211139.0,84534.99,C2051413356,550369.27,676973.29
255,CASH_OUT,167183.19,C1679504417,5854.0,0.0,C1667378188,2769755.67,2936938.86
255,CASH_IN,212352.35,C1382525626,550.0,212902.35,C1744807795,3793936.5,3581584.15
255,PAYMENT,2693.39,C2044428720,212902.35,210208.96,M340205170,0.0,0.0
255,PAYMENT,10391.89,C692099815,583.0,0.0,M1184745231,0.0,0.0
255,PAYMENT,8422.86,C1676548205,20159.0,11736.14,M1333149420,0.0,0.0
255,CASH_IN,571614.03,C1649152583,21218.0,592832.03,C1332885315,2132225.13,1560611.1
255,PAYMENT,1531.89,C1245775038,592832.03,591300.14,M1509900523,0.0,0.0
255,PAYMENT,5374.85,C654349414,372082.0,366707.15,M635200747,0.0,0.0
255,PAYMENT,19474.48,C1736110106,366707.15,347232.67,M1143016454,0.0,0.0
255,CASH_IN,44021.58,C1738605376,326364.0,370385.58,C2080952933,1561009.99,1516988.42
255,CASH_IN,33591.04,C563923043,5372.0,38963.04,C534743518,3987969.57,3954378.53
255,CASH_OUT,149760.95,C290850410,51520.0,0.0,C889358334,100357.35,250118.3
255,PAYMENT,6617.54,C1566271866,0.0,0.0,M848284306,0.0,0.0
255,CASH_OUT,282089.94,C1964495728,49754.0,0.0,C1506765448,151480.46,433570.39
255,PAYMENT,6015.59,C1414790894,0.0,0.0,M1380273575,0.0,0.0
255,TRANSFER,459092.37,C508745255,401.0,0.0,C105896053,2397183.31,2856275.68
255,PAYMENT,17157.76,C1435830990,0.0,0.0,M511322652,0.0,0.0
255,PAYMENT,21580.5,C1722446849,0.0,0.0,M1858168093,0.0,0.0
255,PAYMENT,318.7,C335532401,0.0,0.0,M1545216984,0.0,0.0
255,PAYMENT,16058.75,C1772445222,0.0,0.0,M204023682,0.0,0.0
255,PAYMENT,8851.09,C1630542639,0.0,0.0,M1824120882,0.0,0.0
255,PAYMENT,12623.55,C791599085,0.0,0.0,M1795088573,0.0,0.0
255,PAYMENT,3561.09,C192309166,0.0,0.0,M678276738,0.0,0.0
255,PAYMENT,8941.96,C1898288605,0.0,0.0,M1816356940,0.0,0.0
255,PAYMENT,3767.55,C1420831101,0.0,0.0,M292324567,0.0,0.0
