step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
336,PAYMENT,7304.95,C1007489862,6023.0,0.0,M2070205887,0.0,0.0
336,PAYMENT,9589.98,C1372124301,92363.0,82773.02,M1478670973,0.0,0.0
336,PAYMENT,3824.82,C207684892,16709.0,12884.18,M1375072258,0.0,0.0
336,PAYMENT,1259.03,C1200560685,2201.0,941.97,M171155955,0.0,0.0
336,PAYMENT,11602.33,C251534412,20509.0,8906.67,M1895139441,0.0,0.0
336,TRANSFER,5916706.04,C1326754352,8906.67,0.0,C699680315,5.122472904E7,5.714143508E7
336,DEBIT,2865.23,C1480570392,13540.0,10674.77,C1561187633,169020.13,171885.35
336,PAYMENT,2709.95,C652070191,3981.0,1271.05,M2058846085,0.0,0.0
336,PAYMENT,3343.35,C278400969,30946.0,27602.65,M892527796,0.0,0.0
336,CASH_OUT,146586.63,C2102326152,27602.65,0.0,C194949338,818949.6,965536.23
336,PAYMENT,2856.9,C1011146995,2073.0,0.0,M1827817205,0.0,0.0
336,CASH_OUT,15568.96,C1321670811,0.0,0.0,C808713298,359935.29,375504.25
336,PAYMENT,1570.78,C1142911096,93444.0,91873.22,M1598505840,0.0,0.0
336,PAYMENT,17250.22,C561800067,91873.22,74623.0,M1460253943,0.0,0.0
336,PAYMENT,853.52,C1747616478,286799.0,285945.48,M219353192,0.0,0.0
336,PAYMENT,11835.96,C1328613938,279.0,0.0,M1426432303,0.0,0.0
336,PAYMENT,822.27,C1761998115,60177.0,59354.73,M2080385083,0.0,0.0
336,CASH_OUT,113824.72,C1000856851,59354.73,0.0,C1674390925,7939662.35,8053487.07
336,PAYMENT,13691.41,C1129521041,104651.0,90959.59,M87643701,0.0,0.0
336,PAYMENT,7831.19,C2013656921,90959.59,83128.4,M2110775823,0.0,0.0
336,PAYMENT,40021.56,C649844144,83128.4,43106.84,M1769781164,0.0,0.0
336,CASH_IN,338273.61,C1041509093,50827.0,389100.61,C1268392603,25751.9,0.0
336,PAYMENT,13956.37,C1019832498,389100.61,375144.24,M1151806670,0.0,0.0
336,PAYMENT,4211.71,C1214919201,375144.24,370932.53,M1471576779,0.0,0.0
336,PAYMENT,21597.98,C541922423,370932.53,349334.55,M1576115692,0.0,0.0
336,PAYMENT,57154.84,C1142114121,349334.55,292179.71,M538385698,0.0,0.0
336,PAYMENT,24691.33,C1748061179,292179.71,267488.38,M964601324,0.0,0.0
336,PAYMENT,8168.6,C1728676997,267488.38,259319.79,M2146401099,0.0,0.0
336,PAYMENT,14664.83,C493062622,259319.79,244654.96,M1375604315,0.0,0.0
336,PAYMENT,33653.05,C2063107405,244654.96,211001.91,M2127142010,0.0,0.0
336,PAYMENT,16266.96,C2137376516,211001.91,194734.95,M1581810277,0.0,0.0
336,PAYMENT,8972.76,C1613018636,194734.95,185762.19,M1379716158,0.0,0.0
336,PAYMENT,17591.46,C61893786,185762.19,168170.73,M435264803,0.0,0.0
336,PAYMENT,620.19,C1554046151,168170.73,167550.55,M1758045777,0.0,0.0
336,PAYMENT,939.56,C1755173742,167550.55,166610.99,M2098217947,0.0,0.0
336,PAYMENT,12985.56,C663551578,166610.99,153625.43,M47329236,0.0,0.0
336,PAYMENT,679.2,C72522307,153625.43,152946.23,M2065895305,0.0,0.0
336,PAYMENT,7684.99,C991776921,152946.23,145261.24,M681735329,0.0,0.0
336,PAYMENT,3133.83,C951219060,145261.24,142127.41,M1536064684,0.0,0.0
336,PAYMENT,15975.44,C180774620,142127.41,126151.97,M838474841,0.0,0.0
336,PAYMENT,11732.51,C452518081,126151.97,114419.47,M842765358,0.0,0.0
336,PAYMENT,21205.87,C200471603,114419.47,93213.6,M1779116480,0.0,0.0
336,PAYMENT,5093.33,C925381288,93213.6,88120.27,M1507613319,0.0,0.0
336,DEBIT,1882.03,C1167294179,189.0,0.0,C1911355802,1242898.33,1244780.36
336,PAYMENT,6662.7,C1994721976,5037.0,0.0,M11459518,0.0,0.0
336,DEBIT,3395.56,C1000190286,51028.0,47632.44,C666813059,1590926.34,1594321.9
336,PAYMENT,1562.42,C1705489592,205658.0,204095.58,M1003078270,0.0,0.0
336,PAYMENT,33864.38,C1305251218,204095.58,170231.2,M453853860,0.0,0.0
336,DEBIT,2612.88,C1129789193,27749.0,25136.12,C1742215957,347781.67,350394.55
336,TRANSFER,1812005.9,C913889071,25136.12,0.0,C700412932,6688348.29,8500354.2
336,TRANSFER,219339.53,C527531119,10490.0,0.0,C852458629,0.0,219339.53
336,PAYMENT,4310.66,C1847067975,50019.0,45708.34,M336435442,0.0,0.0
336,PAYMENT,843.64,C1690100979,12551.0,11707.36,M1891266063,0.0,0.0
336,CASH_IN,6931.3,C1579577186,39999.0,46930.3,C1475021595,278326.3,271394.99
336,PAYMENT,660.12,C638891612,10582.0,9921.88,M629953809,0.0,0.0
336,PAYMENT,720.93,C115707321,32503.0,31782.07,M1800781688,0.0,0.0
336,PAYMENT,6722.36,C1752187416,30322.0,23599.64,M789817050,0.0,0.0
336,PAYMENT,1113.43,C87129796,23599.64,22486.21,M1129951077,0.0,0.0
336,PAYMENT,1221.65,C693327252,52205.0,50983.35,M457446162,0.0,0.0
336,PAYMENT,11569.9,C353212896,90713.0,79143.1,M455163555,0.0,0.0
336,PAYMENT,3643.39,C686634918,20922.0,17278.61,M327839018,0.0,0.0
336,PAYMENT,7598.89,C1781605410,94.0,0.0,M2029505505,0.0,0.0
336,PAYMENT,3423.15,C971408222,62605.0,59181.85,M2042972789,0.0,0.0
336,CASH_OUT,94835.8,C448160091,2536.0,0.0,C283498399,846539.06,941374.87
336,PAYMENT,6681.26,C1549273391,11133.0,4451.74,M1361677705,0.0,0.0
336,TRANSFER,542075.69,C49079099,51258.0,0.0,C1341134115,77498.5,619574.19
336,PAYMENT,1662.1,C737801860,3080.0,1417.9,M930386853,0.0,0.0
336,PAYMENT,10542.2,C715916551,198134.0,187591.8,M1337773650,0.0,0.0
336,PAYMENT,29890.67,C722816247,111.0,0.0,M955194251,0.0,0.0
336,PAYMENT,16358.35,C1914807724,10781.0,0.0,M1539718116,0.0,0.0
336,PAYMENT,8126.4,C1513469599,0.0,0.0,M440851729,0.0,0.0
336,DEBIT,391.68,C1697974064,34976.0,34584.32,C550879895,630556.59,630948.28
336,DEBIT,1816.55,C256252265,246075.0,244258.45,C726467776,739896.54,741713.09
336,PAYMENT,853.33,C2024851280,59729.0,58875.67,M1420960514,0.0,0.0
336,CASH_OUT,305625.06,C435397155,58875.67,0.0,C1196837316,9536672.57,9842297.64
336,PAYMENT,4723.56,C650214693,14059.0,9335.44,M1479910634,0.0,0.0
336,PAYMENT,13584.24,C492447453,22497.0,8912.76,M423394799,0.0,0.0
336,PAYMENT,2891.55,C884544440,422.0,0.0,M1105130289,0.0,0.0
336,PAYMENT,31249.48,C226384153,0.0,0.0,M2010619484,0.0,0.0
336,PAYMENT,5831.63,C185563085,0.0,0.0,M1040075494,0.0,0.0
336,PAYMENT,5545.02,C1110932177,0.0,0.0,M156842421,0.0,0.0
336,PAYMENT,16914.05,C2040038988,0.0,0.0,M914246371,0.0,0.0
336,PAYMENT,21065.65,C1340493583,0.0,0.0,M254956503,0.0,0.0
336,PAYMENT,232.31,C849677979,20971.0,20738.69,M1992844158,0.0,0.0
336,PAYMENT,4692.2,C195810463,56107.0,51414.8,M370840278,0.0,0.0
336,PAYMENT,1011.95,C206673752,51414.8,50402.85,M959956543,0.0,0.0
336,DEBIT,2476.55,C1819140778,6052.0,3575.45,C317480048,3873815.84,3876292.39
336,PAYMENT,9876.5,C774062547,41316.0,31439.5,M784918552,0.0,0.0
336,CASH_IN,40249.97,C692700608,45996.0,86245.97,C277656931,0.0,0.0
336,PAYMENT,18197.53,C707922673,86245.97,68048.44,M514587581,0.0,0.0
