step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
322,CASH_IN,134317.12,C610704445,356376.0,490693.12,C172666055,137057.5,2740.39
322,CASH_IN,119569.18,C1184306355,16188.0,135757.18,C1230510192,0.0,0.0
322,TRANSFER,1375025.75,C919765753,47373.0,0.0,C1449465008,102624.06,1477649.8
322,CASH_OUT,192952.84,C2117773381,4977.0,0.0,C1853325897,0.0,192952.84
322,CASH_IN,133387.87,C1848460491,883.0,134270.87,C706855800,32832.37,0.0
322,PAYMENT,35080.95,C283244337,275.0,0.0,M847669918,0.0,0.0
322,PAYMENT,25292.36,C433427467,0.0,0.0,M500859110,0.0,0.0
322,PAYMENT,3908.17,C35496979,107389.0,103480.83,M63896660,0.0,0.0
322,CASH_IN,113314.71,C906909162,10542.0,123856.71,C343955542,57797.47,0.0
322,PAYMENT,13891.48,C2132426365,21369.0,7477.52,M273162417,0.0,0.0
322,PAYMENT,64955.34,C1687175856,7477.52,0.0,M544598733,0.0,0.0
322,PAYMENT,23420.93,C246600040,15615.0,0.0,M1596863911,0.0,0.0
322,TRANSFER,2274205.64,C961374512,7540.0,0.0,C729559399,31197.79,2305403.44
322,CASH_OUT,286873.91,C920768342,48158.0,0.0,C1814943156,35619.93,322493.84
322,PAYMENT,221.28,C775975283,0.0,0.0,M7207441,0.0,0.0
322,CASH_OUT,249377.42,C1379600325,1306.0,0.0,C236142455,368018.57,617395.99
322,CASH_OUT,41480.36,C1780021675,438030.0,396549.64,C530853157,4600620.1,4642100.46
322,PAYMENT,33246.92,C1207883378,33335.0,88.08,M682365422,0.0,0.0
322,CASH_IN,298634.59,C581119505,26059.0,324693.59,C1261797899,380977.65,82343.06
322,CASH_OUT,257314.59,C266030671,13085.0,0.0,C1184896375,163423.82,420738.41
322,CASH_IN,194493.81,C1042760832,206298.0,400791.81,C987209267,0.0,0.0
322,CASH_IN,162852.79,C1993085387,3632.0,166484.79,C367772496,0.0,0.0
322,PAYMENT,14410.63,C1302620837,5089.0,0.0,M416869480,0.0,0.0
322,CASH_OUT,594071.84,C476031159,5544.0,0.0,C1045752511,0.0,594071.84
322,CASH_OUT,76740.66,C168538302,56653.0,0.0,C925126150,76379.59,153120.24
322,TRANSFER,2501574.58,C1679036952,40480.0,0.0,C1044661401,0.0,2501574.58
322,CASH_IN,373593.37,C997198174,21461.0,395054.37,C567810229,220538.68,0.0
322,PAYMENT,27070.67,C1510675607,62489.0,35418.33,M223527208,0.0,0.0
322,CASH_IN,147677.33,C1225954888,20105.0,167782.33,C2133386597,153512.59,5835.26
322,PAYMENT,41020.24,C1913867469,167782.33,126762.09,M1883132340,0.0,0.0
322,PAYMENT,11589.24,C1811842330,53022.0,41432.76,M906227451,0.0,0.0
322,CASH_IN,147946.28,C1579067858,61252.0,209198.28,C428283126,1561069.02,1413122.74
