step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
85,TRANSFER,64344.59,C47624520,64344.59,0.0,C572686074,0.0,0.0
85,CASH_OUT,64344.59,C1334187064,64344.59,0.0,C719763224,0.0,64344.59
85,TRANSFER,4094.07,C810305173,4094.07,0.0,C600417404,0.0,0.0
85,CASH_OUT,4094.07,C823346399,4094.07,0.0,C1910586925,296534.2,300628.27
85,TRANSFER,167679.27,C108588868,167679.27,0.0,C944240643,0.0,0.0
85,CASH_OUT,167679.27,C2032147559,167679.27,0.0,C599607213,165580.61,333259.88
85,TRANSFER,678058.75,C722109752,678058.75,0.0,C43114733,0.0,0.0
85,CASH_OUT,678058.75,C9701690,678058.75,0.0,C617022852,7175958.36,7854017.11
85,TRANSFER,1529614.71,C1096275107,1529614.71,0.0,C541691384,0.0,0.0
85,CASH_OUT,1529614.71,C955071434,1529614.71,0.0,C865727492,0.0,1529614.71
85,TRANSFER,1440705.58,C1202805418,1440705.58,0.0,C1429653947,0.0,0.0
85,CASH_OUT,1440705.58,C1733056191,1440705.58,0.0,C1061971573,0.0,1440705.58
85,TRANSFER,8924971.59,C406938681,8924971.59,0.0,C579440834,0.0,0.0
85,CASH_OUT,8924971.59,C1227042704,8924971.59,0.0,C585705042,59990.3,8984961.89
