step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
137,CASH_IN,244299.49,C1544194116,397292.0,641591.49,C1861831140,143976.58,0.0
137,PAYMENT,15683.21,C1131516906,50885.0,35201.79,M1848188661,0.0,0.0
137,CASH_OUT,109397.62,C993507471,75128.0,0.0,C880219079,0.0,109397.62
137,CASH_OUT,32697.55,C863461125,61947.0,29249.45,C317912004,124277.41,156974.96
137,CASH_OUT,218838.58,C2094429250,17353.0,0.0,C765430526,335396.64,554235.22
137,CASH_IN,55516.33,C1512969115,71769.0,127285.33,C361520525,0.0,0.0
137,CASH_IN,250962.6,C1549478801,191.0,251153.6,C1570943875,254965.25,4002.65
137,CASH_IN,188254.64,C1432209512,31282.0,219536.64,C1496873483,2556378.94,2632650.94
137,PAYMENT,50540.1,C451334885,219536.64,168996.54,M813611241,0.0,0.0
137,CASH_OUT,158144.08,C897321684,232565.0,74420.92,C418940042,0.0,158144.08
137,PAYMENT,54102.11,C249137819,510.0,0.0,M570687583,0.0,0.0
137,CASH_OUT,5668.0,C1744329990,0.0,0.0,C1514940820,2111945.24,2117613.25
137,CASH_OUT,206081.66,C847757703,29804.0,0.0,C1550125329,0.0,206081.66
137,PAYMENT,49992.2,C1892157470,0.0,0.0,M1917647008,0.0,0.0
137,PAYMENT,11605.53,C1467587458,1349.0,0.0,M1535046419,0.0,0.0
137,CASH_OUT,169729.23,C1808173210,1017.0,0.0,C645712220,0.0,169729.23
137,CASH_IN,465543.44,C2128278714,811.0,466354.44,C1775457672,1057714.13,592170.68
137,TRANSFER,9380.5,C1701102952,28894.0,19513.5,C812162506,557251.4,566631.9
137,TRANSFER,908843.61,C1227773116,11009.0,0.0,C65628411,0.0,908843.61
137,CASH_OUT,45644.78,C385058651,10325.0,0.0,C2081296996,35699.0,81343.78
137,PAYMENT,28225.54,C1067834907,29994.0,1768.46,M2083066626,0.0,0.0
137,PAYMENT,6489.48,C1201222543,31168.0,24678.52,M1306180984,0.0,0.0
137,PAYMENT,29364.31,C1553917918,39367.0,10002.69,M1755012684,0.0,0.0
137,PAYMENT,23049.61,C1720716699,49716.0,26666.39,M2117688652,0.0,0.0
137,CASH_OUT,82007.32,C1429398850,571.0,0.0,C641524909,149491.99,231499.31
137,CASH_IN,210307.8,C1734977686,1005.0,211312.8,C1102187963,0.0,0.0
137,CASH_OUT,327117.29,C32742709,26518.0,0.0,C1093474712,729209.6,1056326.89
137,CASH_OUT,295349.58,C898917242,114185.0,0.0,C594364770,0.0,295349.58
137,PAYMENT,14844.9,C2010024063,0.0,0.0,M1565111048,0.0,0.0
137,CASH_OUT,27962.16,C1078888353,21368.0,0.0,C1271356875,2778681.32,2806643.49
137,CASH_OUT,225184.98,C1448584033,108342.0,0.0,C94865760,0.0,225184.98
137,CASH_IN,118966.2,C1440306340,37299.0,156265.2,C2026102647,0.0,0.0
137,CASH_OUT,88156.89,C1167621348,88777.0,620.11,C298005938,1444484.37,1532641.26
137,PAYMENT,39273.02,C1902090361,20735.0,0.0,M452489624,0.0,0.0
137,PAYMENT,2182.77,C85682711,2007.0,0.0,M56772876,0.0,0.0
137,CASH_OUT,326041.73,C242451785,11632.0,0.0,C2046655608,0.0,326041.73
137,PAYMENT,16903.86,C1465799086,0.0,0.0,M164352640,0.0,0.0
137,PAYMENT,26579.8,C418435228,132408.0,105828.2,M180045574,0.0,0.0
137,PAYMENT,11901.07,C793621726,22261.0,10359.93,M2017803365,0.0,0.0
137,TRANSFER,109815.32,C1722775489,9405.0,0.0,C1016855489,0.0,109815.32
137,PAYMENT,17860.74,C922525541,0.0,0.0,M1951741472,0.0,0.0
137,PAYMENT,14607.64,C631409371,0.0,0.0,M942596305,0.0,0.0
137,PAYMENT,1842.24,C1794852614,0.0,0.0,M935499855,0.0,0.0
137,PAYMENT,3658.22,C101132350,0.0,0.0,M1239447623,0.0,0.0
137,PAYMENT,1515.29,C2039727370,0.0,0.0,M1513110167,0.0,0.0
137,CASH_OUT,228250.78,C1707716407,286.0,0.0,C471537150,1883382.06,2111632.84
137,CASH_OUT,263180.75,C799134089,256267.0,0.0,C1336996537,1871653.15,2134833.9
137,CASH_OUT,25193.59,C1216211682,109032.0,83838.41,C340476329,2551696.49,2576890.08
137,CASH_OUT,167951.58,C323130872,83838.41,0.0,C1655970864,692220.08,860171.67
137,CASH_OUT,227346.04,C995766448,9196.0,0.0,C530195410,1130469.22,1357815.26
137,CASH_OUT,114884.99,C450270155,19313.0,0.0,C1370402602,1764.0,0.0
137,PAYMENT,50636.89,C1037779081,2157.0,0.0,M976355231,0.0,0.0
137,CASH_OUT,118153.36,C1350866905,11494.0,0.0,C1175619677,878287.97,996441.33
137,PAYMENT,14858.0,C2120359625,0.0,0.0,M425383556,0.0,0.0
137,CASH_IN,171219.28,C740433719,1144.0,172363.28,C257689073,0.0,0.0
137,PAYMENT,19397.51,C1483501365,172363.28,152965.76,M907458215,0.0,0.0
137,PAYMENT,19430.33,C2033690647,152965.76,133535.43,M1162922913,0.0,0.0
137,CASH_OUT,352259.96,C2130579961,49923.0,0.0,C1984162812,12005.0,151419.26
137,CASH_OUT,66109.37,C2111709967,20817.0,0.0,C1928536485,113616.31,179725.68
137,PAYMENT,45697.38,C971852723,0.0,0.0,M2049147628,0.0,0.0
137,CASH_IN,100420.16,C1952200072,31178.0,131598.16,C422712987,984361.42,883941.26
137,PAYMENT,15733.67,C2014754391,131598.16,115864.49,M737532469,0.0,0.0
137,CASH_OUT,40090.42,C1294403909,3576.0,0.0,C812513210,947646.69,987737.12
137,PAYMENT,13946.23,C1489147164,0.0,0.0,M363537501,0.0,0.0
137,PAYMENT,22385.57,C269119663,4059.0,0.0,M1704079050,0.0,0.0
137,TRANSFER,629149.35,C691289361,50474.0,0.0,C766751589,345861.74,975011.09
137,PAYMENT,4200.18,C1710321062,51219.0,47018.82,M649983679,0.0,0.0
137,PAYMENT,4997.73,C1387096284,51975.0,46977.27,M1517886253,0.0,0.0
137,PAYMENT,22011.91,C881574297,51679.0,29667.09,M2102055353,0.0,0.0
137,CASH_OUT,91083.72,C1142472004,12257.0,0.0,C1413055366,8303517.96,8394601.68
137,CASH_OUT,263746.87,C1454012057,193.0,0.0,C987493160,0.0,263746.87
137,CASH_OUT,6141.58,C1019732700,12675.0,6533.42,C1104042317,97162.46,103304.04
137,PAYMENT,39825.19,C388709348,6533.42,0.0,M383276760,0.0,0.0
137,CASH_IN,271544.08,C323220516,341628.0,613172.08,C520975602,105683.44,0.0
137,PAYMENT,14984.71,C277951890,37405.0,22420.29,M1579927679,0.0,0.0
137,PAYMENT,50126.43,C177286132,22420.29,0.0,M117382230,0.0,0.0
137,CASH_OUT,172780.47,C534484158,133.0,0.0,C106515664,2539849.9,2712630.37
137,CASH_OUT,144139.64,C523493130,166.0,0.0,C960357184,0.0,265559.82
137,CASH_OUT,243928.75,C478058899,227361.16,0.0,C520141732,0.0,243928.75
137,PAYMENT,11089.1,C1646083046,0.0,0.0,M555761023,0.0,0.0
137,PAYMENT,35180.12,C543845854,99037.0,63856.88,M1219549761,0.0,0.0
137,CASH_OUT,33937.83,C1132010170,59906.0,25968.17,C1824522037,190377.32,224315.15
137,TRANSFER,268522.63,C1662131311,25968.17,0.0,C1222704198,505341.03,773863.66
137,TRANSFER,650836.03,C275093838,0.0,0.0,C1799081009,2782637.93,3433473.96
137,TRANSFER,455689.71,C1590246353,0.0,0.0,C1255693786,2969502.9,3425192.6
137,TRANSFER,55419.3,C1441683064,0.0,0.0,C1184123428,788052.27,843471.57
137,TRANSFER,44784.87,C644667854,0.0,0.0,C981740366,875059.03,919843.9
137,PAYMENT,24592.94,C444566436,83417.0,58824.06,M226438281,0.0,0.0
137,CASH_OUT,147142.45,C713418440,11348.0,0.0,C1016658450,9136869.45,9284011.9
137,CASH_OUT,49173.78,C1793587455,21319.0,0.0,C230164482,67219.37,116393.15
137,PAYMENT,5817.03,C203652268,207900.0,202082.97,M2026640069,0.0,0.0
137,CASH_OUT,488853.69,C2113538226,104287.0,0.0,C977895157,3288560.64,3777414.33
137,CASH_OUT,351442.69,C680474610,20891.0,0.0,C1381278618,3017956.81,3369399.49
137,PAYMENT,14387.71,C1071577171,19717.0,5329.29,M664575831,0.0,0.0
137,CASH_OUT,72302.49,C168737934,5329.29,0.0,C1166910732,1955090.62,2027393.11
137,PAYMENT,10548.9,C1542400666,50155.0,39606.1,M322653652,0.0,0.0
137,CASH_OUT,213418.7,C1352535747,304922.0,91503.3,C167823915,282605.24,496023.94
137,CASH_IN,254773.98,C789262994,20775.0,275548.98,C957428247,439379.04,184605.06
137,TRANSFER,250268.91,C219309587,275548.98,25280.07,C1136492228,8021951.16,8326780.42
137,CASH_OUT,179199.4,C1150214024,704.0,0.0,C1181697146,667125.41,742921.86
137,CASH_OUT,148578.07,C1682323916,583945.0,435366.93,C2119380305,98392.53,246970.6
137,CASH_OUT,116968.61,C305076340,82470.0,0.0,C596594181,0.0,116968.61
137,PAYMENT,4268.51,C211011292,0.0,0.0,M1045641817,0.0,0.0
137,PAYMENT,15058.14,C1796140038,0.0,0.0,M25732523,0.0,0.0
137,PAYMENT,1760.73,C322909792,0.0,0.0,M874076076,0.0,0.0
137,PAYMENT,21808.64,C686547957,0.0,0.0,M1821028030,0.0,0.0
137,PAYMENT,6830.6,C107747705,0.0,0.0,M2016840239,0.0,0.0
137,PAYMENT,10923.2,C255142551,0.0,0.0,M921930385,0.0,0.0
137,PAYMENT,130.55,C1345518311,0.0,0.0,M471426364,0.0,0.0
137,PAYMENT,5567.53,C987665850,0.0,0.0,M282273650,0.0,0.0
137,PAYMENT,7233.66,C1475412557,0.0,0.0,M1486090,0.0,0.0
137,PAYMENT,21693.37,C1311480823,0.0,0.0,M1196084727,0.0,0.0
137,PAYMENT,660.29,C418798649,0.0,0.0,M759024848,0.0,0.0
137,PAYMENT,7670.66,C1071324835,0.0,0.0,M779045338,0.0,0.0
137,PAYMENT,14417.71,C72540090,0.0,0.0,M1204476076,0.0,0.0
137,PAYMENT,19478.73,C537131248,0.0,0.0,M1962300595,0.0,0.0
137,PAYMENT,10522.71,C1716255384,0.0,0.0,M2002075973,0.0,0.0
137,PAYMENT,17692.29,C1211036455,0.0,0.0,M247166301,0.0,0.0
