step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
330,CASH_OUT,8259.64,C46940530,44218.0,35958.36,C1781203759,1529629.07,1537888.72
330,CASH_OUT,207595.7,C2042140948,37723.0,0.0,C974027712,0.0,207595.7
330,PAYMENT,5372.82,C1177190312,59682.0,54309.18,M264467779,0.0,0.0
330,CASH_OUT,46233.89,C1877242392,1257.0,0.0,C1284043366,1787038.24,1833272.13
330,PAYMENT,11359.18,C1378432713,224882.0,213522.82,M1198244891,0.0,0.0
330,CASH_OUT,96821.22,C1402390744,70186.0,0.0,C60367801,111117.38,207938.61
330,CASH_IN,170811.97,C531502080,94200.0,265011.97,C1969570489,0.0,0.0
330,CASH_OUT,127296.14,C78308930,285646.0,158349.86,C303225886,6898525.97,7025822.11
330,PAYMENT,12147.94,C502837712,427.0,0.0,M2018339519,0.0,0.0
330,CASH_IN,156008.99,C397180834,106.0,156114.99,C1016339817,0.0,0.0
330,CASH_OUT,65137.52,C1147601891,15410.0,0.0,C1672649041,357150.12,422287.64
330,PAYMENT,16601.01,C482958478,0.0,0.0,M264426810,0.0,0.0
330,PAYMENT,3428.78,C2070407695,0.0,0.0,M132355739,0.0,0.0
330,PAYMENT,59229.77,C1368954821,0.0,0.0,M1223357385,0.0,0.0
330,PAYMENT,12867.1,C202989385,0.0,0.0,M391468831,0.0,0.0
330,PAYMENT,22194.18,C48684175,0.0,0.0,M495784865,0.0,0.0
330,PAYMENT,32558.02,C1529406542,0.0,0.0,M1727573403,0.0,0.0
330,PAYMENT,25735.85,C1389234031,0.0,0.0,M665519756,0.0,0.0
330,PAYMENT,40998.78,C1002282147,0.0,0.0,M411728442,0.0,0.0
330,PAYMENT,12099.0,C979231547,0.0,0.0,M1170017690,0.0,0.0
330,PAYMENT,5298.56,C305318154,0.0,0.0,M1503804124,0.0,0.0
330,PAYMENT,12134.44,C213081832,0.0,0.0,M558842681,0.0,0.0
330,PAYMENT,2746.96,C632403075,0.0,0.0,M1829576243,0.0,0.0
330,PAYMENT,1343.53,C2069846372,0.0,0.0,M550673341,0.0,0.0
330,CASH_OUT,107443.49,C141502088,95686.0,0.0,C528249596,0.0,107443.49
330,PAYMENT,14441.63,C219565360,60037.0,45595.37,M209953167,0.0,0.0
330,CASH_IN,13687.83,C943250641,42963.0,56650.83,C601862892,246250.93,232563.1
330,CASH_OUT,207920.6,C1234368056,56650.83,0.0,C215400105,723998.06,931918.66
330,CASH_IN,249832.73,C1985105399,12583.0,262415.73,C381395188,0.0,0.0
330,CASH_IN,193574.08,C1741423979,295.0,193869.08,C1277684044,216821.29,23247.21
330,PAYMENT,48282.42,C426545943,9254.0,0.0,M1200723252,0.0,0.0
330,CASH_IN,225070.22,C600331716,11810.0,236880.22,C1078584667,8168563.59,7943493.37
330,CASH_OUT,87925.45,C615050123,50978.0,0.0,C1838690956,0.0,87925.45
330,CASH_OUT,80626.44,C1503731746,51957.0,0.0,C1905480727,872820.09,953446.53
