step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
472,CASH_OUT,55756.5,C1127637726,11245.0,0.0,C1469310946,297290.31,353046.81
472,CASH_OUT,102976.91,C1559348659,0.0,0.0,C973542143,799628.05,902604.96
472,CASH_OUT,32770.97,C954485274,0.0,0.0,C1034223658,318180.98,350951.94
472,CASH_OUT,241000.03,C1059082870,0.0,0.0,C1637811221,1312170.13,1553170.16
472,CASH_OUT,235468.26,C1332803550,0.0,0.0,C1129235717,2870803.74,3106272.0
472,CASH_OUT,127914.4,C494825438,0.0,0.0,C94557620,1894634.1,2022548.5
472,CASH_OUT,467966.04,C122700529,0.0,0.0,C870627877,1036668.81,1504634.86
472,CASH_OUT,121774.86,C979239823,0.0,0.0,C643163176,1661323.92,1783098.78
472,CASH_OUT,268796.45,C1926810909,0.0,0.0,C684057137,1270859.77,1539656.21
472,CASH_OUT,117470.11,C473324551,0.0,0.0,C1487890981,7.13943594E7,7.151182951E7
472,CASH_OUT,78163.87,C427082426,0.0,0.0,C240497227,279272.85,357436.72
472,CASH_OUT,179505.36,C1409083488,0.0,0.0,C1290597359,3086912.67,3266418.03
472,CASH_OUT,75905.05,C1744336679,0.0,0.0,C1615019152,462478.81,538383.87
472,CASH_OUT,50969.04,C1224792507,0.0,0.0,C1778688595,127048.31,178017.35
472,CASH_OUT,52025.22,C1985917747,0.0,0.0,C540594646,941252.38,993277.59
472,CASH_OUT,79083.81,C1112930928,0.0,0.0,C1885737489,6668814.43,6747898.24
472,CASH_OUT,168637.12,C1714486354,0.0,0.0,C1924891893,294826.51,463463.63
472,CASH_OUT,292499.71,C691158062,0.0,0.0,C411590571,4905355.59,5197855.3
472,CASH_OUT,111048.01,C720815376,0.0,0.0,C351076375,301266.42,412314.43
472,CASH_OUT,183007.54,C1201482820,0.0,0.0,C1265077420,356790.62,539798.16
472,CASH_OUT,148516.65,C648977033,0.0,0.0,C1603556480,382109.3,530625.95
472,CASH_OUT,161026.48,C507842878,0.0,0.0,C84658683,2024395.42,2185421.9
472,CASH_OUT,53435.94,C42441123,0.0,0.0,C1943761542,298361.07,351797.02
472,CASH_OUT,200683.25,C752253627,0.0,0.0,C203141818,1409020.6,1609703.85
472,CASH_OUT,99224.43,C2122241914,0.0,0.0,C887738184,642211.62,741436.04
472,TRANSFER,458880.37,C1208280426,4874.0,0.0,C1762572349,322.17,459202.53
472,CASH_OUT,133458.43,C1995450184,0.0,0.0,C778493702,978085.22,1111543.65
472,PAYMENT,10442.29,C1768724623,104686.0,94243.71,M1637963743,0.0,0.0
472,PAYMENT,120495.53,C249676084,11575.0,0.0,M2036100551,0.0,0.0
472,DEBIT,364.98,C1962486403,20664.0,20299.02,C662787209,1.293097613E7,1.293134111E7
472,TRANSFER,586801.3,C2045012639,586801.3,0.0,C529372268,0.0,0.0
472,CASH_OUT,586801.3,C951521494,586801.3,0.0,C2063022949,217402.84,804204.13
472,CASH_IN,507824.23,C1764479390,23039.0,530863.23,C341754455,0.0,0.0
472,CASH_OUT,503681.15,C1423913269,111256.0,0.0,C758856955,0.0,503681.15
472,PAYMENT,21189.89,C246745507,650425.0,629235.11,M243570947,0.0,0.0
472,TRANSFER,2739869.62,C957619820,2739869.62,0.0,C1424435329,0.0,0.0
472,CASH_OUT,2739869.62,C342873826,2739869.62,0.0,C1459518542,0.0,2739869.62
472,CASH_OUT,127374.64,C842087901,100541.0,0.0,C1780781867,97565.56,224940.2
472,CASH_OUT,193191.11,C408413721,19739.0,0.0,C1853469053,1.094080186E7,1.113399298E7
472,CASH_IN,251088.1,C19491841,15403.0,266491.1,C1707554383,1417166.6,1166078.49
472,CASH_OUT,312797.85,C1805349376,126644.0,0.0,C1040427536,29856.1,342653.96
472,PAYMENT,9841.94,C1350530427,0.0,0.0,M2000631363,0.0,0.0
472,CASH_OUT,279504.74,C1027347905,219860.0,0.0,C545327992,2924653.61,3204158.35
472,PAYMENT,4159.48,C226978580,0.0,0.0,M653788018,0.0,0.0
472,CASH_OUT,29020.17,C687580352,196361.0,167340.83,C1164907406,46448.92,75469.09
472,CASH_OUT,391002.64,C1974746627,167340.83,0.0,C1508196979,2069111.34,2460113.98
472,CASH_OUT,367839.87,C1138566250,157758.0,0.0,C823771840,2297303.59,2665143.46
472,PAYMENT,8626.3,C634932464,0.0,0.0,M1349529903,0.0,0.0
472,PAYMENT,20144.52,C81811716,200202.0,180057.48,M775209862,0.0,0.0
472,CASH_IN,123625.67,C1231857020,10321.0,133946.67,C446927103,546495.85,422870.18
472,CASH_IN,97213.79,C407116855,63423.0,160636.79,C248375047,923279.92,826066.13
472,PAYMENT,26633.88,C518676034,126844.0,100210.12,M382371562,0.0,0.0
472,PAYMENT,8255.65,C983664138,100210.12,91954.47,M45908173,0.0,0.0
472,TRANSFER,346796.01,C1323878038,1650.0,0.0,C266355622,417944.06,764740.07
472,CASH_OUT,181681.99,C207090807,421.0,0.0,C1992905730,311398.36,493080.35
472,CASH_IN,138859.21,C988848673,746.0,139605.21,C1834701727,126469.69,0.0
472,PAYMENT,24262.5,C1546446682,20391.0,0.0,M1417172543,0.0,0.0
472,PAYMENT,1044.05,C1740629131,0.0,0.0,M1482793975,0.0,0.0
472,TRANSFER,636554.0,C1674348950,357.0,0.0,C819254583,0.0,636554.0
472,PAYMENT,92708.58,C1972630142,2210.0,0.0,M1838210043,0.0,0.0
472,TRANSFER,653983.93,C951821221,653983.93,0.0,C1535144828,0.0,0.0
472,CASH_OUT,653983.93,C1069288733,653983.93,0.0,C1731869105,659112.38,1313096.31
472,TRANSFER,63440.63,C1431701654,63440.63,0.0,C906449417,0.0,0.0
472,CASH_OUT,63440.63,C1047682756,63440.63,0.0,C1400720500,26850.23,90290.87
472,PAYMENT,103709.09,C1538352164,10671.0,0.0,M79318698,0.0,0.0
