step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
26,PAYMENT,1810.86,C1693801065,42566.0,40755.14,M750581799,0.0,0.0
26,TRANSFER,37065.55,C1952239554,37065.55,0.0,C399460584,0.0,0.0
26,CASH_OUT,37065.55,C281192595,37065.55,0.0,C514736179,1396327.66,1433393.21
26,PAYMENT,6568.2,C1588240112,302667.0,296098.8,M354166978,0.0,0.0
26,PAYMENT,11443.49,C120375164,296098.8,284655.3,M45048122,0.0,0.0
26,PAYMENT,1311.96,C150483585,99680.0,98368.04,M2094416228,0.0,0.0
26,PAYMENT,2635.02,C488664741,250692.0,248056.98,M1686076042,0.0,0.0
26,CASH_OUT,130657.92,C760885438,248056.98,117399.06,C1583399426,1497264.89,1627922.81
26,PAYMENT,2801.62,C1674156304,6728.0,3926.38,M2105710218,0.0,0.0
26,PAYMENT,7023.22,C1647708314,5903.0,0.0,M513084322,0.0,0.0
26,PAYMENT,3474.9,C825950329,34273.0,30798.1,M1491400210,0.0,0.0
26,PAYMENT,524.37,C180635468,13329.0,12804.63,M1010468269,0.0,0.0
26,CASH_IN,91249.55,C1441489563,16.0,91265.55,C128467719,202806.42,111556.87
26,PAYMENT,4022.05,C708860498,20509.0,16486.95,M35034737,0.0,0.0
26,PAYMENT,780.77,C1785293939,50555.0,49774.23,M1687692319,0.0,0.0
26,PAYMENT,4950.62,C1285713940,90487.0,85536.38,M2058474223,0.0,0.0
26,DEBIT,2428.45,C1536828222,1027.0,0.0,C2028321025,114242.43,116670.88
26,PAYMENT,2507.66,C2122796174,118.0,0.0,M561684890,0.0,0.0
26,PAYMENT,1362.81,C1437084144,0.0,0.0,M1604412328,0.0,0.0
26,CASH_OUT,58016.87,C461813742,5693.0,0.0,C55457905,69884.75,127901.63
26,PAYMENT,13525.72,C1862574965,0.0,0.0,M2071453900,0.0,0.0
26,PAYMENT,1425.35,C798973993,250351.0,248925.65,M17337331,0.0,0.0
26,DEBIT,294.29,C1264426924,1531.0,1236.71,C1276977413,377336.02,377630.31
26,PAYMENT,4700.08,C258500491,1126.0,0.0,M1537396839,0.0,0.0
26,CASH_IN,19466.47,C514891763,0.0,19466.47,C2004800916,29421.93,9955.46
26,CASH_IN,201335.37,C968344438,19466.47,220801.83,C1404867668,2055273.94,1853938.57
26,CASH_IN,149285.05,C1974452212,220801.83,370086.88,C471280264,3519872.55,3370587.5
26,CASH_IN,170820.54,C952330446,370086.88,540907.42,C1632716597,3374376.44,3203555.9
26,CASH_IN,192347.47,C571881250,540907.42,733254.89,C49156790,2628954.72,2436607.25
26,CASH_IN,220399.56,C633203813,733254.89,953654.45,C2076568026,1059070.81,838671.25
26,CASH_IN,72534.72,C761636665,953654.45,1026189.17,C105129740,2499467.5,2426932.78
26,CASH_IN,38589.22,C239284035,1026189.17,1064778.39,C372374036,8258012.73,8219423.5
26,CASH_IN,452285.06,C494904974,1064778.39,1517063.46,C1297685781,1.454400961E7,1.409172455E7
