step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
271,TRANSFER,2271674.66,C1103494239,2271674.66,0.0,C416462822,0.0,0.0
271,CASH_OUT,2271674.66,C616491033,2271674.66,0.0,C324653076,69174.67,2340849.33
271,TRANSFER,642364.74,C1813153162,642364.74,0.0,C1755920310,0.0,0.0
271,CASH_OUT,642364.74,C790384924,642364.74,0.0,C348795905,0.0,642364.74
271,TRANSFER,64319.46,C444350674,64319.46,0.0,C915237822,0.0,0.0
271,CASH_OUT,64319.46,C1525181002,64319.46,0.0,C2001058304,2534371.99,2598691.45
271,TRANSFER,279776.54,C573479496,279776.54,0.0,C809970708,0.0,0.0
271,CASH_OUT,279776.54,C1870117792,279776.54,0.0,C225616697,0.0,279776.54
271,TRANSFER,5926745.36,C393546828,5926745.36,0.0,C516790131,0.0,0.0
271,CASH_OUT,5926745.36,C240557778,5926745.36,0.0,C340123117,2380392.38,8307137.74
271,TRANSFER,1621056.88,C1492957578,1621056.88,0.0,C296774789,0.0,0.0
271,CASH_OUT,1621056.88,C168076174,1621056.88,0.0,C735369165,511091.84,2132148.72
