step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
375,CASH_OUT,267959.79,C2041941819,209.0,0.0,C366661046,193707.08,461666.87
375,PAYMENT,11618.79,C615081763,312251.0,300632.21,M65269290,0.0,0.0
375,CASH_OUT,59660.6,C1394495906,21035.0,0.0,C1086996172,59347.89,119008.49
375,PAYMENT,9118.41,C101171373,11545.0,2426.59,M1777876785,0.0,0.0
375,CASH_OUT,369364.59,C1970671258,2426.59,0.0,C513613035,627537.44,996902.03
375,CASH_OUT,174332.38,C1413792471,0.0,0.0,C1088766588,1351496.77,1525829.15
375,CASH_OUT,306151.18,C1828610650,0.0,0.0,C1491942414,312484.14,618635.32
375,CASH_OUT,17313.23,C1154992451,0.0,0.0,C445627819,142895.81,160209.03
375,CASH_OUT,75624.63,C26217885,0.0,0.0,C134425725,449792.97,686286.55
375,CASH_OUT,176384.02,C1940927746,0.0,0.0,C152942910,1631334.3,1807718.32
375,CASH_OUT,141739.03,C1816360348,0.0,0.0,C828481086,156140.99,297880.02
375,CASH_OUT,112538.6,C379856006,0.0,0.0,C1339561198,332328.69,444867.29
375,CASH_OUT,195798.76,C391720746,0.0,0.0,C1313685064,3324792.46,3520591.22
375,CASH_OUT,268425.47,C1697841382,0.0,0.0,C1578529522,506953.76,775379.23
375,CASH_OUT,97941.97,C304834121,0.0,0.0,C588052169,249391.61,347333.58
375,CASH_OUT,162833.85,C622653598,0.0,0.0,C419774889,1214859.83,1377693.68
375,CASH_OUT,292399.83,C2070068072,0.0,0.0,C292032951,1857900.98,2150300.82
375,CASH_OUT,395954.77,C103522514,0.0,0.0,C1972047231,1202253.37,1598208.14
375,CASH_OUT,68855.3,C1333495664,0.0,0.0,C181766004,454479.42,523334.72
375,CASH_OUT,139394.0,C228656641,0.0,0.0,C576544474,6602297.79,6741691.78
375,CASH_OUT,117741.48,C1677088038,0.0,0.0,C860864799,279382.11,397123.59
375,CASH_OUT,19569.0,C939541690,0.0,0.0,C489799947,406048.58,425617.58
375,CASH_OUT,135114.77,C726865101,0.0,0.0,C2111949172,340758.1,475872.87
375,CASH_OUT,108114.75,C776445608,38134.0,0.0,C1569957566,2430863.53,2538978.28
375,CASH_IN,550871.72,C2143920419,302928.0,853799.72,C1655312381,809034.04,258162.32
375,CASH_OUT,67373.55,C1163268084,853799.72,786426.16,C2002670560,716784.62,784158.17
375,TRANSFER,467871.16,C1989185263,11289.0,0.0,C351046002,3367460.6,3898090.23
375,PAYMENT,25247.09,C1680927819,0.0,0.0,M1447205207,0.0,0.0
375,PAYMENT,26322.77,C597558724,0.0,0.0,M1368068270,0.0,0.0
375,PAYMENT,4476.08,C842722400,0.0,0.0,M1886405457,0.0,0.0
375,PAYMENT,18616.73,C588499134,0.0,0.0,M714383890,0.0,0.0
375,PAYMENT,16964.08,C1328022220,0.0,0.0,M1026599603,0.0,0.0
375,PAYMENT,9269.02,C14402451,0.0,0.0,M256927144,0.0,0.0
375,PAYMENT,6520.28,C6367468,0.0,0.0,M951873377,0.0,0.0
375,PAYMENT,13802.89,C1713763518,0.0,0.0,M1783931127,0.0,0.0
375,PAYMENT,10672.5,C1677443865,0.0,0.0,M954695520,0.0,0.0
375,PAYMENT,16608.28,C1898904774,0.0,0.0,M1051900172,0.0,0.0
375,PAYMENT,21115.33,C57427656,0.0,0.0,M7550394,0.0,0.0
375,PAYMENT,18421.72,C113058238,0.0,0.0,M770478780,0.0,0.0
375,PAYMENT,58373.6,C1280826319,0.0,0.0,M1435560218,0.0,0.0
