step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
580,PAYMENT,485.79,C1834049694,26776.0,26290.21,M79427261,0.0,0.0
580,PAYMENT,1654.08,C1847825928,31416.0,29761.92,M1158100310,0.0,0.0
580,PAYMENT,2345.98,C599062776,12149.0,9803.02,M2028076077,0.0,0.0
580,PAYMENT,758.12,C176203503,9803.02,9044.9,M1985056620,0.0,0.0
580,PAYMENT,2336.31,C1915144806,88951.0,86614.69,M97603739,0.0,0.0
580,PAYMENT,1367.18,C174663952,11261.0,9893.82,M1891237342,0.0,0.0
580,PAYMENT,519.72,C881359957,4519.0,3999.28,M1003661271,0.0,0.0
580,PAYMENT,3154.98,C2016421908,198685.0,195530.02,M1205366209,0.0,0.0
580,PAYMENT,15.04,C818273211,56704.0,56688.96,M512175723,0.0,0.0
580,CASH_OUT,124544.17,C1737409831,56688.96,0.0,C1770871895,145960.08,270504.25
580,CASH_OUT,131950.82,C1673267826,0.0,0.0,C1607900151,2104022.38,2235973.2
580,CASH_OUT,177009.57,C2109349309,0.0,0.0,C974838002,380217.31,557226.88
580,CASH_OUT,105601.73,C1525256215,0.0,0.0,C805444184,299470.15,405071.88
580,CASH_OUT,29551.26,C1272959376,0.0,0.0,C1526442741,33912.42,63463.68
580,CASH_OUT,208198.85,C1219734787,0.0,0.0,C1248497805,416507.64,624706.49
580,CASH_OUT,222120.92,C1699288669,0.0,0.0,C2110597892,1147315.33,1369436.25
580,CASH_OUT,229545.78,C1941330891,0.0,0.0,C1899397566,9364308.34,9593854.12
580,CASH_OUT,56778.22,C1179666300,0.0,0.0,C613042034,79311.86,136090.08
580,CASH_OUT,348930.37,C333324544,0.0,0.0,C1374112405,537469.99,886400.37
580,CASH_OUT,349498.44,C1040721624,0.0,0.0,C1159200035,1825254.13,2174752.57
580,PAYMENT,647.57,C2132888273,40033.0,39385.43,M999197166,0.0,0.0
580,PAYMENT,3447.65,C1505388990,167486.0,164038.35,M654031543,0.0,0.0
580,PAYMENT,21825.03,C1408830331,164038.35,142213.32,M485964051,0.0,0.0
580,TRANSFER,112902.04,C378160298,20895.0,0.0,C101700603,0.0,112902.04
580,TRANSFER,639169.67,C1834969806,0.0,0.0,C1841124262,1.175475647E7,1.239392613E7
580,TRANSFER,762104.57,C1986397901,0.0,0.0,C1309951968,2240606.86,3002711.44
580,TRANSFER,194074.44,C1400673971,0.0,0.0,C379346407,4191764.73,4385839.18
580,TRANSFER,119114.37,C395781986,0.0,0.0,C396895362,3877877.31,3996991.68
580,TRANSFER,1065983.94,C25704004,0.0,0.0,C729416303,4171396.85,5237380.79
580,TRANSFER,221657.35,C1201539286,0.0,0.0,C700032350,866200.77,1087858.12
580,TRANSFER,762072.56,C1893779352,0.0,0.0,C895093913,950880.39,1712952.95
580,TRANSFER,546756.55,C1591886545,0.0,0.0,C746121472,619649.63,1166406.18
580,TRANSFER,270546.3,C513303903,0.0,0.0,C2117283209,9695976.96,9966523.26
580,TRANSFER,145621.83,C704055010,0.0,0.0,C697373660,4570519.79,4716141.63
580,PAYMENT,625.42,C774312845,11429.0,10803.58,M915083696,0.0,0.0
580,CASH_OUT,351939.05,C61703597,10803.58,0.0,C998532327,1121560.8,1473499.85
580,TRANSFER,835770.84,C561189362,835770.84,0.0,C1608195896,0.0,0.0
580,CASH_OUT,835770.84,C928957738,835770.84,0.0,C1615749242,1490979.17,2326750.01
580,PAYMENT,351.95,C1496732896,46367.0,46015.05,M911815302,0.0,0.0
580,TRANSFER,105861.07,C261904702,105861.07,0.0,C152930989,0.0,0.0
580,CASH_OUT,105861.07,C1311418994,105861.07,0.0,C294852221,39230.5,145091.57
580,PAYMENT,313.64,C626025987,346.0,32.36,M1524809005,0.0,0.0
580,TRANSFER,282500.69,C937056998,282500.69,0.0,C48363551,0.0,0.0
580,CASH_OUT,282500.69,C750260053,282500.69,0.0,C1495197432,27806.82,310307.51
580,PAYMENT,854.84,C184419519,123523.0,122668.16,M1161480984,0.0,0.0
580,TRANSFER,2925111.67,C542286899,2925111.67,0.0,C1537390237,0.0,0.0
580,CASH_OUT,2925111.67,C1291634123,2925111.67,0.0,C229406556,0.0,2925111.67
580,PAYMENT,2483.49,C912124695,12431.0,9947.51,M632063183,0.0,0.0
580,CASH_OUT,25469.88,C275439477,9947.51,0.0,C1467015336,1082754.38,1108224.26
580,PAYMENT,1334.84,C974295598,48412.0,47077.16,M1674498856,0.0,0.0
580,TRANSFER,628697.26,C579184994,628697.26,0.0,C855476478,0.0,0.0
580,CASH_OUT,628697.26,C1683118896,628697.26,0.0,C1072985725,0.0,628697.26
580,PAYMENT,1889.03,C1258235510,19.0,0.0,M1606286226,0.0,0.0
580,PAYMENT,544.44,C1358731198,307111.0,306566.56,M637652298,0.0,0.0
580,PAYMENT,491.88,C369005418,50549.0,50057.12,M632265516,0.0,0.0
580,PAYMENT,2071.7,C291158336,7021.0,4949.3,M957963708,0.0,0.0
580,PAYMENT,1442.7,C1486744630,91899.0,90456.3,M28470002,0.0,0.0
580,PAYMENT,7305.77,C1164329789,90456.3,83150.53,M920715920,0.0,0.0
