step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
392,TRANSFER,2887744.35,C384434585,2887744.35,0.0,C1114261385,0.0,0.0
392,CASH_OUT,2887744.35,C1770745234,2887744.35,0.0,C805918938,0.0,2887744.35
392,TRANSFER,251832.96,C1019966301,251832.96,0.0,C483110811,0.0,0.0
392,CASH_OUT,251832.96,C370765252,251832.96,0.0,C303305963,392591.73,644424.68
392,TRANSFER,542393.87,C1019069883,542393.87,0.0,C899985464,0.0,0.0
392,CASH_OUT,542393.87,C542918191,542393.87,0.0,C308665195,0.0,542393.87
392,TRANSFER,92001.22,C1206556898,92001.22,0.0,C856589139,0.0,0.0
392,CASH_OUT,92001.22,C448834198,92001.22,0.0,C332333924,329180.16,421181.38
392,TRANSFER,193706.98,C1216488552,193706.98,0.0,C2142754962,0.0,0.0
392,CASH_OUT,193706.98,C179138153,193706.98,0.0,C183491570,1.804757121E7,1.964202117E7
