step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
210,CASH_OUT,27459.69,C1498165407,305231.0,277771.31,C1790065167,237551.15,265010.84
210,PAYMENT,2972.31,C645009766,11060.0,8087.69,M1520223010,0.0,0.0
210,PAYMENT,2117.36,C2117214113,99635.0,97517.64,M1187123248,0.0,0.0
210,PAYMENT,7244.41,C1879949487,97517.64,90273.24,M1286903903,0.0,0.0
210,PAYMENT,4385.81,C580209023,373.0,0.0,M1954582157,0.0,0.0
210,PAYMENT,4128.27,C1788223498,563261.0,559132.73,M34089831,0.0,0.0
210,PAYMENT,12347.0,C182338792,559132.73,546785.73,M2061129688,0.0,0.0
210,PAYMENT,169.84,C555200249,546785.73,546615.88,M1644690095,0.0,0.0
210,PAYMENT,19414.52,C436607747,19844.0,429.48,M843770636,0.0,0.0
210,CASH_OUT,57204.78,C775351258,85164.0,27959.22,C1355511233,0.0,57204.78
210,PAYMENT,5765.54,C1933164081,34716.0,28950.46,M1506639190,0.0,0.0
210,CASH_IN,88239.06,C1018888168,28950.46,117189.52,C875291725,1.106016841E7,1.097192935E7
210,CASH_IN,34920.24,C625720222,117189.52,152109.76,C873334835,748430.18,713509.94
210,CASH_IN,94080.84,C465387824,152109.76,246190.61,C1822459038,285400.8,191319.95
210,CASH_IN,139431.27,C690530524,246190.61,385621.88,C1164363972,839997.82,700566.55
210,CASH_IN,158274.99,C1107707822,385621.88,543896.87,C1800317157,356537.31,198262.31
210,CASH_IN,71302.08,C988382011,543896.87,615198.95,C471857628,1176630.38,1105328.3
210,CASH_IN,231071.66,C1269621143,24621.0,255692.66,C911093380,0.0,0.0
210,PAYMENT,4866.28,C657378934,916.0,0.0,M1474680330,0.0,0.0
210,CASH_OUT,94413.61,C568555414,49138.0,0.0,C1736233915,0.0,12917.48
210,CASH_OUT,77248.75,C225417828,115277.0,38028.25,C239353362,4253338.69,4330587.45
210,CASH_IN,153889.31,C1558423745,70006.0,223895.31,C1606236026,985857.79,831968.48
210,PAYMENT,5359.14,C634351825,223895.31,218536.17,M522906681,0.0,0.0
210,CASH_IN,271666.1,C1852307714,3535.0,275201.1,C654406520,0.0,0.0
210,PAYMENT,4217.46,C797176239,108.0,0.0,M1905542518,0.0,0.0
210,PAYMENT,5236.5,C957817945,0.0,0.0,M1760130448,0.0,0.0
210,CASH_IN,36250.82,C1490546603,19578.0,55828.82,C264249389,0.0,0.0
210,CASH_OUT,296829.76,C196853298,181915.0,0.0,C434716442,147631.37,444461.13
210,PAYMENT,5659.79,C193881840,0.0,0.0,M677959652,0.0,0.0
210,PAYMENT,6942.26,C1336270837,0.0,0.0,M423207453,0.0,0.0
210,CASH_OUT,73904.23,C1643707948,13041.0,0.0,C864277277,1844712.11,1918616.34
210,PAYMENT,2338.55,C264360448,50143.0,47804.45,M1853550202,0.0,0.0
210,CASH_OUT,194942.68,C981958882,925.0,0.0,C658067013,263322.21,458264.89
210,CASH_OUT,62231.27,C472383488,10122.0,0.0,C1050301520,0.0,62231.27
210,PAYMENT,624.37,C502825047,0.0,0.0,M608740524,0.0,0.0
210,CASH_OUT,242349.36,C575582295,14198.0,0.0,C795853330,36029.08,278378.44
210,PAYMENT,2984.23,C2117766174,0.0,0.0,M664359350,0.0,0.0
210,PAYMENT,11971.91,C1184230445,12754.0,782.09,M294531232,0.0,0.0
210,PAYMENT,1612.06,C1006507251,782.09,0.0,M1451747035,0.0,0.0
210,PAYMENT,9866.05,C1058708642,0.0,0.0,M1601282257,0.0,0.0
210,CASH_IN,161351.03,C350453312,1852.0,163203.03,C496551609,502244.86,340893.83
210,CASH_OUT,36548.56,C2101076793,9914.0,0.0,C1171364196,166348.36,202896.91
210,CASH_IN,95815.35,C372215728,11263.0,107078.35,C1812343433,2817051.67,2721236.32
210,PAYMENT,13122.26,C1149948556,34086.0,20963.74,M1259644195,0.0,0.0
210,TRANSFER,390734.84,C1762960723,30010.0,0.0,C1960969295,0.0,390734.84
210,PAYMENT,7154.82,C53278158,366.0,0.0,M295721365,0.0,0.0
210,PAYMENT,3318.86,C2138295103,0.0,0.0,M864143295,0.0,0.0
210,PAYMENT,16610.35,C1466422916,0.0,0.0,M1150832908,0.0,0.0
210,PAYMENT,4133.62,C626213011,1552.0,0.0,M408082361,0.0,0.0
210,CASH_OUT,246557.0,C1902703041,30266.0,0.0,C1322323278,0.0,246557.0
210,PAYMENT,1295.29,C2013187793,0.0,0.0,M1217810277,0.0,0.0
210,CASH_OUT,307225.34,C1190639313,16006.0,0.0,C480870403,0.0,307225.34
210,PAYMENT,11951.59,C1890038071,0.0,0.0,M1907257780,0.0,0.0
