step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
663,TRANSFER,115782.68,C921534959,115782.68,0.0,C509574480,0.0,0.0
663,CASH_OUT,115782.68,C1315392572,115782.68,0.0,C149911894,45843.46,161626.14
663,TRANSFER,473387.81,C2062128137,473387.81,0.0,C53265363,0.0,0.0
663,CASH_OUT,473387.81,C1845867430,473387.81,0.0,C766242305,100129.18,573516.99
663,TRANSFER,25472.32,C884847984,25472.32,0.0,C1136166094,0.0,0.0
663,CASH_OUT,25472.32,C1078921591,25472.32,0.0,C1071005628,0.0,25472.32
663,TRANSFER,803441.31,C1991283883,803441.31,0.0,C8323511,0.0,0.0
663,CASH_OUT,803441.31,C904630616,803441.31,0.0,C1135595077,1006726.81,1810168.11
663,TRANSFER,202952.03,C738020926,202952.03,0.0,C1822733472,0.0,0.0
663,CASH_OUT,202952.03,C1256769742,202952.03,0.0,C1042309658,2738806.2,2941758.22
