step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
606,TRANSFER,3973479.44,C1343326051,3973479.44,0.0,C1550636645,0.0,0.0
606,CASH_OUT,3973479.44,C2016119090,3973479.44,0.0,C784710502,2036641.34,6010120.78
606,TRANSFER,2582642.18,C1330451334,2582642.18,0.0,C1763711623,0.0,0.0
606,CASH_OUT,2582642.18,C989697555,2582642.18,0.0,C294901618,0.0,2582642.18
606,TRANSFER,455788.55,C1720399024,455788.55,0.0,C48932770,0.0,0.0
606,CASH_OUT,455788.55,C1120752458,455788.55,0.0,C2045354629,0.0,455788.55
606,TRANSFER,57588.67,C1367270224,57588.67,0.0,C1706801590,0.0,0.0
606,CASH_OUT,57588.67,C213845553,57588.67,0.0,C1601116919,1478438.05,1536026.72
606,TRANSFER,1026684.46,C1061552474,1026684.46,0.0,C617492387,0.0,0.0
606,CASH_OUT,1026684.46,C1486861052,1026684.46,0.0,C638473168,59926.13,1086610.59
606,TRANSFER,6575903.12,C2128461532,6575903.12,0.0,C792804461,0.0,0.0
606,CASH_OUT,6575903.12,C178762168,6575903.12,0.0,C1955341893,332252.21,6908155.33
606,TRANSFER,228803.98,C98844007,228803.98,0.0,C1849389849,0.0,0.0
606,CASH_OUT,228803.98,C541685621,228803.98,0.0,C1645689234,0.0,228803.98
