step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
471,PAYMENT,2094.01,C1545388074,52708.0,50613.99,M2135193016,0.0,0.0
471,DEBIT,734.61,C1179828998,84012.0,83277.39,C164664156,770269.5,771004.11
471,PAYMENT,6969.44,C1309565540,83277.39,76307.95,M1948907039,0.0,0.0
471,PAYMENT,17070.82,C681358487,6208.0,0.0,M2022054001,0.0,0.0
471,TRANSFER,9678.4,C1160140871,29875.0,20196.6,C816944340,1048289.98,1057968.38
471,PAYMENT,40609.63,C2114242546,405890.0,365280.37,M863104169,0.0,0.0
471,PAYMENT,30047.47,C2080124710,42230.0,12182.53,M208643198,0.0,0.0
471,CASH_IN,220351.91,C1418512726,69955.0,290306.91,C422485369,0.0,0.0
471,PAYMENT,14482.82,C1755603914,100609.0,86126.18,M1924916455,0.0,0.0
471,CASH_OUT,402980.26,C59175578,10934.0,0.0,C1033417797,60870.46,463850.72
471,CASH_OUT,107898.45,C837963205,3450.0,0.0,C1164213408,0.0,107898.45
471,CASH_OUT,370108.77,C2055459330,11357.0,0.0,C2109915791,679853.7,1049962.47
471,PAYMENT,211.19,C1471323497,31612.0,31400.81,M1670690599,0.0,0.0
471,CASH_OUT,270955.8,C1076581109,31296.0,0.0,C2054839803,0.0,270955.8
471,CASH_IN,281561.97,C610048816,81394.0,362955.97,C187573568,599972.64,318410.67
471,CASH_OUT,90309.11,C1732641543,362955.97,272646.86,C853789928,688553.91,778863.03
471,PAYMENT,21188.04,C556645703,16358.0,0.0,M990637933,0.0,0.0
471,CASH_IN,171650.41,C2077128231,14244.0,185894.41,C854183751,12331.0,0.0
471,CASH_IN,160059.55,C742857826,3145.0,163204.55,C1303267637,716010.99,555951.45
471,PAYMENT,18269.87,C1615612712,106808.0,88538.13,M72921291,0.0,0.0
471,CASH_OUT,198350.23,C204439849,11992.0,0.0,C1081606843,858801.81,1057152.03
471,CASH_IN,92607.91,C404695234,120914.0,213521.91,C288612674,214944.85,122336.94
471,PAYMENT,181.52,C436741602,12838.0,12656.48,M1528234112,0.0,0.0
471,CASH_OUT,98340.98,C725738498,30536.0,0.0,C125052489,0.0,98340.98
471,PAYMENT,1661.83,C1249476752,1074.0,0.0,M293968648,0.0,0.0
471,CASH_OUT,258761.15,C1920309944,19999.0,0.0,C1986673888,148853.56,407614.71
471,TRANSFER,1772205.53,C1445986560,0.0,0.0,C2040917530,2018937.46,3791142.98
471,TRANSFER,515411.1,C1355511382,0.0,0.0,C1150822427,1.107449965E7,1.158991075E7
471,TRANSFER,304981.44,C1831594652,0.0,0.0,C1176007517,309248.69,614230.13
471,TRANSFER,146493.56,C861216219,0.0,0.0,C433406313,621434.86,767928.42
471,TRANSFER,3106687.41,C1706767024,0.0,0.0,C623701049,3868167.05,6974854.47
471,TRANSFER,1446722.54,C1850311063,0.0,0.0,C742494043,6796826.07,8243548.62
471,TRANSFER,766603.26,C1543825864,0.0,0.0,C1527761090,5861797.47,6628400.73
471,TRANSFER,633156.14,C1201966166,0.0,0.0,C974781443,1839939.01,2473095.15
471,TRANSFER,61145.7,C2067138720,0.0,0.0,C343680299,4561197.76,4622343.47
471,TRANSFER,621919.9,C1506900840,0.0,0.0,C329259793,762765.57,1384685.47
471,TRANSFER,185657.61,C576750387,0.0,0.0,C461798874,401286.67,586944.28
471,TRANSFER,525526.6,C1095073045,0.0,0.0,C1475394824,1590516.41,2116043.01
471,TRANSFER,261262.61,C184360597,0.0,0.0,C1918561043,407294.17,668556.77
471,TRANSFER,12066.38,C1487220377,0.0,0.0,C1138404291,1.18141923E7,1.182625868E7
471,TRANSFER,38296.79,C2130331557,0.0,0.0,C1885454563,84384.13,122680.93
471,TRANSFER,250863.84,C347943098,0.0,0.0,C1250357873,2249573.93,2500437.77
471,TRANSFER,1480170.78,C1985387790,0.0,0.0,C119924383,4147235.75,5627406.53
471,TRANSFER,1777495.34,C133604539,0.0,0.0,C1176984696,5002434.62,6779929.97
471,TRANSFER,1375289.58,C731712655,0.0,0.0,C1736012243,1.468381907E7,1.605910865E7
471,TRANSFER,579056.53,C1457045926,0.0,0.0,C797282259,3324282.39,3903338.92
471,TRANSFER,742739.27,C346327198,0.0,0.0,C587951862,9543923.46,1.028666273E7
471,TRANSFER,173240.34,C650454477,0.0,0.0,C1681460319,344346.03,517586.37
471,TRANSFER,39963.69,C1702870254,0.0,0.0,C1203417322,324761.28,364724.97
471,CASH_OUT,363536.47,C1975157782,42391.0,0.0,C442885708,0.0,363536.47
471,CASH_OUT,312378.56,C1164575303,20477.0,0.0,C487989638,0.0,312378.56
471,PAYMENT,12092.51,C1242479722,0.0,0.0,M1385095433,0.0,0.0
471,CASH_OUT,568089.7,C1932871034,21310.0,0.0,C810165385,259332.51,827422.21
471,PAYMENT,8342.9,C1725434209,0.0,0.0,M1493832764,0.0,0.0
471,CASH_OUT,82131.37,C2091458749,199969.0,117837.63,C885246090,0.0,82131.37
471,CASH_IN,241742.68,C628012231,93106.0,334848.68,C583320674,138810.03,0.0
471,CASH_OUT,151822.33,C64692746,41528.0,0.0,C848052012,56379.4,208201.73
471,PAYMENT,15530.29,C184122809,103761.0,88230.71,M1071646867,0.0,0.0
471,CASH_OUT,248210.26,C1870154532,30296.0,0.0,C393190910,729115.06,977325.33
471,PAYMENT,17889.73,C896139187,0.0,0.0,M1950107666,0.0,0.0
471,TRANSFER,672211.83,C1269260950,121242.0,0.0,C1102828427,36367.3,708579.14
471,CASH_IN,406207.41,C1714106797,66977.0,473184.41,C97429477,3774848.85,3368641.44
471,CASH_OUT,45205.27,C474336956,80146.0,34940.73,C420882821,0.0,45205.27
471,PAYMENT,27261.61,C170883582,12192.0,0.0,M2053900799,0.0,0.0
471,PAYMENT,3068.66,C1173748038,0.0,0.0,M2004348778,0.0,0.0
471,CASH_IN,72153.97,C107387123,5055.0,77208.97,C1638617891,4916313.75,4844159.78
471,CASH_OUT,237465.25,C476006961,112.0,0.0,C1439204258,0.0,237465.25
471,CASH_OUT,233774.2,C1988804405,466.0,0.0,C1790510898,3083931.03,3317705.24
471,CASH_IN,105480.61,C1053692465,20847.0,126327.61,C32227089,241095.23,135614.61
471,PAYMENT,882.4,C207463451,126327.61,125445.22,M1790277987,0.0,0.0
471,CASH_OUT,71031.09,C1231360023,21704.0,0.0,C1533094828,225222.98,296254.08
471,CASH_IN,91887.27,C133483664,61749.0,153636.27,C1237079026,2116363.26,2024476.0
471,PAYMENT,21464.4,C1726532873,62081.0,40616.6,M660070102,0.0,0.0
471,CASH_OUT,73947.63,C1179879299,10835.0,0.0,C1748322259,831655.58,905603.21
471,CASH_IN,260693.91,C1734497173,21313.0,282006.91,C903319395,0.0,0.0
