step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
501,TRANSFER,705647.68,C2091895045,705647.68,0.0,C1852963634,0.0,0.0
501,CASH_OUT,705647.68,C197049364,705647.68,0.0,C523103800,0.0,705647.68
501,TRANSFER,1254775.16,C22591109,1254775.16,0.0,C1801693441,0.0,0.0
501,CASH_OUT,1254775.16,C250375030,1254775.16,0.0,C826954839,105384.01,1360159.18
501,TRANSFER,824841.09,C201944143,824841.09,0.0,C167433721,0.0,0.0
501,CASH_OUT,824841.09,C1923690438,824841.09,0.0,C143683095,629645.26,1454486.34
501,TRANSFER,1318024.48,C29170093,1318024.48,0.0,C914441096,0.0,0.0
501,CASH_OUT,1318024.48,C1034418491,1318024.48,0.0,C2100824966,544.32,1318568.8
501,TRANSFER,772379.36,C1812075808,772379.36,0.0,C656119442,0.0,0.0
501,CASH_OUT,772379.36,C533533320,772379.36,0.0,C1635587214,501817.89,1274197.25
501,TRANSFER,6183238.55,C1985220781,6183238.55,0.0,C1058239852,0.0,0.0
501,CASH_OUT,6183238.55,C1949843837,6183238.55,0.0,C392599315,1289583.48,7472822.03
501,TRANSFER,9301213.46,C149938639,9301213.46,0.0,C1918368485,0.0,0.0
501,CASH_OUT,9301213.46,C2143419144,9301213.46,0.0,C754497050,277228.74,9578442.2
501,TRANSFER,472808.24,C692473125,472808.24,0.0,C695203021,0.0,0.0
501,CASH_OUT,472808.24,C524534489,472808.24,0.0,C1625163928,0.0,472808.24
501,TRANSFER,185391.82,C1750444391,185391.82,0.0,C854032336,0.0,0.0
501,CASH_OUT,185391.82,C414975710,185391.82,0.0,C1058395716,0.0,185391.82
501,TRANSFER,1.0E7,C50880393,1.802019215E7,8020192.15,C590550775,0.0,0.0
501,CASH_OUT,1.0E7,C47972411,1.0E7,0.0,C2059078386,1.165658757E7,2.165658757E7
501,TRANSFER,8020192.15,C1191681942,8020192.15,0.0,C916997353,0.0,0.0
501,CASH_OUT,8020192.15,C1073081182,8020192.15,0.0,C797209152,2435.09,8022627.23
501,TRANSFER,73328.47,C2118127422,73328.47,0.0,C1915328569,0.0,0.0
501,CASH_OUT,73328.47,C486475029,73328.47,0.0,C710448547,121670.8,194999.27
501,TRANSFER,161024.8,C1736430131,161024.8,0.0,C735378190,0.0,0.0
501,CASH_OUT,161024.8,C2000710297,161024.8,0.0,C1602054456,570881.26,731906.06
501,TRANSFER,534470.98,C151499440,534470.98,0.0,C870411715,0.0,0.0
501,CASH_OUT,534470.98,C1832180008,534470.98,0.0,C1558734299,741.07,535212.06
