step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
101,TRANSFER,2388251.16,C808767907,2388251.16,0.0,C1722945980,0.0,0.0
101,CASH_OUT,2388251.16,C731376303,2388251.16,0.0,C1868096235,2624386.6,5012637.76
101,TRANSFER,2222544.0,C1529282032,2222544.0,0.0,C72798591,0.0,0.0
101,CASH_OUT,2222544.0,C1196507516,2222544.0,0.0,C1496380415,134545.99,2357089.98
101,TRANSFER,253793.28,C1375615484,253793.28,0.0,C1983479612,0.0,0.0
101,CASH_OUT,253793.28,C1168663550,253793.28,0.0,C740111360,525977.66,779770.94
101,TRANSFER,127905.82,C697159622,127905.82,0.0,C2008752241,0.0,0.0
101,CASH_OUT,127905.82,C1679438122,127905.82,0.0,C548284315,0.0,127905.82
101,TRANSFER,891944.51,C1150010764,891944.51,0.0,C21652868,0.0,0.0
101,CASH_OUT,891944.51,C1119545712,891944.51,0.0,C1334770230,0.0,891944.51
101,TRANSFER,146681.74,C1791664104,146681.74,0.0,C84868382,0.0,0.0
101,CASH_OUT,146681.74,C356110177,146681.74,0.0,C1772296269,63872.75,210554.49
