step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
362,PAYMENT,6885.02,C569116184,179913.0,173027.98,M568207854,0.0,0.0
362,PAYMENT,522.59,C586703184,173027.98,172505.39,M14450826,0.0,0.0
362,PAYMENT,13322.13,C1094814287,172505.39,159183.26,M293624528,0.0,0.0
362,PAYMENT,870.28,C1880316753,6008.0,5137.72,M347032841,0.0,0.0
362,PAYMENT,2379.35,C1500626465,9436.0,7056.65,M1253325061,0.0,0.0
362,PAYMENT,2014.46,C538393297,24415.0,22400.54,M1312746719,0.0,0.0
362,PAYMENT,2249.97,C443208591,5596.0,3346.03,M1904061910,0.0,0.0
362,PAYMENT,2981.4,C1755693210,1111.0,0.0,M1363448133,0.0,0.0
362,PAYMENT,330.1,C494847561,0.0,0.0,M24238893,0.0,0.0
362,PAYMENT,9168.33,C1192655497,0.0,0.0,M850199959,0.0,0.0
362,DEBIT,4538.71,C1502265605,205.0,0.0,C644693639,2290906.63,2295445.34
362,DEBIT,5796.87,C1445843370,58820.0,53023.13,C1449466458,23273.25,29070.12
362,PAYMENT,19178.33,C572206036,53023.13,33844.8,M2025849789,0.0,0.0
362,PAYMENT,2005.67,C2001565513,53546.0,51540.33,M1339377803,0.0,0.0
362,PAYMENT,573.23,C887856942,21383.0,20809.77,M1288617957,0.0,0.0
362,CASH_OUT,333249.11,C1353022986,20809.77,0.0,C1111860250,2806967.42,3140216.53
362,PAYMENT,1903.45,C894559621,104243.0,102339.55,M1571491566,0.0,0.0
362,PAYMENT,3028.73,C1688445737,102339.55,99310.82,M521000089,0.0,0.0
362,PAYMENT,3807.24,C625637168,351.0,0.0,M546554121,0.0,0.0
362,CASH_IN,1254.52,C1498449113,18678.0,19932.52,C600627485,154106.55,152852.03
362,PAYMENT,1124.6,C671623798,302172.0,301047.4,M1577921456,0.0,0.0
362,PAYMENT,2866.91,C1621631729,2249.0,0.0,M1031996529,0.0,0.0
362,TRANSFER,1721239.64,C1420939821,0.0,0.0,C1339632618,2091590.96,3812830.6
362,TRANSFER,3109363.9,C1666593696,0.0,0.0,C185001484,5185990.61,8295354.51
362,TRANSFER,2821973.13,C1112025745,0.0,0.0,C757734131,8772284.0,1.159425712E7
