step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
12,TRANSFER,1527342.43,C449022562,14758.0,0.0,C605992258,462948.52,1990290.95
12,CASH_IN,159406.88,C179535215,121118.0,280524.88,C2004013670,0.0,0.0
12,CASH_OUT,494965.75,C1028062943,30789.0,0.0,C1798406363,917009.78,1411975.53
12,CASH_IN,18676.99,C153513863,28601.0,47277.99,C731721834,0.0,0.0
12,TRANSFER,365613.48,C263218267,39671.0,0.0,C704021390,10184.0,237400.28
12,PAYMENT,8145.43,C519649479,0.0,0.0,M348360129,0.0,0.0
12,TRANSFER,1018309.21,C782471817,40086.0,0.0,C1108219853,82419.0,1100728.21
12,PAYMENT,19479.87,C582855098,11387.0,0.0,M1968542250,0.0,0.0
12,PAYMENT,47540.29,C2104534212,38295.0,0.0,M1341474361,0.0,0.0
12,PAYMENT,19666.64,C13293060,0.0,0.0,M1498927349,0.0,0.0
12,CASH_OUT,43344.44,C569969055,256360.0,213015.56,C1923314246,0.0,43344.44
12,CASH_OUT,549617.61,C1146640151,20.0,0.0,C1931169875,871326.23,1420943.84
12,CASH_OUT,7420.95,C309642094,51656.0,44235.05,C1417572989,288.0,0.0
12,PAYMENT,348.27,C1967356333,44235.05,43886.77,M480195435,0.0,0.0
12,PAYMENT,18218.6,C444153600,43886.77,25668.17,M774037650,0.0,0.0
12,PAYMENT,9825.97,C1086487274,25668.17,15842.2,M623058418,0.0,0.0
12,PAYMENT,1040.45,C1987164009,15842.2,14801.75,M1332670277,0.0,0.0
12,PAYMENT,17947.1,C472439144,14801.75,0.0,M559520658,0.0,0.0
12,PAYMENT,11031.49,C1516812847,0.0,0.0,M1648648928,0.0,0.0
12,PAYMENT,357.06,C956109913,0.0,0.0,M1427480031,0.0,0.0
12,PAYMENT,10003.6,C1253305488,0.0,0.0,M195155012,0.0,0.0
12,PAYMENT,11541.36,C1529763509,0.0,0.0,M573363050,0.0,0.0
12,PAYMENT,5326.46,C1999531219,0.0,0.0,M1915258246,0.0,0.0
12,PAYMENT,19166.68,C1528495752,0.0,0.0,M535412994,0.0,0.0
12,PAYMENT,24457.84,C455442136,0.0,0.0,M764927119,0.0,0.0
12,PAYMENT,7386.89,C569739531,0.0,0.0,M1883614694,0.0,0.0
12,PAYMENT,3306.35,C1076289160,0.0,0.0,M1405485479,0.0,0.0
12,PAYMENT,1988.66,C1584822021,0.0,0.0,M58842032,0.0,0.0
12,PAYMENT,34948.18,C1965397974,0.0,0.0,M369978348,0.0,0.0
12,PAYMENT,17915.64,C2075060343,0.0,0.0,M1996484841,0.0,0.0
