step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
230,CASH_IN,216441.05,C204001687,65902.0,282343.05,C399869412,43399.87,0.0
230,CASH_OUT,78333.45,C92838085,21439.0,0.0,C1700748055,1595892.09,1674225.54
230,PAYMENT,11196.09,C1016319024,31902.0,20705.91,M1430573575,0.0,0.0
230,PAYMENT,4726.1,C531240273,130583.0,125856.9,M1579542737,0.0,0.0
230,CASH_OUT,101743.51,C2088062313,2632.0,0.0,C774511971,2259539.85,2361283.36
230,CASH_OUT,68255.39,C265452554,303.0,0.0,C2127679420,0.0,68255.39
230,PAYMENT,3086.53,C1084088380,15493.0,12406.47,M823126942,0.0,0.0
230,CASH_IN,114439.47,C1741154003,131901.0,246340.47,C5279518,0.0,0.0
230,PAYMENT,4906.92,C2070541325,785.0,0.0,M1415214940,0.0,0.0
230,TRANSFER,571214.26,C449262930,168.0,0.0,C2104804343,0.0,571214.26
230,TRANSFER,752606.35,C1114548647,0.0,0.0,C1124754747,2641379.34,4129175.43
230,PAYMENT,10951.22,C1981015163,49630.0,38678.78,M1903467890,0.0,0.0
230,PAYMENT,12687.67,C1387940779,38678.78,25991.11,M1697575882,0.0,0.0
230,PAYMENT,36549.48,C217572136,25991.11,0.0,M1497198793,0.0,0.0
230,PAYMENT,5106.76,C1499107158,0.0,0.0,M1266190100,0.0,0.0
230,PAYMENT,39651.13,C2015740912,0.0,0.0,M1244421893,0.0,0.0
230,PAYMENT,3747.92,C1191266601,0.0,0.0,M1221469946,0.0,0.0
230,PAYMENT,1746.94,C505562704,0.0,0.0,M920577766,0.0,0.0
230,PAYMENT,10827.52,C2077993237,0.0,0.0,M1117497698,0.0,0.0
230,PAYMENT,9865.41,C1317496743,0.0,0.0,M263143751,0.0,0.0
230,PAYMENT,4402.43,C698012326,0.0,0.0,M911584846,0.0,0.0
230,PAYMENT,3689.33,C1125801340,0.0,0.0,M919243041,0.0,0.0
230,PAYMENT,16403.18,C1236951740,0.0,0.0,M1384550939,0.0,0.0
230,PAYMENT,33860.01,C1139201162,0.0,0.0,M554159702,0.0,0.0
230,PAYMENT,12278.43,C993195848,0.0,0.0,M1564650623,0.0,0.0
230,PAYMENT,10083.89,C687170009,0.0,0.0,M924811247,0.0,0.0
230,PAYMENT,13221.01,C456869619,0.0,0.0,M1397891263,0.0,0.0
230,PAYMENT,18292.82,C1353345189,0.0,0.0,M478582104,0.0,0.0
230,PAYMENT,1443.97,C1573602533,0.0,0.0,M534691899,0.0,0.0
230,PAYMENT,19356.07,C481455141,0.0,0.0,M884344510,0.0,0.0
230,PAYMENT,15590.75,C861769889,0.0,0.0,M1516978665,0.0,0.0
230,PAYMENT,11963.94,C1438113221,0.0,0.0,M1362141755,0.0,0.0
230,PAYMENT,3367.35,C246933540,0.0,0.0,M248742930,0.0,0.0
230,PAYMENT,3698.05,C1700866552,0.0,0.0,M831811093,0.0,0.0
230,PAYMENT,1177.71,C13850315,0.0,0.0,M313696727,0.0,0.0
230,PAYMENT,2768.35,C2121294992,0.0,0.0,M1812355469,0.0,0.0
230,PAYMENT,8807.06,C1987657672,11552.0,2744.94,M1900188873,0.0,0.0
230,CASH_IN,245789.31,C208353941,72832.0,318621.31,C1805957034,257065.79,11276.48
230,PAYMENT,9758.8,C1392496804,109.0,0.0,M1841771084,0.0,0.0
230,PAYMENT,5112.88,C147195873,144320.0,139207.12,M1571568638,0.0,0.0
230,CASH_OUT,434267.5,C1912257055,39616.0,0.0,C570103418,100705.95,534973.45
230,CASH_OUT,118929.23,C637252414,86490.0,0.0,C97992669,208399.03,327328.26
230,CASH_OUT,56623.2,C498745711,50781.0,0.0,C338206249,623119.48,679742.68
230,CASH_OUT,49700.35,C569764589,0.0,0.0,C1456595739,787568.37,837268.72
230,CASH_OUT,356913.87,C91985550,0.0,0.0,C530747662,552862.91,909776.79
230,CASH_IN,116971.24,C2111944540,5037.0,122008.24,C384247135,0.0,0.0
230,CASH_OUT,116112.57,C840900790,427.0,0.0,C2006466382,210331.25,326443.82
230,PAYMENT,14247.23,C1018369690,6244.0,0.0,M1705322596,0.0,0.0
230,PAYMENT,29422.61,C353249499,0.0,0.0,M1583329372,0.0,0.0
230,CASH_OUT,434739.78,C2054974155,478827.0,44087.22,C586006206,103836.58,538576.36
230,PAYMENT,14429.66,C920034280,697797.0,683367.34,M1383740697,0.0,0.0
230,CASH_OUT,284749.12,C1904521818,11407.0,0.0,C1405103833,0.0,284749.12
230,CASH_IN,159078.31,C1756865683,151469.0,310547.31,C317207247,0.0,0.0
230,CASH_OUT,296511.37,C1790737334,185368.0,0.0,C301644596,212137.7,508649.08
230,CASH_OUT,25919.76,C1777162501,0.0,0.0,C727161619,416078.79,441998.55
230,CASH_OUT,233900.62,C1034891264,0.0,0.0,C1434344015,4942381.09,5176281.7
230,CASH_OUT,185757.73,C1760135194,244.0,0.0,C546367454,0.0,185757.73
230,PAYMENT,9109.52,C1627467642,5512.0,0.0,M1655138094,0.0,0.0
230,PAYMENT,5328.98,C642544714,0.0,0.0,M46240193,0.0,0.0
230,CASH_OUT,424795.36,C1783825436,21320.0,0.0,C1385893779,0.0,424795.36
230,PAYMENT,13176.76,C865370223,7516.0,0.0,M1992248435,0.0,0.0
230,CASH_IN,185503.1,C2021557500,227905.0,413408.1,C1026139846,932594.25,747091.15
230,CASH_OUT,297367.52,C184491019,202288.0,0.0,C1777971086,168629.13,465996.64
230,CASH_IN,7104.86,C503276227,2527.0,9631.86,C2063990727,20215.64,13110.77
230,CASH_OUT,232174.71,C288319963,5500.0,0.0,C1246630444,70369.56,302544.27
230,CASH_IN,123239.15,C502945382,22719.0,145958.15,C358417733,0.0,0.0
230,TRANSFER,20938.82,C1872174742,997.0,0.0,C300623375,0.0,20938.82
230,PAYMENT,5731.15,C160993501,10247.0,4515.85,M1670594948,0.0,0.0
230,CASH_OUT,321750.53,C747987702,11281.0,0.0,C322597622,756565.96,1078316.49
230,PAYMENT,399.02,C2074192476,20358.0,19958.98,M913490829,0.0,0.0
230,CASH_OUT,270323.99,C1326721958,19958.98,0.0,C1139412364,548272.07,818596.06
230,CASH_OUT,505980.23,C1209102944,21255.0,0.0,C874225536,48392.07,554372.3
230,CASH_OUT,8256.61,C1049940596,52759.0,44502.39,C42258787,167617.68,175874.29
230,CASH_OUT,25630.01,C517603456,407032.0,381401.99,C238156567,98499.8,124129.81
230,PAYMENT,19711.24,C1887257062,381401.99,361690.75,M868007931,0.0,0.0
230,PAYMENT,17995.72,C732155018,11534.0,0.0,M1697847166,0.0,0.0
230,TRANSFER,99450.88,C2145065039,0.0,0.0,C1961906192,353482.74,452933.62
230,TRANSFER,933727.69,C692986664,0.0,0.0,C575495639,5169932.97,6103660.66
230,TRANSFER,1071603.73,C482114839,0.0,0.0,C423105639,1340255.27,2851308.84
230,TRANSFER,242824.25,C1640567065,0.0,0.0,C144901544,1007802.62,1250626.87
230,TRANSFER,735189.74,C1190622223,0.0,0.0,C1124754747,3393985.69,4129175.43
230,TRANSFER,535663.19,C519592090,0.0,0.0,C951778468,5942807.75,6478470.94
230,TRANSFER,187107.2,C1632885399,0.0,0.0,C1111898479,221564.14,408671.34
230,TRANSFER,197954.42,C1220234877,0.0,0.0,C959668764,2198782.87,2396737.29
