step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
685,TRANSFER,537539.97,C1135563168,537539.97,0.0,C743232088,0.0,0.0
685,CASH_OUT,537539.97,C229919589,537539.97,0.0,C1914366882,0.0,537539.97
685,TRANSFER,47061.52,C964153442,47061.52,0.0,C1853850752,0.0,0.0
685,CASH_OUT,47061.52,C1390208933,47061.52,0.0,C72626966,372871.76,419933.28
685,TRANSFER,73110.82,C1808244239,73110.82,0.0,C1237294806,0.0,0.0
685,CASH_OUT,73110.82,C1141317489,73110.82,0.0,C301882275,203551.47,276662.29
685,TRANSFER,1.0E7,C1131684691,1.488642305E7,4886423.05,C1143448210,0.0,0.0
685,CASH_OUT,1.0E7,C1981814103,1.0E7,0.0,C1037865562,56142.18,1.005614218E7
685,TRANSFER,4886423.05,C557894266,4886423.05,0.0,C1725513942,0.0,0.0
685,CASH_OUT,4886423.05,C1572906420,4886423.05,0.0,C288685482,0.0,4886423.05
685,TRANSFER,6295010.28,C1070365668,6295010.28,0.0,C874365535,0.0,0.0
685,CASH_OUT,6295010.28,C1227906023,6295010.28,0.0,C1846430620,2848244.08,9143254.36
685,TRANSFER,1933121.35,C1845779361,1933121.35,0.0,C1809033078,0.0,0.0
685,CASH_OUT,1933121.35,C917618384,1933121.35,0.0,C235519584,298353.09,2231474.43
