step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
236,PAYMENT,6474.58,C1760751896,2384.0,0.0,M1312682412,0.0,0.0
236,PAYMENT,4070.32,C91275641,30742.0,26671.68,M1126803267,0.0,0.0
236,PAYMENT,15230.5,C1017967631,23764.0,8533.5,M490590887,0.0,0.0
236,CASH_OUT,134219.42,C516268912,8533.5,0.0,C451381004,578727.14,712946.56
236,CASH_OUT,67860.49,C274209876,0.0,0.0,C196490111,1029735.51,1288543.95
236,CASH_OUT,172827.57,C1259314908,0.0,0.0,C1471079117,301072.08,473899.64
236,CASH_OUT,351446.63,C945083888,0.0,0.0,C1758060254,736374.58,1087821.21
236,CASH_OUT,384749.35,C188301225,0.0,0.0,C1333877439,623491.81,1008241.16
236,CASH_OUT,519299.84,C1532180518,0.0,0.0,C10751144,3247377.11,3766676.95
236,CASH_OUT,86403.58,C1822270702,0.0,0.0,C391833472,793532.6,879936.17
236,CASH_OUT,369258.25,C1920473048,0.0,0.0,C1011444814,1155324.91,1524583.16
236,CASH_OUT,117183.95,C813611593,0.0,0.0,C1620805023,216388.99,333572.94
236,CASH_OUT,380368.53,C1924015720,0.0,0.0,C1753178926,1721780.81,2102149.35
236,CASH_OUT,444763.48,C1930774023,0.0,0.0,C507688649,1806686.31,2251449.79
236,CASH_OUT,174596.75,C1105287530,0.0,0.0,C1357935666,7974234.39,8148831.14
236,CASH_OUT,76563.51,C76025837,0.0,0.0,C1529566912,5483193.3,5770777.87
236,CASH_OUT,172167.97,C118940786,0.0,0.0,C94210384,1471476.09,2265930.93
236,CASH_OUT,125470.99,C1592438761,0.0,0.0,C356904970,6874575.75,7000046.74
236,CASH_OUT,218824.5,C361465687,0.0,0.0,C1757503054,2286657.34,2505481.84
236,CASH_OUT,58384.12,C1371018604,0.0,0.0,C188729143,1944940.65,2003324.76
236,CASH_OUT,70155.38,C1639796317,0.0,0.0,C895522396,947671.45,1017826.83
236,CASH_OUT,498592.93,C1780686948,0.0,0.0,C590066384,4958076.03,5456668.96
236,CASH_OUT,107980.62,C601600840,0.0,0.0,C1483976892,2736322.1,2844302.72
236,CASH_OUT,34378.46,C853131562,0.0,0.0,C1793056361,4706023.23,4740401.69
236,CASH_OUT,14342.04,C958250634,0.0,0.0,C486510053,63636.91,77978.95
236,CASH_OUT,5099.2,C1255049677,0.0,0.0,C253562747,3801376.52,3806475.73
