step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
333,CASH_IN,36061.49,C1242125951,74326.0,110387.49,C1270626741,160246.38,124184.89
333,PAYMENT,24428.08,C967674583,110387.49,85959.41,M1979522994,0.0,0.0
333,PAYMENT,6167.72,C360311911,127.0,0.0,M365165081,0.0,0.0
333,PAYMENT,40462.97,C1089286468,94.0,0.0,M1576052324,0.0,0.0
333,PAYMENT,10630.18,C120615785,20975.0,10344.82,M220811940,0.0,0.0
333,PAYMENT,12946.64,C619128148,4476.0,0.0,M2088530986,0.0,0.0
333,PAYMENT,2296.23,C2018769911,0.0,0.0,M1067989547,0.0,0.0
333,PAYMENT,8083.31,C586708239,0.0,0.0,M1027250270,0.0,0.0
333,PAYMENT,31362.67,C1515274317,10106.0,0.0,M609636430,0.0,0.0
333,PAYMENT,4267.56,C1164380614,20208.0,15940.44,M754356572,0.0,0.0
333,CASH_OUT,143801.95,C2088103847,15940.44,0.0,C110234404,1469767.53,1613569.48
333,PAYMENT,5997.57,C1781990471,481.0,0.0,M392370686,0.0,0.0
333,CASH_OUT,15614.92,C260511295,9167.0,0.0,C1489085232,0.0,15614.92
333,PAYMENT,7312.16,C1557977279,6128.0,0.0,M236710495,0.0,0.0
333,PAYMENT,27700.12,C28880523,0.0,0.0,M909735533,0.0,0.0
333,PAYMENT,12993.14,C203053365,0.0,0.0,M1568805883,0.0,0.0
333,PAYMENT,111024.22,C428483126,0.0,0.0,M1685955956,0.0,0.0
333,PAYMENT,30401.01,C988846911,0.0,0.0,M2006997585,0.0,0.0
333,PAYMENT,32089.12,C1072909569,0.0,0.0,M917248398,0.0,0.0
333,PAYMENT,25789.58,C146494727,0.0,0.0,M2101146771,0.0,0.0
333,PAYMENT,33021.11,C1476539760,0.0,0.0,M238303127,0.0,0.0
333,PAYMENT,7548.76,C1559578683,0.0,0.0,M1182246746,0.0,0.0
333,PAYMENT,2912.17,C261595985,0.0,0.0,M548451771,0.0,0.0
333,PAYMENT,16049.76,C1450349830,0.0,0.0,M759473637,0.0,0.0
333,PAYMENT,23246.44,C536544823,0.0,0.0,M977499422,0.0,0.0
333,PAYMENT,3431.17,C2019237365,0.0,0.0,M1882780822,0.0,0.0
333,PAYMENT,2259.57,C926256664,0.0,0.0,M377484901,0.0,0.0
333,PAYMENT,34106.71,C913044970,0.0,0.0,M20986869,0.0,0.0
333,CASH_OUT,168369.76,C438186123,25915.0,0.0,C1608029072,772512.36,940882.12
333,PAYMENT,33416.11,C1933255027,3151.0,0.0,M437673563,0.0,0.0
333,CASH_OUT,100735.2,C445206911,191.0,0.0,C1561552482,2521263.31,2621998.51
333,CASH_OUT,106150.93,C1912119501,19413.0,0.0,C196411800,99920.84,206071.78
333,PAYMENT,13067.73,C1541551928,0.0,0.0,M1940803225,0.0,0.0
333,PAYMENT,14585.89,C603777850,0.0,0.0,M389470528,0.0,0.0
333,PAYMENT,28557.91,C1571256169,0.0,0.0,M1551642818,0.0,0.0
333,PAYMENT,21929.51,C404600140,0.0,0.0,M960533462,0.0,0.0
333,PAYMENT,12456.76,C1606068136,0.0,0.0,M1652389565,0.0,0.0
333,PAYMENT,294.91,C390010987,0.0,0.0,M710735737,0.0,0.0
333,PAYMENT,7110.01,C542216829,0.0,0.0,M688967764,0.0,0.0
333,PAYMENT,28546.47,C1183017309,0.0,0.0,M195672523,0.0,0.0
333,CASH_IN,170156.27,C658968761,29252.0,199408.27,C282327526,1.146119656E7,1.129104029E7
333,PAYMENT,37701.84,C142272117,199408.27,161706.43,M1441705894,0.0,0.0
333,TRANSFER,97571.25,C323953457,274345.0,176773.75,C427673972,435281.23,532852.47
333,PAYMENT,10934.3,C202517305,176773.75,165839.45,M1401171328,0.0,0.0
333,PAYMENT,6205.61,C1932999625,120085.0,113879.39,M428595253,0.0,0.0
333,CASH_OUT,71249.91,C73233374,20209.0,0.0,C563406849,89339.47,160589.39
333,PAYMENT,8847.06,C1984407288,0.0,0.0,M1021588106,0.0,0.0
333,CASH_OUT,4540.46,C2078871379,575754.0,571213.54,C1658488659,871348.76,875889.22
333,TRANSFER,1234749.78,C340082803,571213.54,0.0,C1516171551,2330944.02,3565693.8
333,PAYMENT,13319.62,C1602114661,40710.0,27390.38,M1108561250,0.0,0.0
333,PAYMENT,29612.55,C1907573220,199922.0,170309.45,M1338757497,0.0,0.0
333,PAYMENT,19046.79,C1656453529,14857.0,0.0,M974864625,0.0,0.0
333,CASH_OUT,189328.37,C1363974711,0.0,0.0,C99513008,529510.38,718838.76
333,PAYMENT,2896.93,C1075698046,30370.0,27473.07,M2035484501,0.0,0.0
333,CASH_OUT,149516.58,C430951494,67980.0,0.0,C2098508668,303663.19,453179.77
333,PAYMENT,23850.79,C747073638,107812.0,83961.21,M41917089,0.0,0.0
333,CASH_IN,46650.27,C1668762644,579.0,47229.27,C1882561478,143560.6,96910.33
333,PAYMENT,491.06,C81617344,47229.27,46738.21,M323892605,0.0,0.0
333,PAYMENT,3106.97,C1838812967,46738.21,43631.25,M886372716,0.0,0.0
333,TRANSFER,575564.18,C1533562199,525.0,0.0,C1166067536,3205953.66,3781517.83
333,CASH_OUT,20723.86,C971996826,39058.0,18334.14,C2104215924,121778.83,142502.69
333,CASH_OUT,175994.32,C78753207,18334.14,0.0,C301166499,3206713.98,3382708.31
333,PAYMENT,11270.1,C389888980,8397.0,0.0,M237424273,0.0,0.0
333,PAYMENT,4386.53,C1283422817,24503.0,20116.47,M1168816716,0.0,0.0
333,PAYMENT,32521.67,C1001900726,51867.0,19345.33,M64866583,0.0,0.0
333,PAYMENT,12631.49,C885393279,19345.33,6713.84,M615424881,0.0,0.0
333,PAYMENT,6731.91,C558448424,6713.84,0.0,M1286725479,0.0,0.0
333,PAYMENT,15616.58,C1212732529,96097.0,80480.42,M430719778,0.0,0.0
333,PAYMENT,5778.22,C1903464256,2059.0,0.0,M872164590,0.0,0.0
333,CASH_OUT,186727.56,C1025084860,107638.0,0.0,C64231613,180759.88,367487.44
333,CASH_OUT,150069.29,C1188527214,0.0,0.0,C623952122,1131022.05,1281091.34
333,PAYMENT,2983.17,C319612283,635486.0,632502.83,M1103437992,0.0,0.0
333,PAYMENT,10872.0,C817901889,562.0,0.0,M1300827963,0.0,0.0
333,CASH_IN,213249.31,C970595532,25980.0,239229.31,C757241806,187491.11,0.0
333,CASH_OUT,92651.25,C1366473535,45850.0,0.0,C1636658131,0.0,92651.25
333,CASH_IN,109010.71,C1611252329,35611.0,144621.71,C890743309,123227.67,14216.96
333,PAYMENT,18422.34,C1711073668,341.0,0.0,M204055947,0.0,0.0
333,CASH_IN,101691.3,C1212570738,21442.0,123133.3,C1635054066,0.0,0.0
333,PAYMENT,10731.34,C1718797721,581282.0,570550.66,M1681960986,0.0,0.0
333,CASH_OUT,104214.76,C629429476,2261.0,0.0,C995453894,295581.55,399796.31
333,PAYMENT,10376.32,C1599814122,0.0,0.0,M804610453,0.0,0.0
333,PAYMENT,43379.55,C1322570769,1226.0,0.0,M1240500827,0.0,0.0
333,CASH_IN,50125.73,C1340243686,107500.0,157625.73,C1203324801,8374.0,0.0
333,CASH_IN,165849.49,C1260345158,400.0,166249.49,C132800586,1574842.68,1408993.19
333,PAYMENT,4819.18,C595813992,20139.0,15319.82,M1860997649,0.0,0.0
333,TRANSFER,227518.62,C841340004,163085.0,0.0,C624954823,70018.71,297537.33
333,CASH_OUT,128730.82,C61935617,0.0,0.0,C127739707,928218.78,1056949.6
