step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
44,PAYMENT,5046.33,C1460912842,337.0,0.0,M615246543,0.0,0.0
44,PAYMENT,367.87,C1562241927,11239.0,10871.13,M442435489,0.0,0.0
44,CASH_IN,87209.87,C1402176434,10871.13,98081.01,C225736719,2691984.55,2604774.67
44,CASH_IN,79699.95,C680912541,98081.01,177780.96,C1809698302,540441.61,460741.66
44,CASH_IN,99886.66,C442917339,177780.96,277667.62,C968174029,291091.15,191204.49
44,CASH_IN,21839.58,C2019954489,277667.62,299507.2,C299078952,190904.75,169065.17
44,CASH_IN,367849.94,C925343124,299507.2,667357.14,C1272615921,2005978.13,1638128.19
44,CASH_IN,94970.01,C813769955,667357.14,762327.14,C786836461,668430.87,657124.99
44,CASH_IN,234925.18,C432071569,762327.14,997252.32,C600262058,759090.24,613131.92
44,CASH_IN,527268.74,C1368860759,997252.32,1524521.06,C716980398,2828169.41,2026529.56
44,CASH_IN,160133.24,C1524090060,1524521.06,1684654.3,C1858001470,240115.1,79981.86
44,CASH_IN,311584.63,C1674073417,1684654.3,1996238.93,C852889473,547959.23,236374.6
44,CASH_IN,242763.92,C2106261194,1996238.93,2239002.85,C304573868,1252530.41,1297736.63
44,CASH_IN,201018.47,C355972284,2239002.85,2440021.32,C1438433737,637241.78,436223.31
44,CASH_IN,307128.89,C1898111858,2440021.32,2747150.21,C1142653119,2769845.18,2462716.29
44,CASH_IN,290635.59,C1356956162,2747150.21,3037785.8,C483742569,1558762.19,1268126.6
44,CASH_IN,328905.38,C2058836602,3037785.8,3366691.18,C214853324,621637.28,292731.9
44,CASH_IN,291576.31,C1385010116,3366691.18,3658267.5,C1052535888,3013249.3,2883163.98
44,CASH_IN,121834.29,C877839252,3658267.5,3780101.79,C206227730,1885059.08,1763224.79
44,CASH_IN,101618.84,C1761584782,3780101.79,3881720.63,C356190156,1607599.66,1505980.82
44,CASH_IN,51492.83,C677070177,3881720.63,3933213.46,C54725543,86706.87,0.0
44,CASH_IN,68838.5,C385282077,3933213.46,4002051.96,C423590445,129620.36,60781.86
44,CASH_IN,66693.12,C874176308,4002051.96,4068745.08,C1852834386,293888.47,227195.35
44,CASH_IN,195202.75,C558159087,4068745.08,4263947.83,C370224798,7154071.44,6958868.69
44,CASH_IN,157734.08,C1397157355,4263947.83,4421681.91,C1743208978,1396078.78,1238344.7
44,CASH_IN,262991.74,C1922140550,4421681.91,4684673.65,C1113941243,2150428.65,1887436.91
44,CASH_IN,18221.82,C269487007,4684673.65,4702895.47,C1136434080,46103.08,27881.25
44,CASH_IN,132669.24,C401888990,4702895.47,4835564.72,C1972377800,577850.15,445180.9
44,CASH_IN,307851.28,C1941559422,4835564.72,5143416.0,C523904186,1505516.89,1197665.61
44,CASH_IN,412339.41,C219849270,5143416.0,5555755.41,C770643797,6169859.65,7980944.5
44,CASH_IN,21583.53,C491130105,5555755.41,5577338.94,C2131975258,190323.87,168740.34
44,CASH_IN,111820.88,C674364201,5577338.94,5689159.83,C146348361,696049.81,584228.92
44,CASH_IN,284574.34,C360103033,5689159.83,5973734.17,C1644099464,1231156.97,1299953.67
44,CASH_IN,133796.3,C1294317555,5973734.17,6107530.47,C1977421716,226963.98,93167.67
44,CASH_IN,244973.28,C1621707626,6107530.47,6352503.74,C2029735807,1757654.44,1512681.17
44,CASH_IN,138299.36,C1197874405,6352503.74,6490803.1,C466992857,305085.73,166786.37
44,CASH_IN,15742.54,C1741944068,6490803.1,6506545.64,C2120216884,68804.92,53062.39
44,CASH_IN,299261.4,C128535586,6506545.64,6805807.04,C553532579,1276875.55,977614.15
44,CASH_IN,4531.0,C762426790,6805807.04,6810338.04,C618786461,5716128.21,6045631.28
44,CASH_IN,180501.94,C1518802393,6810338.04,6990839.98,C409662974,863012.58,682510.64
44,CASH_IN,103066.98,C570728536,6990839.98,7093906.96,C1381667245,257340.06,154273.08
44,CASH_IN,229188.36,C1862348902,7093906.96,7323095.31,C85730286,932504.74,703316.38
