step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
253,CASH_IN,1553.18,C2025757946,388.0,1941.18,C804545698,101066.67,99513.5
253,CASH_OUT,61284.91,C368161270,23242.0,0.0,C927981063,1050825.6,1112110.52
253,CASH_IN,304279.02,C1425565974,30566.0,334845.02,C12041,5170.6,0.0
253,TRANSFER,708630.13,C2144424563,334845.02,0.0,C534658241,746786.22,1455416.34
253,PAYMENT,9011.07,C1938053183,35189.0,26177.93,M1809988024,0.0,0.0
253,CASH_OUT,515261.48,C2093305099,20595.0,0.0,C1917787851,180305.35,695566.82
253,CASH_OUT,38841.15,C166906410,51021.0,12179.85,C1659620678,2845618.33,2884459.48
253,PAYMENT,24103.84,C1483091595,64874.0,40770.16,M582214598,0.0,0.0
253,PAYMENT,5640.49,C1950900110,40770.16,35129.67,M1802791095,0.0,0.0
253,CASH_IN,227712.57,C42930468,107542.0,335254.57,C12805432,1986898.32,1759185.75
253,PAYMENT,10423.97,C1067413344,4659.0,0.0,M152953650,0.0,0.0
253,PAYMENT,50359.23,C1097077622,678.0,0.0,M991444047,0.0,0.0
253,TRANSFER,1772248.33,C2142806051,41619.0,0.0,C858175531,0.0,1772248.33
253,CASH_OUT,20890.93,C433768597,0.0,0.0,C1172598355,3476962.85,3497853.78
253,CASH_OUT,438759.29,C2026145659,12594.0,0.0,C1257280184,0.0,438759.29
253,CASH_OUT,325180.06,C38024808,302466.0,0.0,C842161290,415.0,313838.03
253,PAYMENT,19140.16,C952580027,0.0,0.0,M1997983318,0.0,0.0
253,PAYMENT,12154.37,C733307024,0.0,0.0,M140633336,0.0,0.0
253,CASH_OUT,348173.43,C152727712,1173.0,0.0,C518110645,600773.51,948946.94
253,CASH_OUT,8598.15,C1220504491,14650.0,6051.85,C1868562190,1304042.75,1312640.9
253,PAYMENT,6972.46,C1217274828,6051.85,0.0,M1338984449,0.0,0.0
253,CASH_OUT,277961.82,C361410088,20008.0,0.0,C1502274460,90492.22,368454.04
