step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
540,CASH_OUT,264236.25,C354273618,25825.0,0.0,C664045630,0.0,264236.25
540,CASH_IN,376623.98,C1434863401,25134.0,401757.98,C229573845,0.0,0.0
540,CASH_OUT,190303.21,C1033060777,4073.0,0.0,C492456469,0.0,190303.21
540,PAYMENT,434.98,C1255418522,0.0,0.0,M838352331,0.0,0.0
540,CASH_IN,313809.17,C1444977618,10304.0,324113.17,C855054258,157668.04,0.0
540,PAYMENT,38750.25,C1905858230,28751.0,0.0,M443708133,0.0,0.0
540,PAYMENT,1985.03,C1779700229,0.0,0.0,M943258270,0.0,0.0
540,CASH_OUT,120511.32,C19756937,41973.0,0.0,C1092987200,1.019127116E7,1.031178248E7
540,CASH_IN,45367.32,C146917395,543.0,45910.32,C315436305,3683621.23,3638253.91
540,CASH_IN,316149.34,C1108309812,2019.0,318168.34,C1595949792,0.0,0.0
540,CASH_OUT,229655.87,C1025284577,497922.0,268266.13,C1986803738,294333.89,523989.75
540,PAYMENT,1533.54,C1474765044,49852.0,48318.46,M1365306187,0.0,0.0
540,PAYMENT,16514.44,C1760530564,14446.0,0.0,M828755945,0.0,0.0
540,CASH_IN,37811.83,C1600895409,12.0,37823.83,C1637134608,99011.42,61199.59
540,CASH_OUT,275471.52,C159857572,18994.0,0.0,C464254220,1129943.02,1405414.54
540,CASH_OUT,39334.06,C494465440,9113.0,0.0,C874105725,196512.46,235846.52
540,CASH_OUT,134905.93,C50163553,35972.0,0.0,C889775049,0.0,134905.93
540,CASH_IN,518943.46,C5892286,22892.0,541835.46,C1439380433,1063403.73,544460.26
540,CASH_IN,4342.48,C817084682,20276.0,24618.48,C694178046,78027.15,73684.67
540,PAYMENT,19917.89,C1788656461,126829.0,106911.11,M57886488,0.0,0.0
540,CASH_OUT,140401.15,C1277187024,29999.0,0.0,C929793258,0.0,140401.15
540,DEBIT,2703.95,C1643567287,2603.0,0.0,C96750927,1395698.5,1398402.45
540,PAYMENT,29656.16,C1858027799,41141.0,11484.84,M2012053599,0.0,0.0
540,PAYMENT,11054.65,C966648737,12810.0,1755.35,M1853466437,0.0,0.0
540,TRANSFER,163980.75,C2052777060,421.0,0.0,C1757455830,4840369.06,5004349.81
540,CASH_IN,390817.24,C1638820872,92078.0,482895.24,C101512188,0.0,0.0
540,PAYMENT,10807.69,C930618231,395810.0,385002.31,M345555282,0.0,0.0
540,PAYMENT,7263.9,C969703009,102866.0,95602.1,M730897276,0.0,0.0
540,PAYMENT,3754.64,C1547996890,168888.0,165133.36,M235165265,0.0,0.0
540,CASH_IN,156536.38,C1415650950,24307.0,180843.38,C1746023963,415672.26,259135.88
540,CASH_OUT,243227.95,C2063934477,176900.0,0.0,C889937074,395675.99,638903.94
540,CASH_OUT,102960.45,C63916009,20380.0,0.0,C2052596023,0.0,102960.45
540,PAYMENT,16895.86,C794115871,0.0,0.0,M1939640669,0.0,0.0
540,PAYMENT,48521.35,C569108079,0.0,0.0,M1491209652,0.0,0.0
540,CASH_IN,210063.85,C1581870192,105475.0,315538.85,C703445169,0.0,0.0
540,CASH_OUT,147316.58,C1229457565,31015.0,0.0,C452601939,0.0,147316.58
540,PAYMENT,2711.09,C929974085,5043.0,2331.91,M2141811633,0.0,0.0
540,CASH_OUT,171081.89,C1788259032,2331.91,0.0,C1495533222,644509.15,815591.04
540,CASH_OUT,73478.45,C1670601719,69851.0,0.0,C875651901,16647.17,90125.62
540,CASH_OUT,154388.51,C637697199,41203.0,0.0,C132139209,810230.47,964618.98
540,CASH_OUT,29526.69,C310556453,1710.0,0.0,C1472084037,0.0,29526.69
540,CASH_OUT,183021.48,C1293750215,122282.0,0.0,C1541292710,41476.1,224497.58
540,CASH_OUT,189663.98,C875084144,0.0,0.0,C1957862727,682960.26,872624.24
540,CASH_OUT,126897.5,C33180766,0.0,0.0,C578765348,286120.05,413017.56
540,CASH_IN,129617.34,C105314523,308.0,129925.34,C1476603843,503447.82,373830.48
540,CASH_OUT,187624.3,C587246819,129925.34,0.0,C128959563,2498530.23,2686154.53
540,PAYMENT,5443.7,C1376940746,72151.0,66707.3,M31018090,0.0,0.0
540,CASH_OUT,140063.71,C812186794,66707.3,0.0,C991337449,1741018.4,1881082.11
540,CASH_OUT,289638.07,C371800560,20023.0,0.0,C1204707408,0.0,289638.07
540,TRANSFER,2647897.27,C1475120605,0.0,0.0,C1368612562,1.236276201E7,1.501065928E7
540,TRANSFER,513983.08,C471675222,0.0,0.0,C197016448,2768881.06,3282864.13
540,TRANSFER,721474.2,C1801913299,0.0,0.0,C1110501263,1591544.3,2313018.49
540,TRANSFER,196935.19,C878596598,0.0,0.0,C467200018,1720607.89,1917543.09
540,TRANSFER,261023.12,C124756165,0.0,0.0,C2100461044,340510.2,601533.32
540,TRANSFER,8652.39,C1921890047,0.0,0.0,C1221545917,822268.07,830920.46
540,TRANSFER,80471.01,C564615910,0.0,0.0,C2008605705,234489.52,314960.53
540,TRANSFER,776280.89,C1731227333,0.0,0.0,C64284979,1039709.95,1815990.84
540,TRANSFER,820131.91,C488866670,0.0,0.0,C1420048141,1319994.16,2140126.07
540,TRANSFER,170050.69,C34010235,0.0,0.0,C171162929,216861.89,386912.58
540,TRANSFER,868562.88,C426634935,0.0,0.0,C982570737,919514.71,1788077.59
540,TRANSFER,923769.17,C2110778649,0.0,0.0,C1767847681,4471397.83,5395167.0
540,TRANSFER,354478.32,C2096511293,0.0,0.0,C1530086509,3646095.81,4000574.14
540,TRANSFER,779821.27,C1231466484,0.0,0.0,C191656756,7105759.41,7885580.68
540,TRANSFER,313836.74,C1057552441,0.0,0.0,C484249040,995591.79,1309428.53
540,TRANSFER,473405.79,C1026387428,0.0,0.0,C1138363838,1386534.67,1859940.46
