step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
530,PAYMENT,2810.0,C2136501053,30375.0,27565.0,M625323570,0.0,0.0
530,PAYMENT,54140.73,C1318080817,27565.0,0.0,M576654528,0.0,0.0
530,PAYMENT,4376.87,C509774389,11273.0,6896.13,M383681525,0.0,0.0
530,CASH_OUT,245689.3,C1519079878,6896.13,0.0,C1926795438,1797678.4,2043367.7
530,CASH_OUT,166748.18,C6848347,0.0,0.0,C1501864917,4707702.69,4874450.87
530,CASH_OUT,382976.91,C173108801,0.0,0.0,C1109973480,599164.44,982141.35
530,CASH_OUT,60770.66,C1760724437,0.0,0.0,C2062638863,990243.8,1051014.46
530,CASH_OUT,189784.22,C1752689772,0.0,0.0,C1507401890,299109.37,488893.59
530,CASH_OUT,54132.45,C732349598,0.0,0.0,C637888134,85416.26,139548.71
530,CASH_OUT,314262.03,C704943309,0.0,0.0,C545233754,315692.89,629954.92
530,CASH_OUT,243732.61,C1445224565,0.0,0.0,C947357815,1951318.75,2195051.36
530,CASH_OUT,306206.2,C23585361,0.0,0.0,C685668954,2813796.6,3120002.8
530,CASH_OUT,80664.32,C477643991,0.0,0.0,C1690642179,6955800.94,7036465.26
530,CASH_OUT,332530.0,C315890025,0.0,0.0,C399912884,790190.92,1122720.92
530,CASH_OUT,98224.75,C1728509070,0.0,0.0,C131717810,5942480.19,6040704.93
530,CASH_OUT,4771.37,C1506670421,0.0,0.0,C1448881090,1612707.2,1617478.57
530,CASH_OUT,121143.72,C122510919,0.0,0.0,C374263074,607103.62,728247.35
530,CASH_OUT,291816.84,C903872662,0.0,0.0,C163358311,1592278.18,1884095.03
530,CASH_OUT,186831.04,C1704075296,0.0,0.0,C394438384,203792.87,390623.91
530,CASH_OUT,70549.9,C1406342296,0.0,0.0,C195370495,333727.23,404277.13
530,CASH_OUT,70799.46,C1048696771,0.0,0.0,C1694949731,243115.0,313914.46
530,CASH_OUT,115888.28,C189826101,0.0,0.0,C1702433154,1220362.34,1336250.62
530,CASH_OUT,179860.54,C2142713439,0.0,0.0,C1445731773,1005058.7,1184919.24
530,CASH_OUT,31002.16,C881564389,0.0,0.0,C1207231020,298524.46,329526.62
530,CASH_OUT,317362.77,C75787384,0.0,0.0,C1611808280,6367794.99,6685157.76
530,PAYMENT,4833.25,C192557553,26379.0,21545.75,M1304029967,0.0,0.0
530,PAYMENT,3752.52,C630000879,21545.75,17793.23,M38617994,0.0,0.0
530,PAYMENT,2567.98,C1491210123,20273.0,17705.02,M1518433803,0.0,0.0
530,PAYMENT,2890.68,C388428736,17705.02,14814.34,M2132779965,0.0,0.0
530,PAYMENT,2215.72,C935949698,14814.34,12598.62,M1713994846,0.0,0.0
530,PAYMENT,1552.45,C1177631656,5792.0,4239.55,M1144089240,0.0,0.0
530,PAYMENT,1669.46,C950563577,100023.0,98353.54,M357446206,0.0,0.0
530,PAYMENT,2199.06,C1525524292,24022.0,21822.94,M365388587,0.0,0.0
530,CASH_OUT,179960.91,C1854137552,21822.94,0.0,C849821097,3801051.07,3981011.99
530,CASH_OUT,401635.8,C171504892,0.0,0.0,C763918567,5234156.41,5635792.22
530,PAYMENT,3959.82,C1037608312,26168.0,22208.18,M321406931,0.0,0.0
530,CASH_OUT,229577.25,C1660716034,22208.18,0.0,C171083546,3199992.35,3429569.6
530,CASH_OUT,23959.35,C799933365,0.0,0.0,C1889494536,1329174.51,1353133.86
530,DEBIT,2907.66,C1470464093,8119.0,5211.34,C1707504724,47728.83,50636.48
530,CASH_OUT,256350.93,C115491749,5211.34,0.0,C1276022954,767893.85,1024244.78
530,CASH_OUT,132498.93,C12061679,0.0,0.0,C60188790,754119.05,886617.97
530,CASH_OUT,146796.87,C1607730150,0.0,0.0,C1947207566,325987.79,472784.66
530,CASH_OUT,171160.18,C604555049,0.0,0.0,C385061973,1165025.59,1336185.77
530,CASH_OUT,76329.44,C820205414,0.0,0.0,C1974655150,99904.21,176233.65
530,CASH_OUT,47838.77,C1883555302,0.0,0.0,C1675005400,3100590.79,3148429.55
530,CASH_OUT,25159.34,C259011387,0.0,0.0,C253001482,445441.39,470600.73
530,CASH_OUT,219408.97,C1831050355,0.0,0.0,C1367621087,225720.07,445129.04
530,CASH_OUT,208387.09,C1196539606,0.0,0.0,C1844953226,236939.75,445326.83
530,CASH_OUT,45128.8,C292304943,0.0,0.0,C711513454,169319.88,214448.67
530,CASH_OUT,104160.23,C529213650,0.0,0.0,C899551851,110008.61,214168.84
530,CASH_OUT,129258.82,C1857748820,0.0,0.0,C1894897045,2031398.18,2160657.0
530,CASH_OUT,313894.81,C609704795,0.0,0.0,C1791408614,425308.49,739203.3
530,CASH_OUT,394397.18,C1409987262,0.0,0.0,C1270695136,1127874.87,1522272.06
530,PAYMENT,4275.73,C302112085,138479.0,134203.27,M737722398,0.0,0.0
530,DEBIT,1411.32,C904649657,25001.0,23589.68,C1341416518,1889027.07,1890438.39
530,PAYMENT,1957.84,C888471800,722351.0,720393.16,M671254598,0.0,0.0
530,DEBIT,1898.11,C1167545704,60132.0,58233.89,C1452128176,431111.44,433009.55
530,PAYMENT,1361.76,C785016944,302771.0,301409.24,M841240465,0.0,0.0
530,PAYMENT,6439.19,C249078059,21323.0,14883.81,M1906018701,0.0,0.0
530,DEBIT,5795.01,C217048614,20655.0,14859.99,C723099916,106257.21,112052.22
530,PAYMENT,3293.33,C472344813,77737.0,74443.67,M1463632827,0.0,0.0
530,CASH_OUT,46119.32,C2051501872,24994.0,0.0,C1768571590,1.502954691E7,1.507566623E7
530,DEBIT,112.74,C157968520,137202.0,137089.26,C1190993709,6165.85,6278.58
530,PAYMENT,5399.64,C774707528,137089.26,131689.62,M321959853,0.0,0.0
530,PAYMENT,1346.18,C1380938772,4547.0,3200.82,M146499837,0.0,0.0
530,PAYMENT,1894.22,C1318770683,36504.0,34609.78,M1476500570,0.0,0.0
530,CASH_OUT,61656.28,C1900526746,34609.78,0.0,C9913129,451859.8,513516.08
530,DEBIT,267.26,C577294031,165998.0,165730.74,C1127997427,494173.3,494440.57
530,PAYMENT,5830.06,C978710646,35743.0,29912.94,M1851934762,0.0,0.0
530,PAYMENT,1074.28,C579701264,29912.94,28838.66,M1182213688,0.0,0.0
530,TRANSFER,282382.9,C1404348608,34173.0,0.0,C791496363,928668.25,1211051.16
