step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
78,TRANSFER,1321091.25,C3630973,1321091.25,0.0,C1609262789,0.0,0.0
78,CASH_OUT,1321091.25,C1817853136,1321091.25,0.0,C1040572676,0.0,1321091.25
78,TRANSFER,113829.89,C973342461,113829.89,0.0,C631818291,0.0,0.0
78,CASH_OUT,113829.89,C1130541030,113829.89,0.0,C50502894,0.0,113829.89
78,TRANSFER,178569.48,C282621115,178569.48,0.0,C2027238520,0.0,0.0
78,CASH_OUT,178569.48,C395825139,178569.48,0.0,C1241208981,263128.53,441698.01
78,TRANSFER,1735647.47,C32677445,1735647.47,0.0,C154560289,0.0,0.0
78,CASH_OUT,1735647.47,C1347258113,1735647.47,0.0,C169356853,0.0,1735647.47
78,TRANSFER,2254934.36,C65227807,2254934.36,0.0,C213999906,0.0,0.0
78,CASH_OUT,2254934.36,C706933703,2254934.36,0.0,C273430415,364128.61,2619062.97
