step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
481,TRANSFER,130668.56,C349322282,130668.56,0.0,C1470984619,0.0,0.0
481,CASH_OUT,130668.56,C1722932683,130668.56,0.0,C1992581465,2403740.71,2534409.27
481,TRANSFER,305183.84,C1457867360,305183.84,0.0,C1143524875,0.0,0.0
481,CASH_OUT,305183.84,C1505496365,305183.84,0.0,C1263395993,470854.17,776038.0
481,TRANSFER,190215.18,C1544182108,190215.18,0.0,C1927390532,0.0,0.0
481,CASH_OUT,190215.18,C884840595,190215.18,0.0,C1836069154,0.0,190215.18
481,TRANSFER,832811.84,C1215783470,832811.84,0.0,C1131260473,0.0,0.0
481,CASH_OUT,832811.84,C1897651048,832811.84,0.0,C372865996,0.0,832811.84
481,TRANSFER,1710180.37,C2136325294,1710180.37,0.0,C1970232075,0.0,0.0
481,CASH_OUT,1710180.37,C670354135,1710180.37,0.0,C577804571,934700.52,2644880.89
481,TRANSFER,20296.68,C1415686677,20296.68,0.0,C384177810,0.0,0.0
481,CASH_OUT,20296.68,C2072968042,20296.68,0.0,C1480258945,129269.88,149566.56
481,TRANSFER,548677.33,C703367289,548677.33,0.0,C428179224,0.0,0.0
481,CASH_OUT,548677.33,C676285921,548677.33,0.0,C1205336218,139582.33,688259.65
