step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
122,PAYMENT,1732.96,C707785699,47079.0,45346.04,M744889007,0.0,0.0
122,TRANSFER,343424.39,C1439650479,351.0,0.0,C1685892117,1430383.53,1773807.92
122,PAYMENT,1462.63,C1985940161,26702.0,25239.37,M591027970,0.0,0.0
122,PAYMENT,5638.64,C1066769064,25239.37,19600.73,M274791903,0.0,0.0
122,PAYMENT,1688.71,C518517776,19600.73,17912.02,M1867803265,0.0,0.0
122,PAYMENT,3580.9,C2080894233,52644.0,49063.1,M1805547843,0.0,0.0
122,PAYMENT,3291.42,C1249400660,2544.0,0.0,M104086776,0.0,0.0
122,PAYMENT,5636.61,C1167619586,80895.0,75258.39,M1574198163,0.0,0.0
122,CASH_OUT,164895.07,C1436448138,75258.39,0.0,C209562669,711963.54,876858.61
122,PAYMENT,2200.71,C1927958589,105724.0,103523.29,M1959002116,0.0,0.0
122,CASH_IN,57763.47,C196335052,103523.29,161286.76,C1371929292,2538734.02,2480970.55
122,CASH_IN,53291.28,C757584661,161286.76,214578.04,C848655746,285524.93,232233.66
122,CASH_IN,253845.25,C233571636,214578.04,468423.28,C610980981,403671.85,149826.6
122,CASH_IN,94175.79,C1509748909,468423.28,562599.07,C861361958,159547.88,65372.09
122,CASH_IN,267080.9,C1291080683,562599.07,829679.97,C2078442287,3366160.05,3099079.15
122,CASH_IN,68033.36,C1599643163,829679.97,897713.33,C237501781,956408.5,888375.14
122,CASH_IN,145468.21,C846263649,897713.33,1043181.54,C175391283,577374.24,431906.03
122,CASH_IN,168602.68,C213320218,1043181.54,1211784.21,C1293349647,894954.29,726351.61
122,CASH_IN,154957.56,C1647469420,1211784.21,1366741.77,C41951777,348780.55,193822.99
122,CASH_IN,192498.48,C2030145911,1366741.77,1559240.26,C935604369,919154.51,726656.03
122,CASH_IN,100994.02,C1290778827,1559240.26,1660234.28,C2007618656,5734620.39,5633626.37
122,CASH_IN,17350.03,C2029831326,1660234.28,1677584.31,C1423956695,5401353.45,5384003.43
122,CASH_IN,246144.09,C161804782,1677584.31,1923728.39,C248041022,891824.5,645680.42
122,CASH_IN,82935.42,C2086355844,1923728.39,2006663.81,C177992574,222382.33,139446.92
122,CASH_IN,158329.76,C1296274724,2006663.81,2164993.57,C1201433403,2265569.33,2107239.56
122,CASH_IN,18882.26,C1401249830,2164993.57,2183875.83,C429606599,3229141.87,3210259.61
122,CASH_IN,374239.56,C2097205305,2183875.83,2558115.4,C1046338731,1746067.49,1371827.93
122,CASH_IN,192583.99,C1533148030,2558115.4,2750699.39,C116227112,1929177.66,1736593.67
122,CASH_IN,13920.26,C173715331,2750699.39,2764619.64,C278738215,2142274.52,2128354.27
122,CASH_IN,461991.43,C1915120318,2764619.64,3226611.07,C680268684,991810.88,529819.45
122,CASH_IN,363906.25,C165477851,3226611.07,3590517.33,C21610306,543354.56,179448.3
122,CASH_IN,407074.58,C1563577749,3590517.33,3997591.91,C239031696,2.709055321E7,2.668347863E7
122,CASH_IN,279298.37,C38524679,3997591.91,4276890.28,C382208821,1575833.35,1296534.98
122,CASH_IN,46572.8,C1132019306,4276890.28,4323463.08,C414333916,4636486.07,4589913.26
122,CASH_IN,83198.69,C765796859,4323463.08,4406661.77,C502640590,322235.62,239036.93
122,CASH_IN,9353.07,C1647611711,4406661.77,4416014.85,C1579745447,96670.43,87317.35
122,CASH_IN,30926.49,C1050386321,4416014.85,4446941.34,C1808072302,343768.43,312841.94
122,CASH_IN,309146.37,C882605126,4446941.34,4756087.71,C123073197,1792982.72,1483836.35
122,CASH_IN,157594.13,C817183191,4756087.71,4913681.84,C1936338690,1912721.89,1755127.76
122,CASH_IN,144625.95,C1983776137,4913681.84,5058307.78,C1166836348,904156.88,759530.94
122,CASH_IN,201970.52,C347827144,5058307.78,5260278.31,C680502479,306962.15,104991.62
122,CASH_IN,27938.25,C2074958933,5260278.31,5288216.56,C249141992,4743393.41,4715455.16
122,CASH_IN,64303.68,C1649387894,5288216.56,5352520.24,C1116292004,9578726.91,9514423.23
