step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
34,PAYMENT,6915.96,C1735508127,21033.0,14117.04,M1219125921,0.0,0.0
34,CASH_OUT,36990.16,C866111224,435977.0,398986.84,C76160893,578346.07,615336.24
34,PAYMENT,22578.17,C1123478329,102457.0,79878.83,M728411840,0.0,0.0
34,TRANSFER,98326.08,C818835046,2075.0,0.0,C141432838,0.0,98326.08
34,PAYMENT,6434.41,C2112593545,60973.0,54538.59,M145825070,0.0,0.0
34,CASH_OUT,417741.0,C1985199702,49.0,0.0,C1284792861,686829.28,1104570.27
34,CASH_OUT,595393.43,C892162980,20789.0,0.0,C310384348,182081.69,793547.31
34,PAYMENT,17497.82,C336825438,90683.0,73185.18,M340503455,0.0,0.0
34,PAYMENT,10500.48,C2130777678,73185.18,62684.7,M544135801,0.0,0.0
34,CASH_OUT,325609.38,C672645974,117791.0,0.0,C1476757237,836398.35,1162007.73
34,PAYMENT,3430.3,C1640600216,2038.0,0.0,M369970057,0.0,0.0
34,CASH_OUT,152778.01,C1080485411,301.0,0.0,C660819982,5137572.1,5290350.12
34,PAYMENT,5195.79,C1451065354,0.0,0.0,M2064487695,0.0,0.0
34,PAYMENT,20415.34,C119593188,0.0,0.0,M1887461853,0.0,0.0
34,CASH_OUT,36609.99,C1254605335,140419.0,103809.01,C1284671693,229232.73,265842.72
34,PAYMENT,13741.1,C1576371117,14923.0,1181.9,M1553172239,0.0,0.0
34,PAYMENT,11623.22,C795773897,1181.9,0.0,M1540170569,0.0,0.0
34,PAYMENT,23624.53,C710159222,152080.0,128455.47,M1782545100,0.0,0.0
34,PAYMENT,16524.26,C827626625,128455.47,111931.22,M61947529,0.0,0.0
34,PAYMENT,22615.82,C137738770,111931.22,89315.4,M432883906,0.0,0.0
34,CASH_OUT,118914.93,C203958246,4008.0,0.0,C1361519412,0.0,118914.93
34,PAYMENT,6969.57,C107419036,0.0,0.0,M589814376,0.0,0.0
34,PAYMENT,6915.95,C1356799382,0.0,0.0,M495257468,0.0,0.0
34,TRANSFER,269434.17,C594553509,3278.0,0.0,C1690597652,9053.33,278487.5
34,PAYMENT,2525.2,C1041846329,150653.0,148127.8,M369281473,0.0,0.0
34,PAYMENT,23498.22,C587829914,308.0,0.0,M17736028,0.0,0.0
34,PAYMENT,2274.83,C1969402332,0.0,0.0,M1965961840,0.0,0.0
34,CASH_OUT,50558.0,C442295053,0.0,0.0,C1749809604,371467.92,422025.92
34,CASH_OUT,179328.36,C1856812379,0.0,0.0,C510028458,340583.65,519912.01
34,CASH_OUT,73709.95,C236979459,0.0,0.0,C1273788316,556377.82,630087.77
34,CASH_OUT,67911.22,C177801989,0.0,0.0,C12387149,3093982.55,3161893.77
34,CASH_OUT,381770.74,C2007025104,0.0,0.0,C2109371750,935519.25,1317289.99
34,CASH_OUT,387807.45,C2091753490,0.0,0.0,C1090777953,493477.3,881284.75
34,CASH_OUT,153842.23,C1923857049,0.0,0.0,C1892060750,258124.6,411966.83
34,CASH_OUT,8293.04,C816338666,0.0,0.0,C1922391259,1372993.58,1381286.61
34,CASH_OUT,37760.66,C1096256362,0.0,0.0,C1490462219,556542.17,594302.82
34,CASH_OUT,37701.32,C1357581922,0.0,0.0,C1591612142,58737.36,96438.67
34,CASH_OUT,34920.59,C2142968212,0.0,0.0,C1846064291,493431.44,528352.03
34,CASH_OUT,215534.98,C223747983,0.0,0.0,C1012183709,706825.12,922360.09
34,CASH_OUT,75692.08,C1881655700,0.0,0.0,C630899653,523869.4,599561.48
34,CASH_OUT,208413.48,C2016887276,0.0,0.0,C635119389,333056.21,541469.69
34,CASH_OUT,94256.43,C1600622791,0.0,0.0,C1182097644,2089986.86,2184243.29
34,CASH_OUT,31449.96,C1651525315,0.0,0.0,C412598741,6948570.57,6980020.53
34,CASH_OUT,305093.56,C743786608,0.0,0.0,C721356209,1845456.09,2335789.33
34,CASH_OUT,96593.61,C1848595511,0.0,0.0,C1390854843,303383.79,399977.4
34,CASH_OUT,96401.64,C221057181,0.0,0.0,C754329241,849392.7,945794.34
34,CASH_OUT,272039.7,C1837832613,0.0,0.0,C1286772355,285443.84,518361.24
34,CASH_OUT,113871.57,C1796983468,0.0,0.0,C592056924,551501.43,665373.01
34,CASH_OUT,128048.47,C2139206932,0.0,0.0,C401825929,2781764.99,2909813.46
34,CASH_OUT,338292.71,C449706881,0.0,0.0,C1082991036,996659.65,1334952.36
34,CASH_OUT,316210.43,C801017676,0.0,0.0,C807257712,1700966.06,2017176.49
34,CASH_OUT,330865.68,C449146557,0.0,0.0,C2046023382,4587424.55,4918290.23
34,CASH_OUT,109541.71,C1746817508,0.0,0.0,C1086319891,124967.47,411771.4
34,CASH_OUT,28122.65,C494579349,0.0,0.0,C328374184,87610.81,115733.46
34,CASH_OUT,150423.48,C1181062809,0.0,0.0,C860128720,196241.27,240128.4
34,CASH_OUT,627199.29,C2011474030,0.0,0.0,C1587512382,1751845.17,2379044.46
34,CASH_OUT,314079.58,C1836008967,0.0,0.0,C1486512932,375983.26,690062.84
34,CASH_OUT,290541.64,C623461177,0.0,0.0,C1620029891,1.147598447E7,1.17665261E7
34,CASH_OUT,409568.14,C1335019611,0.0,0.0,C274002986,4771656.15,5181224.29
34,CASH_OUT,28893.09,C493338143,0.0,0.0,C1049076401,1.889790491E7,1.892679799E7
34,CASH_OUT,88476.06,C170892490,0.0,0.0,C277983845,1854879.99,1943356.04
34,CASH_OUT,243708.25,C1701848637,0.0,0.0,C100116883,977915.5,1221623.75
34,CASH_OUT,251808.49,C1014622936,0.0,0.0,C1677631676,448381.69,700190.18
34,CASH_OUT,108623.37,C483273742,0.0,0.0,C140572150,5035471.52,5144094.9
34,CASH_OUT,75622.57,C1785805457,0.0,0.0,C1555411483,188996.43,264619.01
34,CASH_OUT,128569.59,C248817708,0.0,0.0,C1021600035,1156989.62,1285559.22
34,CASH_OUT,12617.5,C2106108932,0.0,0.0,C1872341044,809042.32,821659.82
34,CASH_OUT,298647.71,C281760231,0.0,0.0,C1037602747,1246388.48,1545036.19
34,CASH_OUT,198742.67,C1930253533,0.0,0.0,C52620058,4441827.26,4640569.93
34,CASH_OUT,9444.88,C1479743320,0.0,0.0,C1282282294,837159.69,846604.57
34,CASH_OUT,310549.39,C1625520342,0.0,0.0,C385924602,3263877.85,3574427.24
34,CASH_OUT,196099.59,C711809348,0.0,0.0,C892826385,224159.52,420259.12
34,CASH_OUT,203095.11,C861887336,0.0,0.0,C1539919550,4027247.98,4230343.09
34,CASH_OUT,223020.51,C1930822540,0.0,0.0,C1782222868,544670.5,767691.01
34,CASH_OUT,26861.75,C138998000,0.0,0.0,C1821261393,196301.67,223163.42
34,CASH_OUT,395532.48,C1211056068,0.0,0.0,C1423780194,3726506.09,4122038.56
34,CASH_OUT,16621.96,C23243186,0.0,0.0,C1390982934,254284.94,270906.9
34,CASH_OUT,237435.31,C1110167665,0.0,0.0,C1765705271,953415.95,1190851.26
34,CASH_OUT,241493.0,C220952500,0.0,0.0,C127459823,643742.07,885235.07
34,CASH_OUT,3073.83,C1019984074,0.0,0.0,C2008408921,856491.9,859565.74
34,PAYMENT,17702.25,C678472152,32346.0,14643.75,M876891391,0.0,0.0
34,PAYMENT,26496.7,C1652820756,11259.0,0.0,M65593958,0.0,0.0
34,PAYMENT,8785.42,C788247978,673.0,0.0,M953034558,0.0,0.0
34,CASH_OUT,83876.37,C2052085656,97.0,0.0,C848655746,31110.58,114986.95
34,CASH_OUT,197210.58,C1055879526,4991.0,0.0,C1958814164,1623793.68,1821004.26
34,PAYMENT,5066.01,C1296745972,444.0,0.0,M83164340,0.0,0.0
34,CASH_OUT,105546.23,C2095093541,80386.0,0.0,C383960464,0.0,105546.23
34,CASH_OUT,131109.14,C968998302,56974.0,0.0,C1642245070,2648447.94,2779557.08
34,CASH_OUT,119882.7,C574601783,0.0,0.0,C1782883889,1528139.06,1648021.76
34,PAYMENT,3571.19,C17687448,11227.0,7655.81,M2032932131,0.0,0.0
34,PAYMENT,11295.1,C1295346389,7655.81,0.0,M310681414,0.0,0.0
34,CASH_OUT,58085.98,C2088484781,160492.0,102406.02,C1170752033,1170700.16,1228786.14
34,CASH_OUT,157993.04,C1701263372,1317.0,0.0,C819104094,0.0,157993.04
34,PAYMENT,22833.39,C56788407,34294.0,11460.61,M900351026,0.0,0.0
34,CASH_IN,85883.46,C344790013,50017.0,135900.46,C1442714218,39544.42,0.0
34,PAYMENT,20029.38,C1224146488,135900.46,115871.09,M1596884396,0.0,0.0
34,PAYMENT,24953.5,C952287663,30440.0,5486.5,M1143750577,0.0,0.0
34,CASH_IN,64270.11,C1003753010,3562.0,67832.11,C158017058,32287.12,0.0
34,PAYMENT,9969.34,C276627201,67832.11,57862.78,M1042123544,0.0,0.0
34,CASH_OUT,415378.46,C468318941,528.0,0.0,C1802690147,464.0,415842.46
34,CASH_OUT,298135.35,C5755404,0.0,0.0,C1411672821,545236.87,843372.22
34,CASH_OUT,2669.32,C1998893552,0.0,0.0,C1413069598,5167871.09,5170540.4
34,CASH_OUT,222092.26,C624144711,32260.0,0.0,C1046688960,80381.33,302473.59
34,PAYMENT,27486.0,C1910020142,1703.0,0.0,M1327625131,0.0,0.0
34,CASH_OUT,201937.1,C500723854,40810.0,0.0,C1748725857,1162122.21,1364059.31
34,CASH_OUT,165450.93,C634999803,849.0,0.0,C1830469844,1661743.62,1827194.55
34,PAYMENT,6285.59,C284534406,57500.0,51214.41,M1351201688,0.0,0.0
34,CASH_OUT,473008.59,C244053255,51214.41,0.0,C1252386680,2666557.25,3139565.85
34,CASH_OUT,155887.91,C1629628838,0.0,0.0,C110416257,4633827.95,4789715.85
34,CASH_OUT,152651.03,C1549693586,21430.0,0.0,C372439741,657507.05,810158.07
34,TRANSFER,2051989.11,C1104547826,0.0,0.0,C815905200,6872889.97,8924879.08
34,PAYMENT,3365.45,C270854402,1330.0,0.0,M1614515641,0.0,0.0
34,CASH_OUT,333296.41,C1339996622,753.0,0.0,C1324196239,3349182.06,3682478.48
34,PAYMENT,8656.72,C1049007704,0.0,0.0,M157090931,0.0,0.0
34,CASH_OUT,455375.74,C892798628,133.0,0.0,C488209484,386981.85,842357.59
34,CASH_OUT,154876.26,C253610245,5760.0,0.0,C1494895909,4936881.56,5091757.82
34,PAYMENT,1375.79,C86227688,474.0,0.0,M1681672355,0.0,0.0
34,PAYMENT,10864.56,C1764978854,0.0,0.0,M134732132,0.0,0.0
34,CASH_OUT,146949.84,C275498614,100166.0,0.0,C1613757312,194331.48,341281.32
34,CASH_IN,291466.79,C370470280,105998.0,397464.79,C1492603101,40417.53,0.0
34,PAYMENT,35813.15,C1691359660,99167.0,63353.85,M1386881195,0.0,0.0
34,PAYMENT,4781.12,C482088190,257.0,0.0,M762696268,0.0,0.0
34,PAYMENT,1281.4,C1233957687,10968.0,9686.6,M1252031957,0.0,0.0
34,CASH_OUT,80430.58,C919047067,200392.0,119961.42,C1771912965,10676.49,91107.07
34,CASH_OUT,480820.84,C899930301,157.0,0.0,C132908239,0.0,480820.84
34,CASH_OUT,110859.88,C421187637,0.0,0.0,C1426135308,791795.91,902655.78
34,CASH_IN,71962.06,C1344096278,517729.0,589691.06,C1965457932,39365.15,0.0
34,PAYMENT,2930.9,C1519160029,589691.06,586760.16,M1900140289,0.0,0.0
34,PAYMENT,5352.16,C1041574500,586760.16,581407.99,M83003464,0.0,0.0
34,PAYMENT,20960.73,C974528617,581407.99,560447.27,M1158681077,0.0,0.0
34,PAYMENT,12453.63,C1388401977,560447.27,547993.63,M1113667553,0.0,0.0
34,PAYMENT,15004.79,C1233081004,547993.63,532988.85,M203779535,0.0,0.0
34,PAYMENT,32108.28,C1419090415,532988.85,500880.57,M528507555,0.0,0.0
34,PAYMENT,13854.86,C744077773,500880.57,487025.71,M188080796,0.0,0.0
34,PAYMENT,2899.0,C1930909940,487025.71,484126.72,M1872673103,0.0,0.0
34,PAYMENT,20526.4,C250147488,484126.72,463600.32,M711835875,0.0,0.0
34,PAYMENT,10173.17,C1668607394,463600.32,453427.14,M2042258498,0.0,0.0
