step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
296,TRANSFER,40593.23,C1712808449,40593.23,0.0,C1997838913,0.0,0.0
296,CASH_OUT,40593.23,C1911506122,40593.23,0.0,C1767820890,173347.8,213941.02
296,TRANSFER,890964.06,C1313129154,890964.06,0.0,C42915246,0.0,0.0
296,CASH_OUT,890964.06,C976894617,890964.06,0.0,C2053643947,171113.6,1062077.66
296,TRANSFER,1.0E7,C1734365365,1.559141449E7,5591414.49,C1564795146,0.0,0.0
296,CASH_OUT,1.0E7,C1814200711,1.0E7,0.0,C270577353,920463.99,1.092046399E7
296,TRANSFER,5591414.49,C68688915,5591414.49,0.0,C1379652013,0.0,0.0
296,CASH_OUT,5591414.49,C1864175867,5591414.49,0.0,C556373412,686963.07,6278377.55
296,TRANSFER,716273.17,C178061397,716273.17,0.0,C1590888168,0.0,0.0
296,CASH_OUT,716273.17,C1917556280,716273.17,0.0,C1744308202,0.0,716273.17
296,TRANSFER,282272.93,C922219750,282272.93,0.0,C1107412386,0.0,0.0
296,CASH_OUT,282272.93,C837464075,282272.93,0.0,C1037384301,142251.44,424524.37
296,TRANSFER,717046.74,C1732292791,717046.74,0.0,C1402438091,0.0,0.0
296,CASH_OUT,717046.74,C1696223343,717046.74,0.0,C1922098798,313951.85,1030998.59
296,TRANSFER,3080973.39,C1431002212,3080973.39,0.0,C278143037,0.0,0.0
296,CASH_OUT,3080973.39,C2110692683,3080973.39,0.0,C1822459038,201833.93,3282807.32
296,TRANSFER,3043141.07,C526995277,3043141.07,0.0,C975347823,0.0,0.0
296,CASH_OUT,3043141.07,C684191207,3043141.07,0.0,C189328986,112602.16,3155743.23
296,TRANSFER,261874.86,C660614375,261874.86,0.0,C542723764,0.0,0.0
296,CASH_OUT,261874.86,C785242501,261874.86,0.0,C1518978853,0.0,261874.86
296,TRANSFER,312151.06,C2064377910,312151.06,0.0,C480066834,0.0,0.0
296,CASH_OUT,312151.06,C1815382629,312151.06,0.0,C1669165813,181590.34,493741.41
