step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
493,CASH_OUT,317334.6,C2091683615,23611.0,0.0,C1896329077,1256982.55,1574317.16
493,PAYMENT,3011.6,C2027669372,831.0,0.0,M1677146544,0.0,0.0
493,TRANSFER,466436.6,C1821856451,99974.0,0.0,C1571315333,404910.04,871346.64
493,PAYMENT,19951.75,C1952181305,37326.0,17374.25,M1386034665,0.0,0.0
493,CASH_OUT,81605.52,C142453939,33377.0,0.0,C733447522,8397936.36,8479541.89
493,TRANSFER,1214511.61,C1579869749,1214511.61,0.0,C1291615113,0.0,0.0
493,CASH_OUT,1214511.61,C1966863341,1214511.61,0.0,C570490831,0.0,1214511.61
493,PAYMENT,914.3,C1311945438,18136.0,17221.7,M735025055,0.0,0.0
493,CASH_OUT,34418.02,C584963997,5001.0,0.0,C792438554,87425.77,121843.79
493,CASH_IN,33273.84,C148110512,11698.0,44971.84,C376502122,6445677.41,6412403.57
493,CASH_IN,261158.28,C1403788086,150725.0,411883.28,C956270153,0.0,0.0
493,PAYMENT,371.21,C67640755,411883.28,411512.07,M1210401680,0.0,0.0
493,CASH_IN,346903.57,C1602486360,90602.0,437505.57,C2023518666,0.0,0.0
493,PAYMENT,7228.25,C1816315189,20900.0,13671.75,M686008459,0.0,0.0
493,CASH_OUT,15297.38,C1253595076,4181.0,0.0,C217376793,157650.08,172947.47
493,CASH_OUT,215815.56,C901847051,0.0,0.0,C1226519707,2504912.84,2720728.39
493,CASH_OUT,97228.45,C1339033835,1922.0,0.0,C1135945296,210246.43,307474.88
493,CASH_IN,124745.02,C2051163754,35160.0,159905.02,C915430659,96112.02,0.0
493,CASH_OUT,498874.74,C1925982353,49132.0,0.0,C1987466390,166803.61,665678.35
493,CASH_OUT,427232.48,C1332766595,21235.0,0.0,C1309659194,0.0,427232.48
493,PAYMENT,26691.85,C11057622,195.0,0.0,M1748094655,0.0,0.0
493,CASH_IN,190829.21,C2074798984,147884.0,338713.21,C1836988147,1245073.5,1054244.29
493,CASH_OUT,259829.79,C933943041,15166.0,0.0,C76979127,1207536.94,1467366.73
493,CASH_IN,218716.94,C1913241131,223.0,218939.94,C94014601,303488.49,84771.55
493,CASH_IN,89721.31,C346804963,218939.94,308661.25,C378586386,564740.58,475019.27
493,CASH_IN,333922.5,C946965845,308661.25,642583.75,C493054833,345602.37,11679.87
493,CASH_IN,138436.38,C1493321605,642583.75,781020.12,C954844269,472532.45,334096.08
493,CASH_IN,98050.61,C1715819112,781020.12,879070.73,C1247150775,7713742.01,7615691.4
493,CASH_IN,245671.88,C741587081,879070.73,1124742.61,C994295106,1942282.65,1696610.76
493,CASH_IN,48681.11,C412914559,1124742.61,1173423.73,C1129467798,6541457.33,6492776.22
493,CASH_IN,339644.69,C1407828358,1173423.73,1513068.42,C1332550677,934976.63,595331.94
493,CASH_IN,160414.39,C536022913,1513068.42,1673482.81,C1664754826,3879102.91,3718688.52
493,CASH_IN,83463.14,C775232262,1673482.81,1756945.95,C194216627,271523.15,188060.01
493,CASH_IN,166926.35,C1389257428,1756945.95,1923872.3,C2003687767,200360.58,33434.23
493,CASH_IN,120979.56,C1328971002,1923872.3,2044851.86,C1313122029,570822.15,449842.59
493,CASH_IN,62225.41,C1220476314,2044851.86,2107077.27,C6323250,514146.32,451920.91
493,CASH_IN,146064.54,C1314206368,2107077.27,2253141.81,C1989431937,1.783307806E7,1.768701352E7
493,PAYMENT,31690.29,C1873551740,42563.0,10872.71,M327242207,0.0,0.0
493,CASH_IN,167667.26,C745290776,2917.0,170584.26,C1618008062,0.0,0.0
493,PAYMENT,8843.15,C1263258375,170584.26,161741.11,M1172485331,0.0,0.0
493,CASH_IN,366236.79,C1551108633,21797.0,388033.79,C1935494153,0.0,0.0
493,CASH_OUT,228575.09,C297103731,388033.79,159458.7,C1892177974,404186.66,632761.75
493,CASH_OUT,416725.85,C70489009,77731.0,0.0,C950116275,483159.85,899885.7
493,TRANSFER,1618115.49,C1420291016,10276.0,0.0,C1945582711,8683083.58,1.030119907E7
493,PAYMENT,1810.13,C679413639,0.0,0.0,M318489874,0.0,0.0
493,CASH_OUT,123702.4,C172847847,42359.0,0.0,C56666260,36369.6,160072.0
493,PAYMENT,25414.13,C1642013133,39769.0,14354.87,M835473742,0.0,0.0
