step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
115,TRANSFER,120232.13,C250418765,120232.13,0.0,C1387576762,0.0,0.0
115,CASH_OUT,120232.13,C978703019,120232.13,0.0,C786116491,2419860.01,2540092.14
115,TRANSFER,1844357.26,C1543576546,1844357.26,0.0,C1140609516,0.0,0.0
115,CASH_OUT,1844357.26,C60777377,1844357.26,0.0,C92525321,3549005.46,5393362.71
115,TRANSFER,1001167.03,C1705399009,1001167.03,0.0,C625524494,0.0,0.0
115,CASH_OUT,1001167.03,C1903297652,1001167.03,0.0,C851937225,4960.52,1006127.56
115,TRANSFER,116977.16,C637063091,116977.16,0.0,C835865588,0.0,0.0
115,CASH_OUT,116977.16,C1560425158,116977.16,0.0,C1666306933,285995.28,402972.44
115,TRANSFER,530377.28,C1741821297,530377.28,0.0,C182731485,0.0,0.0
115,CASH_OUT,530377.28,C711344285,530377.28,0.0,C726473569,232558.45,762935.73
