step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
513,TRANSFER,159724.42,C525368307,159724.42,0.0,C576603787,0.0,0.0
513,CASH_OUT,159724.42,C1923821015,159724.42,0.0,C993688560,1148566.96,1308291.39
513,TRANSFER,100762.66,C1956153876,100762.66,0.0,C515991541,0.0,0.0
513,CASH_OUT,100762.66,C1991632436,100762.66,0.0,C693486169,0.0,100762.66
513,TRANSFER,168033.36,C1780909298,168033.36,0.0,C1196822116,0.0,0.0
513,CASH_OUT,168033.36,C1095293428,168033.36,0.0,C1796245916,1007215.9,1175249.26
513,TRANSFER,1530378.45,C1898980323,1530378.45,0.0,C458386953,0.0,0.0
513,CASH_OUT,1530378.45,C678293431,1530378.45,0.0,C1229558199,0.0,1530378.45
513,TRANSFER,217506.28,C1983049564,217506.28,0.0,C991884461,0.0,0.0
513,CASH_OUT,217506.28,C1899106071,217506.28,0.0,C1046276504,78480.8,295987.08
