step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
65,TRANSFER,701168.78,C1422133318,701168.78,0.0,C548676992,0.0,0.0
65,CASH_OUT,701168.78,C1795901064,701168.78,0.0,C1652576276,841462.58,1542631.35
65,TRANSFER,446032.95,C1116093088,446032.95,0.0,C506992553,0.0,0.0
65,CASH_OUT,446032.95,C289101217,446032.95,0.0,C514505298,205977.41,652010.36
65,TRANSFER,385556.82,C1699346936,385556.82,0.0,C27494611,0.0,0.0
65,CASH_OUT,385556.82,C1422380255,385556.82,0.0,C947026739,60032.11,445588.93
65,TRANSFER,3760068.04,C661110749,3760068.04,0.0,C90361142,0.0,0.0
65,CASH_OUT,3760068.04,C1824157901,3760068.04,0.0,C675598051,622555.65,4382623.69
65,TRANSFER,1282971.57,C1175896731,1282971.57,0.0,C1714931087,0.0,0.0
65,CASH_OUT,1282971.57,C744316850,1282971.57,0.0,C1365960800,392604.6,1675576.17
65,TRANSFER,881811.11,C920552627,881811.11,0.0,C1105243161,0.0,0.0
65,CASH_OUT,881811.11,C157136573,881811.11,0.0,C882992570,141736.75,1023547.85
65,TRANSFER,174923.28,C2041556759,174923.28,0.0,C1497527382,0.0,0.0
65,CASH_OUT,174923.28,C1061805919,174923.28,0.0,C1217320472,0.0,174923.28
65,TRANSFER,403975.39,C2112892697,403975.39,0.0,C1785871119,0.0,0.0
65,CASH_OUT,403975.39,C435979844,403975.39,0.0,C29687546,0.0,403975.39
65,TRANSFER,126690.14,C498025851,126690.14,0.0,C892311426,0.0,0.0
65,CASH_OUT,126690.14,C1827521206,126690.14,0.0,C1015650621,353834.29,480524.43
65,TRANSFER,215.83,C270115029,215.83,0.0,C1574358644,0.0,0.0
65,CASH_OUT,215.83,C1831520820,215.83,0.0,C331175512,3563442.24,3563658.07
