step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
329,CASH_OUT,308316.71,C1772485290,9967.0,0.0,C501124258,696517.41,1038830.48
329,PAYMENT,1985.56,C1916569511,14924.0,12938.44,M1649667749,0.0,0.0
329,CASH_OUT,396762.83,C795873308,8572.0,0.0,C1979755974,104221.23,500984.06
329,PAYMENT,39848.35,C1766252530,320617.0,280768.65,M2144435394,0.0,0.0
329,TRANSFER,522714.98,C42636123,50665.0,0.0,C1568486928,224011.89,746726.87
329,CASH_OUT,137507.71,C760583142,298325.0,160817.29,C1754659277,388430.47,525938.18
329,PAYMENT,46640.22,C1915969777,30435.0,0.0,M116401433,0.0,0.0
329,PAYMENT,4012.29,C1354137303,0.0,0.0,M1375542660,0.0,0.0
329,PAYMENT,21319.41,C950066082,49831.0,28511.59,M1073740098,0.0,0.0
329,CASH_OUT,223455.65,C1549564076,183.0,0.0,C1918638386,40313.37,263769.02
329,TRANSFER,756718.47,C1702121374,550.0,0.0,C1156197245,607546.15,1364264.62
329,CASH_IN,101772.35,C1538778457,41419.0,143191.35,C830607330,11076.0,0.0
329,PAYMENT,42141.47,C457323140,10517.0,0.0,M618963032,0.0,0.0
329,PAYMENT,20486.12,C1672152037,0.0,0.0,M131248100,0.0,0.0
329,CASH_OUT,279792.0,C227437448,47.0,0.0,C872297458,0.0,279792.0
329,PAYMENT,16383.62,C216660993,0.0,0.0,M937845330,0.0,0.0
329,DEBIT,3657.74,C635000517,63690.0,60032.26,C2144755071,5531405.52,5535063.26
329,CASH_OUT,172863.07,C1542826973,60032.26,0.0,C583376830,932183.6,1105046.67
329,CASH_OUT,107480.06,C415190358,0.0,0.0,C450795435,2000261.64,2107741.7
329,CASH_OUT,459047.06,C483350753,20388.0,0.0,C1779816231,14691.41,473738.46
329,TRANSFER,727037.22,C1934576323,24204.0,0.0,C1027839172,0.0,727037.22
329,CASH_OUT,550686.27,C93502516,0.0,0.0,C1898676981,724740.53,1275426.79
329,CASH_OUT,25945.37,C1730511917,107255.0,81309.63,C1652496140,321511.87,347457.25
329,CASH_OUT,229125.47,C21741688,209148.0,0.0,C1135466465,0.0,229125.47
329,CASH_IN,146147.03,C148609984,43752.0,189899.03,C247789874,407182.38,261035.36
329,PAYMENT,22791.67,C414774771,59735.0,36943.33,M1400315429,0.0,0.0
329,PAYMENT,25313.86,C216026163,36939.0,11625.14,M1479660532,0.0,0.0
329,CASH_OUT,92920.22,C133804652,871898.0,778977.78,C1949971270,1545369.6,1638289.83
329,CASH_OUT,219236.68,C1813250688,12171.0,0.0,C940352871,0.0,219236.68
329,CASH_IN,276951.24,C1654348517,201439.0,478390.24,C146054160,291985.22,15033.99
329,CASH_OUT,3323.11,C878938929,478390.24,475067.13,C2015842726,954355.59,957678.7
329,CASH_OUT,375846.24,C2126722307,475067.13,99220.89,C1491423862,377488.01,753334.25
329,CASH_OUT,41028.28,C839854169,188203.0,147174.72,C200698899,439168.37,480196.65
329,CASH_IN,231797.32,C184225935,6768.0,238565.32,C2128106705,100428.21,0.0
329,CASH_OUT,140177.75,C585709794,238565.32,98387.57,C875830058,1290630.19,1430807.94
329,PAYMENT,15941.05,C1164274321,215764.0,199822.95,M241422212,0.0,0.0
329,TRANSFER,1981902.99,C1548671407,21553.0,0.0,C1529829059,269960.82,2251863.8
329,PAYMENT,5675.02,C931910892,0.0,0.0,M1507070318,0.0,0.0
329,CASH_OUT,244421.49,C1239153215,15714.0,0.0,C262228976,212105.34,456526.83
329,TRANSFER,215475.66,C1668464906,100359.0,0.0,C1215491340,377909.22,593384.88
329,CASH_IN,523104.88,C179782972,326331.0,849435.88,C485482816,0.0,0.0
329,PAYMENT,8774.79,C1938913893,849435.88,840661.1,M1703771178,0.0,0.0
329,PAYMENT,20284.17,C276994816,840661.1,820376.92,M548184713,0.0,0.0
329,PAYMENT,44342.42,C1477879467,198245.0,153902.58,M1450503599,0.0,0.0
329,CASH_OUT,104141.08,C1378494202,153902.58,49761.5,C932254471,413231.76,517372.84
329,CASH_OUT,44047.66,C391610076,32813.0,0.0,C1871365942,0.0,44047.66
329,CASH_IN,119319.95,C2056892771,207850.0,327169.95,C278027440,0.0,0.0
329,CASH_OUT,225851.49,C191967754,50825.0,0.0,C1391310505,0.0,225851.49
329,PAYMENT,17247.43,C141543528,0.0,0.0,M618849831,0.0,0.0
329,PAYMENT,13399.08,C323438961,0.0,0.0,M296011889,0.0,0.0
329,CASH_OUT,348063.64,C1736339109,6784.0,0.0,C2101064182,1158946.57,1507010.21
329,CASH_IN,71935.02,C1411284915,1594.0,73529.02,C2095961407,0.0,0.0
329,CASH_OUT,115469.1,C2101065856,39466.0,0.0,C1618706646,6939991.88,7055460.98
329,PAYMENT,2434.59,C1256919062,0.0,0.0,M1593070760,0.0,0.0
329,CASH_IN,11744.86,C2041600802,426.0,12170.86,C1662863808,0.0,0.0
329,TRANSFER,778993.99,C1508836140,3708.0,0.0,C89414172,4745.51,783739.51
329,PAYMENT,31984.0,C1268171687,1160.0,0.0,M926650217,0.0,0.0
329,CASH_OUT,165753.21,C1277803495,31460.0,0.0,C1870482494,1301163.65,1771177.39
329,TRANSFER,364168.13,C1845376813,0.0,0.0,C1467603857,2176101.25,2540269.39
329,CASH_OUT,268386.74,C277371598,30014.0,0.0,C493664632,3501340.29,3769727.03
329,PAYMENT,21574.76,C2074337137,30588.0,9013.24,M2060756321,0.0,0.0
329,TRANSFER,63337.74,C1720689225,9013.24,0.0,C1400960016,926576.32,989914.06
329,TRANSFER,221185.52,C881052284,0.0,0.0,C1228907315,4113780.42,4334965.94
329,TRANSFER,437791.3,C1371460554,0.0,0.0,C499864133,2202798.9,2640590.19
329,TRANSFER,351236.01,C236886833,0.0,0.0,C826888558,753113.81,1104349.82
329,TRANSFER,604914.35,C353959249,0.0,0.0,C1196133721,2128084.62,2732998.97
329,TRANSFER,251763.39,C1063388580,0.0,0.0,C904883401,2442091.9,2693855.28
329,TRANSFER,1645728.86,C409317633,0.0,0.0,C1840844463,2784839.96,4430568.82
329,TRANSFER,1354953.4,C1658353199,0.0,0.0,C661757508,3288245.52,4643198.93
329,TRANSFER,1352942.47,C821620048,0.0,0.0,C1120989508,1.131056692E7,1.266350939E7
