step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
193,CASH_IN,14325.36,C1157037428,104279.0,118604.36,C2013378586,842907.92,828582.55
193,PAYMENT,16488.58,C1263007527,2237.0,0.0,M663088239,0.0,0.0
193,DEBIT,2347.44,C1796725826,7698.0,5350.56,C990446867,2640580.4,2642927.84
193,PAYMENT,37843.73,C419004681,50532.0,12688.27,M1827910654,0.0,0.0
193,CASH_OUT,77004.92,C1688067227,12688.27,0.0,C1677754307,2950176.56,3027181.48
193,PAYMENT,5201.37,C826141062,11580.0,6378.63,M1696126817,0.0,0.0
193,PAYMENT,37593.23,C335930495,11011.0,0.0,M519474016,0.0,0.0
193,DEBIT,4077.35,C1079582945,6538.0,2460.65,C785814821,74119.56,78196.91
193,PAYMENT,15819.36,C1675183188,51407.0,35587.64,M1480876620,0.0,0.0
193,PAYMENT,56816.79,C1917013935,109.0,0.0,M2064918318,0.0,0.0
193,PAYMENT,3285.7,C1388718076,489171.0,485885.3,M703293930,0.0,0.0
193,PAYMENT,39385.98,C1094546767,47122.0,7736.02,M457836305,0.0,0.0
193,CASH_OUT,249544.02,C2018523715,7736.02,0.0,C1312657483,465431.0,714975.03
193,PAYMENT,13639.53,C168212634,41451.0,27811.47,M540746648,0.0,0.0
193,PAYMENT,46085.33,C1795344897,1297.0,0.0,M318338816,0.0,0.0
193,PAYMENT,94565.2,C755290029,48355.0,0.0,M1415192182,0.0,0.0
193,PAYMENT,44312.0,C703960126,48449.0,4137.0,M1894623095,0.0,0.0
193,DEBIT,3820.56,C2065659744,12437.0,8616.44,C121171730,327107.95,330928.51
193,PAYMENT,17677.95,C2142400475,55416.0,37738.05,M2053324919,0.0,0.0
193,PAYMENT,42601.11,C1739097683,208319.0,165717.89,M1728862641,0.0,0.0
193,PAYMENT,9996.5,C195833404,165717.89,155721.39,M1806481350,0.0,0.0
193,PAYMENT,101385.43,C1209351934,13157.0,0.0,M1305552796,0.0,0.0
193,PAYMENT,15131.14,C661011924,412.0,0.0,M695905401,0.0,0.0
193,PAYMENT,17599.59,C1215923558,51244.0,33644.41,M206616114,0.0,0.0
193,CASH_OUT,247968.72,C449749745,33644.41,0.0,C224308862,3187398.5,3435367.22
193,CASH_OUT,34345.86,C1714150581,0.0,0.0,C510214901,62367.24,96713.1
193,PAYMENT,85197.17,C1652369315,83534.0,0.0,M1796603128,0.0,0.0
193,PAYMENT,3559.71,C77791809,0.0,0.0,M1020639252,0.0,0.0
193,PAYMENT,86556.74,C933154834,126427.0,39870.26,M1940391973,0.0,0.0
193,DEBIT,1071.92,C1862647067,215527.0,214455.08,C1291285701,113254.91,114326.83
193,PAYMENT,126573.34,C2114043383,5545.0,0.0,M1063185509,0.0,0.0
193,TRANSFER,15153.41,C209986187,5005.0,0.0,C427633096,73577.16,88730.57
193,CASH_OUT,181557.5,C1311484773,0.0,0.0,C1185591715,2450071.36,2631628.87
193,CASH_OUT,249989.41,C1035356498,0.0,0.0,C845155161,610245.87,860235.28
193,CASH_OUT,1306.17,C1967372101,0.0,0.0,C160317699,69708.99,71015.16
193,CASH_OUT,3644.1,C1493058332,0.0,0.0,C232052097,2314456.76,2318100.86
193,PAYMENT,132818.37,C1268624357,5160.0,0.0,M1156486941,0.0,0.0
193,PAYMENT,47857.76,C754973018,188.0,0.0,M104049018,0.0,0.0
193,PAYMENT,26261.24,C551024858,39717.0,13455.76,M280085922,0.0,0.0
193,CASH_OUT,171539.49,C1138215879,13455.76,0.0,C1899600837,756943.85,928483.34
193,PAYMENT,100179.89,C1488245438,30855.0,0.0,M1203433562,0.0,0.0
193,PAYMENT,19214.45,C1496883674,12909.0,0.0,M617398473,0.0,0.0
193,TRANSFER,1167516.32,C1519638476,0.0,0.0,C390525651,1.012003053E7,1.128754685E7
193,PAYMENT,32323.78,C1253823716,24515.0,0.0,M1452378648,0.0,0.0
193,PAYMENT,27056.78,C345625227,110454.0,83397.22,M1357924963,0.0,0.0
193,PAYMENT,5643.55,C1157146733,83397.22,77753.67,M509815712,0.0,0.0
193,PAYMENT,26607.69,C1152692077,11401.0,0.0,M382027466,0.0,0.0
193,PAYMENT,11973.43,C402603967,252802.0,240828.57,M281426123,0.0,0.0
193,PAYMENT,20190.87,C1902649977,96646.0,76455.13,M1302845832,0.0,0.0
193,PAYMENT,76582.77,C600507716,11702.0,0.0,M40530326,0.0,0.0
193,PAYMENT,41825.33,C849469512,20929.0,0.0,M1094255629,0.0,0.0
193,PAYMENT,84353.19,C975423563,132938.0,48584.81,M1804925016,0.0,0.0
193,PAYMENT,9274.13,C1451943618,48584.81,39310.67,M1595578738,0.0,0.0
193,PAYMENT,3695.66,C2078241610,39310.67,35615.02,M935662161,0.0,0.0
193,PAYMENT,5286.61,C913858205,35615.02,30328.41,M1034059817,0.0,0.0
193,PAYMENT,3587.6,C1030218228,30328.41,26740.81,M573520787,0.0,0.0
193,PAYMENT,12719.75,C1448547837,26740.81,14021.06,M2145219798,0.0,0.0
193,PAYMENT,10406.68,C2100777624,14021.06,3614.38,M639573262,0.0,0.0
193,PAYMENT,10701.14,C1208556749,3614.38,0.0,M1558624990,0.0,0.0
193,PAYMENT,1719.47,C453148744,0.0,0.0,M1160452427,0.0,0.0
193,PAYMENT,3894.37,C1162123863,0.0,0.0,M740157547,0.0,0.0
193,PAYMENT,44659.38,C588393824,105447.0,60787.62,M1047431432,0.0,0.0
193,PAYMENT,4423.74,C1603873456,60787.62,56363.88,M470081432,0.0,0.0
193,PAYMENT,2064.28,C785352789,3546.0,1481.72,M1680044621,0.0,0.0
193,PAYMENT,85899.03,C1928927443,38275.0,0.0,M1211887883,0.0,0.0
193,CASH_OUT,158759.18,C442783097,0.0,0.0,C2098180849,524219.52,682978.71
193,CASH_OUT,225945.21,C1705700706,0.0,0.0,C734120916,770199.2,996144.42
193,CASH_OUT,53094.74,C1596935812,0.0,0.0,C611274603,205864.96,258959.7
193,CASH_OUT,81997.48,C1208704963,0.0,0.0,C1993335720,5603621.88,5685619.36
193,CASH_OUT,97039.74,C1887179814,0.0,0.0,C1601608252,3734014.35,3831054.08
193,CASH_OUT,127398.28,C1108289206,0.0,0.0,C1608783483,192066.12,319464.41
193,CASH_OUT,279000.78,C1735461661,0.0,0.0,C980469544,6279562.53,6558563.31
193,CASH_OUT,120230.11,C1964418423,0.0,0.0,C1483935096,145617.8,265847.9
193,CASH_OUT,81793.57,C1700483799,0.0,0.0,C909133386,184581.51,266375.08
193,CASH_OUT,163959.71,C1591403100,0.0,0.0,C805281798,1807825.87,1971785.58
193,CASH_OUT,11978.89,C832316281,0.0,0.0,C761442503,5595456.66,5607435.56
193,CASH_OUT,103710.81,C1902183712,0.0,0.0,C454102004,291320.11,395030.92
193,CASH_OUT,75841.79,C1318272049,0.0,0.0,C1544042662,749537.23,825379.03
193,CASH_OUT,150527.95,C1205006269,0.0,0.0,C756335998,920257.81,1070785.76
193,CASH_OUT,83585.58,C394628053,0.0,0.0,C160147447,361655.8,445241.38
193,PAYMENT,69042.69,C1848955904,252025.0,182982.31,M957423427,0.0,0.0
193,PAYMENT,39250.64,C1768861915,30738.0,0.0,M1376670976,0.0,0.0
193,PAYMENT,6548.38,C441589653,0.0,0.0,M722002075,0.0,0.0
193,PAYMENT,73692.62,C930899273,100750.0,27057.38,M402292979,0.0,0.0
193,CASH_OUT,332558.26,C492735278,27057.38,0.0,C424999728,1.4631497E7,1.496405525E7
193,PAYMENT,61362.93,C1899932710,20872.0,0.0,M624740709,0.0,0.0
193,PAYMENT,18387.38,C1719810089,6217.0,0.0,M267180076,0.0,0.0
193,PAYMENT,2539.14,C196545131,0.0,0.0,M1216581017,0.0,0.0
193,PAYMENT,6883.42,C1060612048,0.0,0.0,M1458779554,0.0,0.0
193,PAYMENT,43307.45,C1696897349,48882.0,5574.55,M824127293,0.0,0.0
193,PAYMENT,9332.78,C865339369,6027.0,0.0,M2089118236,0.0,0.0
193,PAYMENT,2764.53,C1034562168,0.0,0.0,M1963232311,0.0,0.0
193,PAYMENT,90764.2,C1723627057,161.0,0.0,M834549104,0.0,0.0
193,PAYMENT,105542.08,C1563107541,32911.0,0.0,M211778163,0.0,0.0
193,PAYMENT,28204.14,C160929839,90738.0,62533.86,M1229072856,0.0,0.0
193,PAYMENT,39463.32,C1298892205,99984.0,60520.68,M978330257,0.0,0.0
193,PAYMENT,147076.81,C255038228,16011.0,0.0,M1466398659,0.0,0.0
193,PAYMENT,13672.89,C1177605743,109956.0,96283.11,M2110730386,0.0,0.0
193,PAYMENT,57172.43,C1861728012,17334.0,0.0,M37883006,0.0,0.0
193,PAYMENT,572.28,C1107370487,0.0,0.0,M1187959429,0.0,0.0
193,PAYMENT,11399.14,C357712519,0.0,0.0,M123833775,0.0,0.0
193,PAYMENT,22826.72,C1285818925,11528.0,0.0,M2093917126,0.0,0.0
193,PAYMENT,34923.03,C2073006242,30670.0,0.0,M1879598729,0.0,0.0
193,CASH_IN,24459.41,C479326151,13542.0,38001.41,C54854408,0.0,0.0
