step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
667,CASH_OUT,69855.01,C1904127941,307098.0,237242.99,C533329461,104111.64,173966.66
667,CASH_IN,57111.0,C424121158,32123.0,89234.0,C717225084,171629.75,114518.75
667,PAYMENT,20903.48,C744454988,89234.0,68330.52,M2024206318,0.0,0.0
667,PAYMENT,9035.99,C2082629560,68330.52,59294.53,M1507460825,0.0,0.0
667,PAYMENT,21349.24,C235439029,59294.53,37945.29,M1100928005,0.0,0.0
667,PAYMENT,12824.7,C778990633,37945.29,25120.59,M663442419,0.0,0.0
667,PAYMENT,1086.76,C1834248604,25120.59,24033.83,M1516091087,0.0,0.0
667,PAYMENT,24178.22,C131030673,24033.83,0.0,M2057736528,0.0,0.0
667,PAYMENT,5647.72,C888151825,0.0,0.0,M53226638,0.0,0.0
667,PAYMENT,29934.46,C2129318316,0.0,0.0,M805888816,0.0,0.0
667,PAYMENT,24983.91,C70544055,0.0,0.0,M1721659107,0.0,0.0
667,PAYMENT,1003.61,C1322365997,0.0,0.0,M959958948,0.0,0.0
667,PAYMENT,13460.25,C510749671,0.0,0.0,M185460668,0.0,0.0
667,CASH_OUT,80084.35,C1220430380,9990.0,0.0,C1189646667,0.0,80084.35
667,PAYMENT,4366.82,C1341388400,116036.0,111669.18,M1523094074,0.0,0.0
667,CASH_IN,253211.73,C1050459864,84179.0,337390.73,C2016829197,1651572.25,1398360.52
667,PAYMENT,6229.26,C71920653,257174.0,250944.74,M1415137922,0.0,0.0
667,PAYMENT,23996.9,C1251887985,250944.74,226947.83,M296703620,0.0,0.0
667,CASH_IN,222016.25,C1581873592,85441.0,307457.25,C988661163,148890.64,0.0
667,PAYMENT,6337.45,C1079653801,128.0,0.0,M2015832848,0.0,0.0
667,CASH_OUT,76828.55,C324487654,106911.0,30082.45,C1069392964,6053275.94,6130104.49
667,CASH_OUT,251806.14,C105281165,30082.45,0.0,C58091935,687536.87,939343.01
667,PAYMENT,3883.45,C396422289,50536.0,46652.55,M1453206238,0.0,0.0
667,CASH_OUT,89090.62,C2133807506,125988.0,36897.38,C1574376364,0.0,89090.62
667,CASH_OUT,265596.83,C1248375524,36897.38,0.0,C653577876,2949694.83,3215291.66
667,CASH_IN,43217.88,C1513884508,10216.0,53433.88,C2051457790,827669.13,784451.26
667,CASH_OUT,112009.74,C2110984735,6009.0,0.0,C1455799687,2545153.84,2657163.57
667,CASH_IN,281986.17,C2020966390,200865.0,482851.17,C1450087959,28307.33,0.0
667,PAYMENT,14650.77,C1996823950,103181.0,88530.23,M1306103513,0.0,0.0
667,CASH_OUT,39875.79,C679423639,369800.0,329924.21,C1687475131,1411177.73,1451053.53
667,CASH_OUT,129630.64,C2066120353,22075.0,0.0,C1698911116,329436.25,459066.89
667,PAYMENT,1319.33,C605091110,35680.0,34360.67,M624822331,0.0,0.0
667,CASH_IN,94543.07,C1952747933,34360.67,128903.74,C338477740,1.513812924E7,1.504358617E7
667,CASH_IN,214550.41,C1023359686,128903.74,343454.14,C1354169832,215236.88,686.47
667,CASH_IN,261326.48,C526729658,343454.14,604780.62,C1793811175,6006813.52,5745487.04
667,CASH_IN,13062.81,C1255140797,604780.62,617843.43,C1094209106,362524.4,349461.59
667,CASH_IN,102463.08,C444032256,617843.43,720306.51,C807935066,204448.91,101985.84
667,CASH_IN,296721.02,C1604015490,720306.51,1017027.53,C619732445,1341654.78,1044933.75
667,CASH_IN,120133.08,C1791403866,1017027.53,1137160.62,C1130589739,121058.08,924.99
667,CASH_IN,145679.02,C1607536058,1137160.62,1282839.63,C568093002,1005150.03,859471.01
667,CASH_IN,215813.26,C2125409317,1282839.63,1498652.89,C1652226215,616260.24,400446.98
667,CASH_IN,90599.53,C2065514807,1498652.89,1589252.42,C1743507886,4179842.62,4089243.09
667,CASH_IN,28631.64,C616482169,1589252.42,1617884.06,C1382152610,294870.26,266238.62
667,CASH_IN,80105.59,C1934991497,1617884.06,1697989.65,C1652699920,2102068.87,2021963.28
667,CASH_IN,280079.79,C1948017858,1697989.65,1978069.43,C1781410358,2007773.01,1727693.22
667,CASH_IN,227037.97,C1704564623,1978069.43,2205107.4,C87641887,687963.38,460925.41
667,CASH_IN,463268.31,C937296712,2205107.4,2668375.71,C392494547,2294526.37,1831258.06
667,CASH_IN,235796.44,C1766960338,2668375.71,2904172.15,C737661141,1060523.32,824726.88
667,CASH_IN,198557.94,C2122116942,2904172.15,3102730.09,C1492616147,1514994.08,1316436.14
667,CASH_IN,127319.01,C1475357409,3102730.09,3230049.1,C64497195,7589983.68,7462664.68
667,CASH_IN,138835.45,C276018964,3230049.1,3368884.54,C996710093,1489410.93,1350575.48
667,CASH_IN,39755.15,C1956687604,3368884.54,3408639.7,C391527625,165631.11,125875.96
667,CASH_IN,424094.55,C1832860081,3408639.7,3832734.24,C1966222171,1641461.03,1217366.48
667,CASH_IN,239468.83,C1003397589,3832734.24,4072203.07,C254092120,1230248.74,990779.91
667,CASH_IN,113162.1,C906521263,4072203.07,4185365.17,C2038609377,315108.62,201946.52
667,CASH_IN,291446.02,C1202627988,4185365.17,4476811.19,C1669936022,2730721.33,2439275.31
667,CASH_IN,18858.2,C1397292641,4476811.19,4495669.38,C1483281424,1049718.06,1030859.86
667,CASH_IN,89104.4,C491138516,4495669.38,4584773.78,C1113398762,398832.94,309728.54
667,CASH_IN,66459.27,C1760453057,4584773.78,4651233.05,C1216542870,334576.36,268117.09
667,CASH_IN,362941.11,C1524562765,4651233.05,5014174.16,C1233870008,511398.82,148457.71
667,CASH_IN,244823.94,C1324465537,5014174.16,5258998.11,C287731032,1804122.59,1559298.64
667,CASH_IN,136072.4,C1660223750,5258998.11,5395070.5,C1175681370,143297.21,7224.81
667,CASH_IN,102242.81,C2039387376,5395070.5,5497313.32,C475188133,1955995.6,1853752.79
667,CASH_IN,45219.21,C1411845151,5497313.32,5542532.52,C840983062,2054343.44,2009124.23
667,CASH_IN,150691.18,C393854639,5542532.52,5693223.7,C343202311,324823.67,174132.49
667,CASH_IN,63648.63,C1573806199,5693223.7,5756872.33,C362513407,2329544.95,2265896.33
667,CASH_IN,86337.07,C1357530666,5756872.33,5843209.4,C1728230521,3258397.84,3172060.77
667,CASH_IN,72392.48,C1010954204,5843209.4,5915601.87,C706710095,3889448.11,3817055.63
667,CASH_IN,136769.82,C1721213501,5915601.87,6052371.69,C1110147994,207259.79,70489.97
667,CASH_IN,85980.52,C1223998272,6052371.69,6138352.21,C1859610435,431151.55,345171.03
667,CASH_IN,278314.78,C1252880226,6138352.21,6416666.99,C1778167655,2091006.06,1812691.28
667,CASH_IN,277215.7,C2040616676,6416666.99,6693882.69,C1148965476,975059.85,697844.15
667,CASH_IN,181654.36,C586978727,6693882.69,6875537.05,C902810849,3008668.05,2827013.69
667,CASH_IN,102902.89,C1337922563,6875537.05,6978439.94,C191571438,4196794.43,4093891.54
667,CASH_IN,218552.25,C1850254569,6978439.94,7196992.19,C368718614,469847.37,251295.11
667,CASH_IN,52555.74,C489544114,7196992.19,7249547.93,C132253946,762651.88,710096.14
667,CASH_IN,141343.5,C1530541597,7249547.93,7390891.44,C208798326,1280247.89,1138904.39
667,CASH_IN,316035.66,C1813134965,7390891.44,7706927.1,C2061974160,413983.16,97947.49
667,CASH_IN,603865.16,C1205248242,7706927.1,8310792.26,C2096898696,1441021.18,837156.03
667,CASH_IN,108483.12,C885326323,8310792.26,8419275.38,C390276941,243605.03,135121.91
667,CASH_IN,146863.61,C1044726696,8419275.38,8566138.99,C2145491956,367433.23,220569.61
667,CASH_IN,56646.8,C1138303875,8566138.99,8622785.8,C618576017,173779.84,117133.04
667,CASH_IN,33499.3,C838523450,8622785.8,8656285.1,C741265021,105112.09,71612.78
667,CASH_IN,141778.78,C766283631,8656285.1,8798063.88,C1186428817,199752.66,57973.88
667,CASH_IN,269934.1,C962642289,8798063.88,9067997.97,C802685428,7593025.91,7323091.82
667,CASH_IN,106109.88,C867121381,9067997.97,9174107.85,C2115247733,127224.1,21114.22
667,CASH_IN,70968.03,C1415782304,9174107.85,9245075.88,C287844517,214722.98,143754.96
667,CASH_IN,111780.04,C494740916,9245075.88,9356855.92,C1979567919,190248.38,78468.34
667,CASH_IN,152925.88,C573113379,9356855.92,9509781.79,C76820845,1307604.49,1154678.61
667,CASH_IN,112320.14,C1745582227,9509781.79,9622101.94,C1318012976,249428.24,137108.09
667,CASH_IN,201183.73,C609874989,9622101.94,9823285.67,C947616930,2986778.81,2785595.08
667,CASH_IN,77960.6,C1358771607,9823285.67,9901246.26,C1126988564,4564470.14,4486509.55
667,CASH_IN,48023.35,C983509943,9901246.26,9949269.61,C1041204678,1132599.88,1084576.53
667,CASH_IN,202535.01,C157483927,9949269.61,1.015180461E7,C732177945,227467.77,24932.77
667,CASH_IN,7996.18,C1659921930,1.015180461E7,1.015980079E7,C129428496,1201585.87,1193589.7
667,CASH_IN,8864.67,C1528346190,1.015980079E7,1.016866546E7,C1272660119,3136034.83,3127170.16
667,CASH_IN,114043.02,C404356105,1.016866546E7,1.028270848E7,C2079176443,2419021.27,2304978.26
667,CASH_IN,234559.33,C158808870,1.028270848E7,1.051726781E7,C1608377899,378231.43,143672.09
