step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
460,PAYMENT,269.6,C987945370,6378.0,6108.4,M719842808,0.0,0.0
460,PAYMENT,9492.22,C1839010544,6108.4,0.0,M687851706,0.0,0.0
460,PAYMENT,347.89,C75360822,823728.0,823380.11,M299917164,0.0,0.0
460,TRANSFER,463681.92,C342873394,823380.11,359698.2,C1474238544,1056862.52,1520544.43
460,TRANSFER,480559.86,C1107522845,359698.2,0.0,C1852970576,537173.5,1017733.37
460,TRANSFER,266400.67,C692329265,0.0,0.0,C103937124,282424.94,548825.61
460,TRANSFER,645767.61,C986458698,0.0,0.0,C1408686573,1.111279754E7,1.175856515E7
460,TRANSFER,748994.09,C1348513380,0.0,0.0,C1716561595,989286.34,1738280.43
460,TRANSFER,251044.84,C152212200,0.0,0.0,C2110916788,2230066.64,2481111.49
460,TRANSFER,1851914.98,C429416,0.0,0.0,C233071636,7307550.09,9159465.07
460,TRANSFER,223091.74,C1539533144,0.0,0.0,C432075895,1.944070824E7,1.966379998E7
460,TRANSFER,504918.35,C243662794,0.0,0.0,C1748572830,1075506.52,1580424.87
460,TRANSFER,166520.52,C320710944,0.0,0.0,C1930642484,475188.56,641709.08
460,TRANSFER,863544.05,C658770918,0.0,0.0,C1535860561,1250313.67,2113857.72
460,TRANSFER,501428.17,C1737306111,0.0,0.0,C535023946,1821290.31,2322718.47
460,TRANSFER,514984.22,C1188558699,0.0,0.0,C1539394949,3912042.31,4427026.53
460,TRANSFER,405711.85,C947716664,0.0,0.0,C760358242,5362519.85,5768231.7
460,TRANSFER,70338.96,C1063335402,0.0,0.0,C1427289357,2287364.26,2357703.22
460,TRANSFER,457263.4,C832374574,0.0,0.0,C648569223,5344775.66,5802039.06
460,TRANSFER,359919.2,C1208537817,0.0,0.0,C924270586,2164350.63,2524269.83
460,TRANSFER,45132.15,C406091042,0.0,0.0,C1777364875,683349.3,728481.45
460,TRANSFER,461725.53,C776789419,0.0,0.0,C1126374679,539340.52,1001066.05
460,TRANSFER,76548.48,C2008095547,76548.48,0.0,C2016906281,0.0,0.0
460,CASH_OUT,76548.48,C2032238862,76548.48,0.0,C881850638,2635449.31,2711997.79
460,TRANSFER,998086.61,C1107781229,998086.61,0.0,C2074418507,0.0,0.0
460,CASH_OUT,998086.61,C175000067,998086.61,0.0,C1507172682,440777.77,1438864.38
460,PAYMENT,198.89,C1970925750,30580.0,30381.11,M10827494,0.0,0.0
460,PAYMENT,327.85,C2045250705,46530.0,46202.15,M19820541,0.0,0.0
460,CASH_OUT,128027.98,C1005110062,46202.15,0.0,C1915991120,7440069.34,7568097.31
460,PAYMENT,457.87,C315867315,20308.0,19850.13,M728161020,0.0,0.0
460,TRANSFER,2059980.16,C1506089450,2059980.16,0.0,C1564280287,0.0,0.0
460,CASH_OUT,2059980.16,C617173071,2059980.16,0.0,C706638819,734579.21,2794559.36
460,PAYMENT,266.64,C28310790,20399.0,20132.36,M1022661110,0.0,0.0
460,PAYMENT,6113.78,C262379791,20132.36,14018.58,M1287616866,0.0,0.0
460,TRANSFER,440962.56,C847706686,440962.56,0.0,C719419922,0.0,0.0
460,CASH_OUT,440962.56,C719693497,440962.56,0.0,C1184164392,1196175.58,1637138.14
460,PAYMENT,291.73,C966600971,83132.0,82840.27,M241054515,0.0,0.0
460,PAYMENT,568.31,C185368524,230730.0,230161.69,M215732346,0.0,0.0
460,TRANSFER,414095.91,C1558078875,414095.91,0.0,C1062681354,0.0,0.0
460,CASH_OUT,414095.91,C593887896,414095.91,0.0,C434667197,0.0,414095.91
460,PAYMENT,672.23,C1266477863,39706.0,39033.77,M427207218,0.0,0.0
460,PAYMENT,210.86,C908850746,556.0,345.14,M625623205,0.0,0.0
460,TRANSFER,58058.98,C155431672,58058.98,0.0,C1327043210,0.0,0.0
460,CASH_OUT,58058.98,C625520344,58058.98,0.0,C1699367271,822974.58,881033.56
460,PAYMENT,145.74,C1287329389,105538.0,105392.26,M998455351,0.0,0.0
460,PAYMENT,13949.99,C792959437,105392.26,91442.26,M1327352979,0.0,0.0
460,PAYMENT,490.75,C1535226723,321994.0,321503.25,M2044816036,0.0,0.0
460,DEBIT,26691.85,C1247742372,11368.0,0.0,C1498680122,340119.9,366811.75
460,DEBIT,26922.9,C1804025128,6082.0,0.0,C561229119,29776.2,56699.1
460,CASH_OUT,38743.17,C1028358544,0.0,0.0,C1404792607,567363.56,606106.73
460,CASH_OUT,455859.97,C1326278871,0.0,0.0,C1153577641,3.294779285E7,3.340365282E7
460,CASH_OUT,8298.64,C2100124347,0.0,0.0,C804617812,446738.28,455036.93
460,CASH_OUT,332302.0,C789661259,0.0,0.0,C1251792727,2141403.41,2473705.4
460,CASH_OUT,118129.74,C1320617272,0.0,0.0,C525191541,3962098.2,4080227.94
460,TRANSFER,58771.81,C1792575465,52032.0,0.0,C820709454,28013.3,86785.11
460,TRANSFER,217666.25,C2100813963,217666.25,0.0,C2073514796,0.0,0.0
460,CASH_OUT,217666.25,C1488044664,217666.25,0.0,C60471121,92402.62,310068.87
460,TRANSFER,1424002.7,C777622163,1424002.7,0.0,C413417554,0.0,0.0
460,CASH_OUT,1424002.7,C9486206,1424002.7,0.0,C2094181723,11407.5,1435410.19
