step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
332,CASH_OUT,119981.45,C2133577635,27159.0,0.0,C1313339194,0.0,119981.45
332,CASH_IN,32636.59,C1078869998,50.0,32686.59,C428649856,113104.35,80467.76
332,PAYMENT,22235.32,C960531869,32686.59,10451.27,M574110823,0.0,0.0
332,CASH_OUT,93334.73,C55556436,476589.0,383254.27,C1774916373,1110250.8,1203585.53
332,CASH_IN,272744.11,C852445084,42923.0,315667.11,C1283265544,0.0,0.0
332,CASH_OUT,60159.6,C266209341,315667.11,255507.51,C1209076962,1498819.02,1558978.61
332,CASH_OUT,189248.74,C1827067557,255507.51,66258.77,C1625902734,2544323.52,2733572.26
332,PAYMENT,7363.75,C303912820,1128.0,0.0,M1520832780,0.0,0.0
332,CASH_OUT,160741.78,C633763205,16510.0,0.0,C672003869,0.0,160741.78
332,CASH_IN,146355.15,C2135940198,149905.0,296260.15,C459755607,2110.75,0.0
332,PAYMENT,8504.74,C126980620,325060.0,316555.26,M1834343811,0.0,0.0
332,PAYMENT,251.62,C2066343921,20017.0,19765.38,M2047125534,0.0,0.0
332,CASH_IN,187465.58,C1896760480,160676.0,348141.58,C963222766,371539.59,184074.0
332,PAYMENT,5424.59,C846472903,19060.0,13635.41,M106322199,0.0,0.0
332,PAYMENT,39958.65,C1506624923,13635.41,0.0,M1516581190,0.0,0.0
332,CASH_OUT,104698.01,C1236559571,72029.0,0.0,C494090854,0.0,104698.01
332,PAYMENT,6362.63,C2107506707,0.0,0.0,M1322021798,0.0,0.0
332,CASH_IN,34800.39,C1028686904,199151.0,233951.39,C255557188,3155766.39,3120966.0
332,PAYMENT,15569.04,C1471737791,335.0,0.0,M1521218499,0.0,0.0
332,PAYMENT,4636.33,C2002250355,0.0,0.0,M1310704101,0.0,0.0
332,PAYMENT,7681.38,C1590299278,1338.0,0.0,M1543163775,0.0,0.0
332,PAYMENT,30026.73,C330736129,0.0,0.0,M597051771,0.0,0.0
332,PAYMENT,14570.82,C763804157,0.0,0.0,M537528837,0.0,0.0
332,DEBIT,4334.76,C109707951,12214.0,7879.24,C126494060,306903.56,311238.32
332,CASH_IN,145356.92,C390483604,471009.0,616365.92,C1726876744,0.0,0.0
332,PAYMENT,8812.87,C253187280,518.0,0.0,M2134715669,0.0,0.0
332,CASH_OUT,326875.83,C703907623,0.0,0.0,C438609858,1639992.53,1966868.36
332,PAYMENT,9065.39,C216211043,38728.0,29662.61,M971471611,0.0,0.0
332,CASH_IN,79286.06,C790936919,101458.0,180744.06,C191827510,480013.05,400727.0
332,PAYMENT,14914.3,C543591019,385532.0,370617.7,M878872578,0.0,0.0
332,PAYMENT,3281.41,C919604439,37496.0,34214.59,M1007993183,0.0,0.0
332,PAYMENT,2446.65,C682959204,79645.0,77198.35,M137858792,0.0,0.0
332,PAYMENT,13913.15,C1043828109,77198.35,63285.2,M615759149,0.0,0.0
332,PAYMENT,12363.9,C621545182,41661.0,29297.1,M301501529,0.0,0.0
332,PAYMENT,1749.59,C329326606,50342.0,48592.41,M709016962,0.0,0.0
332,TRANSFER,584275.25,C1866298594,48592.41,0.0,C1897800945,2600920.06,3185195.31
332,CASH_OUT,43374.05,C988981016,23992.0,0.0,C995426295,121350.43,164724.48
332,CASH_OUT,10530.26,C550064408,39759.0,29228.74,C73508647,0.0,10530.26
332,CASH_IN,163819.95,C525878830,54123.0,217942.95,C1518842793,1220211.69,1519316.25
332,PAYMENT,497.3,C457616195,35297.0,34799.7,M874710356,0.0,0.0
332,CASH_OUT,209167.86,C1586021209,23614.0,0.0,C1840206741,0.0,209167.86
332,PAYMENT,3593.75,C62691216,461188.0,457594.25,M764295191,0.0,0.0
332,PAYMENT,16709.08,C19632471,659.0,0.0,M429987872,0.0,0.0
332,PAYMENT,1596.16,C2118524051,11526.0,9929.84,M575987148,0.0,0.0
332,PAYMENT,2781.81,C2133348856,9929.84,7148.03,M1859728933,0.0,0.0
332,PAYMENT,2122.13,C540351977,3180.0,1057.87,M604708510,0.0,0.0
332,TRANSFER,255649.26,C420559990,50853.0,0.0,C203225932,204566.91,460216.17
332,CASH_OUT,193068.56,C1054755183,30817.0,0.0,C146361948,52858.44,245927.0
332,PAYMENT,29994.84,C915198216,0.0,0.0,M1250936489,0.0,0.0
332,PAYMENT,12798.14,C1525522690,668.0,0.0,M372510209,0.0,0.0
332,CASH_OUT,37899.16,C1180735838,59398.0,21498.84,C1676234026,719027.91,756927.07
332,PAYMENT,10078.76,C1919854005,52695.0,42616.24,M1170009931,0.0,0.0
332,TRANSFER,1117120.04,C1934538235,42616.24,0.0,C451522748,3817348.2,4934468.25
332,CASH_OUT,76121.96,C832993445,26281.0,0.0,C1114347902,3271756.2,4029432.92
332,PAYMENT,23760.12,C912404521,51169.0,27408.88,M344348441,0.0,0.0
332,CASH_OUT,118465.44,C308398367,105816.0,0.0,C1432325906,0.0,118465.44
332,CASH_IN,108212.0,C268495014,1467.0,109679.0,C1563594378,355386.8,247174.8
332,CASH_OUT,256367.96,C927228407,109679.0,0.0,C741528210,9.007351019E7,9.069718889E7
332,PAYMENT,4577.43,C299681433,110.0,0.0,M225037452,0.0,0.0
332,PAYMENT,256.66,C448483423,30615.0,30358.34,M249876774,0.0,0.0
332,CASH_OUT,64927.8,C2038113901,30358.34,0.0,C1087323087,2661551.2,2726479.0
332,CASH_IN,227147.91,C976590946,21595.0,248742.91,C856462297,0.0,0.0
332,CASH_IN,182487.29,C2051808979,90717.0,273204.29,C257035924,99929.46,0.0
332,CASH_OUT,20249.76,C1384746333,2002.0,0.0,C1231851996,1667300.42,1687550.18
332,CASH_OUT,144418.78,C1927381295,15668.0,0.0,C2132936706,1940476.08,2084894.86
332,CASH_OUT,304059.25,C1677848985,178.0,0.0,C1680555775,239244.09,543303.34
332,CASH_IN,48194.76,C2116141388,29956.0,78150.76,C83627185,0.0,0.0
332,TRANSFER,418617.22,C1625053360,10737.0,0.0,C991898709,2045875.61,2464492.83
332,CASH_OUT,172280.49,C508188029,298.0,0.0,C1672987891,423293.97,595574.46
332,PAYMENT,19056.1,C1974268436,0.0,0.0,M91711052,0.0,0.0
332,PAYMENT,249.42,C124561290,0.0,0.0,M1262615463,0.0,0.0
332,PAYMENT,2526.66,C1508871305,153226.0,150699.34,M1729414398,0.0,0.0
332,CASH_OUT,43460.55,C86409057,1580.0,0.0,C1845466817,0.0,43460.55
332,PAYMENT,18985.38,C1098789025,295.0,0.0,M1691383747,0.0,0.0
332,PAYMENT,14693.53,C631405715,20192.0,5498.47,M331993649,0.0,0.0
332,CASH_IN,48053.25,C595723217,3120.0,51173.25,C1186738454,0.0,0.0
332,PAYMENT,14674.49,C1141573133,14804.0,129.51,M1920711931,0.0,0.0
332,CASH_OUT,120809.28,C805216479,52881.0,0.0,C203598529,20463.0,191155.0
332,CASH_OUT,25278.55,C475116154,27485.0,2206.45,C649237692,591910.37,617188.91
332,CASH_OUT,100381.02,C16180371,23029.0,0.0,C957554141,0.0,100381.02
332,CASH_OUT,195509.59,C793054226,0.0,0.0,C1386496159,497451.96,692961.56
332,CASH_OUT,45139.41,C1969731965,0.0,0.0,C1302620895,1273815.5,1318954.91
332,CASH_OUT,287328.65,C1681135561,0.0,0.0,C938136349,296381.42,583710.07
332,CASH_OUT,250184.69,C1406248352,0.0,0.0,C1830207776,653180.53,903365.22
332,CASH_OUT,7512.49,C1416824404,0.0,0.0,C653686000,3162267.18,3169779.67
332,CASH_OUT,217605.87,C479719926,0.0,0.0,C1676657523,306505.92,524111.8
332,CASH_OUT,454645.84,C1482237938,0.0,0.0,C313680277,810392.77,1265038.62
332,CASH_OUT,243140.61,C117143036,0.0,0.0,C1564667944,4632810.13,4875950.74
332,CASH_OUT,282605.91,C1249284817,0.0,0.0,C2122922706,564328.66,846934.57
332,CASH_OUT,299169.4,C1775096360,0.0,0.0,C1214337749,1760312.98,2059482.39
332,CASH_OUT,29026.64,C2017070676,0.0,0.0,C1583441435,1421665.98,1450692.62
332,CASH_OUT,29454.31,C632541242,0.0,0.0,C623816969,689342.63,718796.94
332,CASH_OUT,187056.19,C1529687623,0.0,0.0,C1435382797,258606.4,445662.59
332,CASH_OUT,68570.91,C1551297432,0.0,0.0,C1514024082,922678.68,991249.59
332,CASH_OUT,61368.41,C1947600620,0.0,0.0,C1719513691,1403902.64,1465271.05
332,CASH_OUT,296351.66,C1335835220,0.0,0.0,C932453228,3707288.25,4003639.92
332,CASH_OUT,71617.93,C2113039094,0.0,0.0,C422619539,2700068.4,2771686.33
332,CASH_OUT,137765.1,C372471035,0.0,0.0,C485150558,958427.47,1096192.58
332,CASH_OUT,294976.68,C1389769143,0.0,0.0,C681105053,1080778.58,1375755.25
332,CASH_OUT,481176.19,C1689123875,0.0,0.0,C1664766630,939625.29,1420801.48
332,CASH_OUT,170598.57,C174497690,0.0,0.0,C1442126303,539401.4,709999.98
332,CASH_OUT,484482.86,C125810305,0.0,0.0,C1635448141,8253079.99,8737562.85
332,CASH_OUT,1364.94,C1682400336,0.0,0.0,C751565560,124173.06,125538.01
332,CASH_OUT,167354.2,C1870708767,0.0,0.0,C1932462849,376761.48,544115.68
332,CASH_OUT,197508.71,C1369704506,0.0,0.0,C497446410,3534055.75,3731564.45
332,CASH_OUT,210686.23,C731215665,0.0,0.0,C640303636,225275.71,435961.94
332,CASH_OUT,75715.61,C1957684215,0.0,0.0,C400038889,891910.03,967625.64
332,CASH_OUT,239183.61,C499533125,0.0,0.0,C1425700016,606671.76,845855.37
332,CASH_OUT,232367.91,C1817344799,0.0,0.0,C1367897840,413110.73,645478.65
332,CASH_OUT,127855.71,C1820239195,0.0,0.0,C2096900616,8336301.35,8464157.06
332,CASH_OUT,170120.59,C1732592504,0.0,0.0,C552060976,2367823.12,2537943.71
332,CASH_OUT,75923.36,C1216798392,0.0,0.0,C379735606,143132.39,219055.75
332,CASH_OUT,235226.58,C938724916,0.0,0.0,C1061891929,7691809.97,7927036.55
332,CASH_OUT,48285.38,C775873004,0.0,0.0,C1975056515,1585450.37,1633735.75
332,CASH_OUT,34471.66,C1672292816,0.0,0.0,C1978153400,6297476.71,6331948.36
