step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
22,CASH_IN,255188.9,C1478294318,5168.0,260356.9,C1912703909,1319960.94,1064772.04
22,PAYMENT,15233.63,C1122850930,352.0,0.0,M987733513,0.0,0.0
22,CASH_OUT,71590.96,C1692117855,0.0,0.0,C315863144,245545.55,317136.51
22,PAYMENT,6986.4,C1537341793,29916.0,22929.6,M1931941039,0.0,0.0
22,PAYMENT,13448.36,C902755092,22929.6,9481.24,M209069985,0.0,0.0
22,PAYMENT,4120.36,C1481162175,10189.0,6068.64,M318855285,0.0,0.0
22,PAYMENT,10717.26,C1360351058,362.0,0.0,M1826828798,0.0,0.0
22,PAYMENT,3908.03,C1901845656,0.0,0.0,M1744887862,0.0,0.0
22,CASH_IN,26184.28,C320097723,10656.0,36840.28,C611855891,1214781.65,1188597.36
22,TRANSFER,287451.33,C1712190182,52599.0,0.0,C1763932839,59499.49,346950.82
22,CASH_OUT,133805.91,C1226657187,5734.0,0.0,C12880127,1257115.44,1390921.35
22,PAYMENT,11080.74,C653465062,0.0,0.0,M398191894,0.0,0.0
22,PAYMENT,2217.48,C514369477,1926.0,0.0,M1031504358,0.0,0.0
22,PAYMENT,2618.53,C52031370,62529.0,59910.47,M1266839970,0.0,0.0
22,PAYMENT,93.01,C273641880,20033.0,19939.99,M1901766342,0.0,0.0
22,CASH_IN,154011.66,C1030972120,10902.0,164913.66,C741340140,111673.37,0.0
22,PAYMENT,2930.55,C1705253813,276060.0,273129.45,M244081960,0.0,0.0
22,PAYMENT,11502.17,C717524649,4113.0,0.0,M210197643,0.0,0.0
22,CASH_OUT,162332.46,C1237026589,9007.0,0.0,C833056765,1055118.33,1217450.79
22,CASH_OUT,159155.92,C619912743,0.0,0.0,C866432224,248827.81,407983.74
22,CASH_OUT,329788.11,C718040534,0.0,0.0,C253011317,663754.58,993542.7
22,CASH_OUT,126979.63,C471408384,0.0,0.0,C298251125,2733732.52,2860712.15
22,CASH_OUT,252863.76,C160428273,0.0,0.0,C760557621,669874.55,922738.31
22,CASH_OUT,65562.26,C892458433,0.0,0.0,C39643735,71252.97,136815.24
22,CASH_OUT,44543.54,C2086321260,0.0,0.0,C1970794383,649861.61,694405.15
22,CASH_OUT,166247.3,C678383096,0.0,0.0,C658653217,249656.19,415903.49
22,CASH_OUT,169221.59,C1578182780,0.0,0.0,C70647600,175549.59,344771.18
22,CASH_OUT,400171.96,C1706389922,0.0,0.0,C1407050693,924626.9,1568377.24
22,CASH_OUT,355530.48,C1285884068,0.0,0.0,C1850733047,2300355.32,2655885.8
22,CASH_OUT,103702.4,C511151173,0.0,0.0,C1980683755,642078.33,909502.53
22,CASH_OUT,190577.75,C1232209215,0.0,0.0,C1191924243,1693190.89,1883768.63
22,CASH_OUT,202704.92,C117720530,0.0,0.0,C1437735369,261173.38,463878.3
22,CASH_OUT,264884.57,C1669373374,0.0,0.0,C423580937,1.934481641E7,1.960970098E7
22,CASH_OUT,271335.83,C1102524463,0.0,0.0,C408628795,688487.34,959823.17
22,CASH_OUT,29037.16,C414551771,0.0,0.0,C1813687457,61178.51,90215.67
22,CASH_OUT,277614.0,C1027236554,0.0,0.0,C316681566,348088.1,625702.1
22,CASH_OUT,51921.36,C1521509822,0.0,0.0,C185369050,4022465.93,4074387.28
22,CASH_OUT,274901.08,C587071631,0.0,0.0,C1291253720,4598543.79,4879026.55
22,TRANSFER,227203.94,C369721693,107342.0,0.0,C515561465,729096.2,956300.14
22,PAYMENT,2554.47,C2026605924,4522.0,1967.53,M554666582,0.0,0.0
22,PAYMENT,6884.56,C1940327552,205043.0,198158.44,M696150208,0.0,0.0
22,PAYMENT,2042.99,C234516518,6030.0,3987.01,M1358563061,0.0,0.0
22,CASH_OUT,45964.06,C460510054,3987.01,0.0,C581959369,116030.14,161994.19
22,DEBIT,7938.35,C1091604640,16757.0,8818.65,C2057394816,6636599.19,6644537.53
22,PAYMENT,6577.05,C523613156,5868.0,0.0,M536396633,0.0,0.0
22,CASH_OUT,235787.99,C303880739,0.0,0.0,C645059989,460233.2,696021.19
22,CASH_OUT,139285.08,C1473039696,0.0,0.0,C2020968665,245073.34,384358.41
