step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
738,TRANSFER,108240.74,C1417837233,108240.74,0.0,C2097692432,0.0,0.0
738,CASH_OUT,108240.74,C466016751,108240.74,0.0,C1533222283,28839.11,137079.85
738,TRANSFER,297846.16,C776297547,297846.16,0.0,C1422239092,0.0,0.0
738,CASH_OUT,297846.16,C384242072,297846.16,0.0,C175252004,1.143608011E7,1.173392627E7
738,TRANSFER,106584.32,C1375184391,106584.32,0.0,C291162245,0.0,0.0
738,CASH_OUT,106584.32,C2085819511,106584.32,0.0,C2000713595,5524872.71,5631457.03
738,TRANSFER,814689.88,C2029041842,814689.88,0.0,C1023330867,0.0,0.0
738,CASH_OUT,814689.88,C1446317541,814689.88,0.0,C253690179,0.0,814689.88
738,TRANSFER,114490.39,C983453370,114490.39,0.0,C1060799549,0.0,0.0
738,CASH_OUT,114490.39,C1586103602,114490.39,0.0,C1196711051,166082.07,280572.46
